,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2199,84,5000,2010,0.0,0.0,0.570018,-0.585911,GIB,010111
8725,84,5001,2010,0.0,0.0,0.570018,-0.585911,GIB,010119
15251,84,5002,2010,0.0,0.0,0.570018,-0.585911,GIB,010120
21777,84,5003,2010,0.0,0.0,0.570018,-0.585911,GIB,010210
28303,84,5004,2010,0.0,0.0,0.570018,-0.585911,GIB,010290
34829,84,5005,2010,0.0,0.0,0.570018,-0.585911,GIB,010310
41355,84,5006,2010,0.0,0.0,0.570018,-0.585911,GIB,010391
47881,84,5007,2010,0.0,0.0,0.570018,-0.585911,GIB,010392
54407,84,5008,2010,0.0,0.0,0.570018,-0.585911,GIB,010410
60933,84,5009,2010,0.0,0.0,0.570018,-0.585911,GIB,010420
67459,84,5010,2010,0.0,0.0,0.570018,-0.585911,GIB,010511
73985,84,5011,2010,0.0,0.0,0.570018,-0.585911,GIB,010519
80511,84,5012,2010,0.0,0.0,0.570018,-0.585911,GIB,010591
87037,84,5013,2010,0.0,0.0,0.570018,-0.585911,GIB,010599
93563,84,5014,2010,0.0,0.0,0.570018,-0.585911,GIB,010600
100089,84,5015,2010,0.0,7.386514746576602e-08,0.570018,-0.585911,GIB,020110
106615,84,5016,2010,0.0,1.022404525151414e-08,0.570018,-0.585911,GIB,020120
113141,84,5017,2010,0.0,6.24452919423554e-09,0.570018,-0.585911,GIB,020130
119667,84,5018,2010,0.0,1.7963668718622484e-09,0.570018,-0.585911,GIB,020210
126193,84,5019,2010,0.0,3.421416024893206e-08,0.570018,-0.585911,GIB,020220
132719,84,5020,2010,1.9146486188501724e-08,2.864721268437091e-07,0.570018,-0.585911,GIB,020230
139245,84,5021,2010,0.0,6.466257872699717e-09,0.570018,-0.585911,GIB,020311
145771,84,5022,2010,4.743135732050727e-09,5.971096967429939e-09,0.570018,-0.585911,GIB,020312
152297,84,5023,2010,1.5245793424448763e-09,6.37335720218625e-08,0.570018,-0.585911,GIB,020319
158823,84,5024,2010,0.0,5.677115894488645e-09,0.570018,-0.585911,GIB,020321
165349,84,5025,2010,1.6897345286171e-09,3.306176770032228e-08,0.570018,-0.585911,GIB,020322
171875,84,5026,2010,2.2739899395162694e-09,1.6501684602668323e-07,0.570018,-0.585911,GIB,020329
178401,84,5027,2010,0.0,6.165979572716839e-09,0.570018,-0.585911,GIB,020410
184927,84,5028,2010,0.0,0.0,0.570018,-0.585911,GIB,020421
191453,84,5029,2010,0.0,7.042951296507893e-10,0.570018,-0.585911,GIB,020422
197979,84,5030,2010,0.0,0.0,0.570018,-0.585911,GIB,020423
