,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2211,85,5000,1996,0.0,2.595120407136791e-10,-1.2641930000000001,-1.1317409999999999,GIN,010111
8737,85,5001,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010119
15263,85,5002,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010120
21789,85,5003,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010210
28315,85,5004,1996,1.274876822434028e-09,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010290
34841,85,5005,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010310
41367,85,5006,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010391
47893,85,5007,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010392
54419,85,5008,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010410
60945,85,5009,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010420
67471,85,5010,1996,0.0,2.7357805732656355e-08,-1.2641930000000001,-1.1317409999999999,GIN,010511
73997,85,5011,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010519
80523,85,5012,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010591
87049,85,5013,1996,7.321374858570505e-10,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010599
93575,85,5014,1996,1.493742293371692e-07,0.0,-1.2641930000000001,-1.1317409999999999,GIN,010600
100101,85,5015,1996,0.0,1.6041357305928567e-09,-1.2641930000000001,-1.1317409999999999,GIN,020110
106627,85,5016,1996,0.0,3.6633289731906703e-09,-1.2641930000000001,-1.1317409999999999,GIN,020120
113153,85,5017,1996,0.0,9.540630401001233e-09,-1.2641930000000001,-1.1317409999999999,GIN,020130
119679,85,5018,1996,0.0,7.731669075055817e-09,-1.2641930000000001,-1.1317409999999999,GIN,020210
126205,85,5019,1996,0.0,1.3899637245785789e-08,-1.2641930000000001,-1.1317409999999999,GIN,020220
132731,85,5020,1996,0.0,2.8604524113689015e-07,-1.2641930000000001,-1.1317409999999999,GIN,020230
139257,85,5021,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020311
145783,85,5022,1996,0.0,1.7241144773851322e-09,-1.2641930000000001,-1.1317409999999999,GIN,020312
152309,85,5023,1996,0.0,1.6916340431706487e-09,-1.2641930000000001,-1.1317409999999999,GIN,020319
158835,85,5024,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020321
165361,85,5025,1996,0.0,1.916677051656713e-09,-1.2641930000000001,-1.1317409999999999,GIN,020322
171887,85,5026,1996,0.0,2.1466915551756056e-09,-1.2641930000000001,-1.1317409999999999,GIN,020329
178413,85,5027,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020410
184939,85,5028,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020421
191465,85,5029,1996,0.0,4.0759630609154855e-09,-1.2641930000000001,-1.1317409999999999,GIN,020422
197991,85,5030,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020423
204517,85,5031,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020430
211043,85,5032,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020441
217569,85,5033,1996,0.0,1.8563562452583863e-09,-1.2641930000000001,-1.1317409999999999,GIN,020442
224095,85,5034,1996,0.0,4.3155891214978485e-09,-1.2641930000000001,-1.1317409999999999,GIN,020443
230621,85,5035,1996,0.0,1.1952136924925537e-08,-1.2641930000000001,-1.1317409999999999,GIN,020450
237147,85,5036,1996,0.0,0.0,-1.2641930000000001,-1.1317409999999999,GIN,020500
243673,85,5037,1996,0.0,1.7639527242482027e-08,-1.2641930000000001,-1.1317409999999999,GIN,020610
