,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2261,86,5000,2020,0.0,0.0,,,GLP,010111
8787,86,5001,2020,0.0,0.0,,,GLP,010119
15313,86,5002,2020,0.0,0.0,,,GLP,010120
21839,86,5003,2020,0.0,0.0,,,GLP,010210
28365,86,5004,2020,0.0,0.0,,,GLP,010290
34891,86,5005,2020,0.0,0.0,,,GLP,010310
41417,86,5006,2020,0.0,0.0,,,GLP,010391
47943,86,5007,2020,0.0,0.0,,,GLP,010392
54469,86,5008,2020,0.0,0.0,,,GLP,010410
60995,86,5009,2020,0.0,0.0,,,GLP,010420
67521,86,5010,2020,0.0,0.0,,,GLP,010511
74047,86,5011,2020,0.0,0.0,,,GLP,010519
80573,86,5012,2020,0.0,0.0,,,GLP,010591
87099,86,5013,2020,0.0,0.0,,,GLP,010599
93625,86,5014,2020,0.0,0.0,,,GLP,010600
100151,86,5015,2020,0.0,0.0,,,GLP,020110
106677,86,5016,2020,0.0,0.0,,,GLP,020120
113203,86,5017,2020,0.0,0.0,,,GLP,020130
119729,86,5018,2020,0.0,0.0,,,GLP,020210
126255,86,5019,2020,0.0,0.0,,,GLP,020220
132781,86,5020,2020,0.0,0.0,,,GLP,020230
139307,86,5021,2020,0.0,0.0,,,GLP,020311
145833,86,5022,2020,0.0,0.0,,,GLP,020312
152359,86,5023,2020,0.0,0.0,,,GLP,020319
158885,86,5024,2020,0.0,0.0,,,GLP,020321
165411,86,5025,2020,0.0,0.0,,,GLP,020322
171937,86,5026,2020,0.0,0.0,,,GLP,020329
178463,86,5027,2020,0.0,0.0,,,GLP,020410
184989,86,5028,2020,0.0,0.0,,,GLP,020421
191515,86,5029,2020,0.0,0.0,,,GLP,020422
198041,86,5030,2020,0.0,0.0,,,GLP,020423
204567,86,5031,2020,0.0,0.0,,,GLP,020430
211093,86,5032,2020,0.0,0.0,,,GLP,020441
217619,86,5033,2020,0.0,0.0,,,GLP,020442
224145,86,5034,2020,0.0,0.0,,,GLP,020443
230671,86,5035,2020,0.0,0.0,,,GLP,020450
237197,86,5036,2020,0.0,0.0,,,GLP,020500
243723,86,5037,2020,0.0,0.0,,,GLP,020610
250249,86,5038,2020,0.0,0.0,,,GLP,020621
256775,86,5039,2020,0.0,0.0,,,GLP,020622
263301,86,5040,2020,0.0,0.0,,,GLP,020629
269827,86,5041,2020,0.0,0.0,,,GLP,020630
276353,86,5042,2020,0.0,0.0,,,GLP,020641
282879,86,5043,2020,0.0,0.0,,,GLP,020649
289405,86,5044,2020,0.0,0.0,,,GLP,020680
295931,86,5045,2020,0.0,0.0,,,GLP,020690
302457,86,5046,2020,0.0,0.0,,,GLP,020710
308983,86,5047,2020,0.0,0.0,,,GLP,020721
315509,86,5048,2020,0.0,0.0,,,GLP,020722
322035,86,5049,2020,0.0,0.0,,,GLP,020723
328561,86,5050,2020,0.0,0.0,,,GLP,020731
335087,86,5051,2020,0.0,0.0,,,GLP,020739
341613,86,5052,2020,0.0,0.0,,,GLP,020741
348139,86,5053,2020,0.0,0.0,,,GLP,020742
354665,86,5054,2020,0.0,0.0,,,GLP,020743
361191,86,5055,2020,0.0,0.0,,,GLP,020750
367717,86,5056,2020,0.0,0.0,,,GLP,020810
374243,86,5057,2020,0.0,0.0,,,GLP,020820
380769,86,5058,2020,0.0,0.0,,,GLP,020890
387295,86,5059,2020,0.0,0.0,,,GLP,020900
393821,86,5060,2020,0.0,0.0,,,GLP,021011
400347,86,5061,2020,0.0,0.0,,,GLP,021012
406873,86,5062,2020,0.0,0.0,,,GLP,021019
413399,86,5063,2020,0.0,0.0,,,GLP,021020
419925,86,5064,2020,0.0,0.0,,,GLP,021090
426451,86,5065,2020,0.0,0.0,,,GLP,030110
432977,86,5066,2020,0.0,0.0,,,GLP,030191
439503,86,5067,2020,0.0,0.0,,,GLP,030192
446029,86,5068,2020,0.0,0.0,,,GLP,030193
452555,86,5069,2020,0.0,0.0,,,GLP,030199
459081,86,5070,2020,0.0,0.0,,,GLP,030211
465607,86,5071,2020,0.0,0.0,,,GLP,030212
472133,86,5072,2020,0.0,0.0,,,GLP,030219
478659,86,5073,2020,0.0,0.0,,,GLP,030221
485185,86,5074,2020,0.0,0.0,,,GLP,030222
491711,86,5075,2020,0.0,0.0,,,GLP,030223
498237,86,5076,2020,0.0,0.0,,,GLP,030229
504763,86,5077,2020,0.0,0.0,,,GLP,030231
511289,86,5078,2020,0.0,0.0,,,GLP,030232
517815,86,5079,2020,0.0,0.0,,,GLP,030233
524341,86,5080,2020,0.0,0.0,,,GLP,030239
530867,86,5081,2020,0.0,0.0,,,GLP,030240
537393,86,5082,2020,0.0,0.0,,,GLP,030250
