,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2284,87,5000,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010111
8810,87,5001,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,010119
15336,87,5002,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010120
21862,87,5003,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010210
28388,87,5004,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010290
34914,87,5005,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010310
41440,87,5006,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010391
47966,87,5007,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010392
54492,87,5008,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010410
61018,87,5009,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010420
67544,87,5010,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010511
74070,87,5011,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010519
80596,87,5012,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,010591
87122,87,5013,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,010599
93648,87,5014,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,010600
100174,87,5015,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020110
106700,87,5016,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020120
113226,87,5017,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020130
119752,87,5018,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020210
126278,87,5019,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020220
132804,87,5020,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020230
139330,87,5021,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020311
145856,87,5022,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020312
152382,87,5023,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020319
158908,87,5024,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020321
165434,87,5025,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020322
171960,87,5026,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020329
178486,87,5027,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020410
185012,87,5028,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020421
191538,87,5029,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020422
198064,87,5030,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020423
204590,87,5031,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020430
211116,87,5032,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020441
217642,87,5033,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020442
224168,87,5034,2017,0.0,1.0,-1.161814,-0.9317190000000001,GMB,020443
230694,87,5035,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020450
237220,87,5036,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020500
243746,87,5037,2017,0.0,0.0,-1.161814,-0.9317190000000001,GMB,020610
