,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2298,88,5000,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010111
8824,88,5001,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010119
15350,88,5002,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010120
21876,88,5003,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010210
28402,88,5004,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010290
34928,88,5005,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010310
41454,88,5006,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010391
47980,88,5007,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010392
54506,88,5008,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010410
61032,88,5009,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010420
67558,88,5010,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,010511
74084,88,5011,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010519
80610,88,5012,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010591
87136,88,5013,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010599
93662,88,5014,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,010600
100188,88,5015,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020110
106714,88,5016,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020120
113240,88,5017,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020130
119766,88,5018,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020210
126292,88,5019,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020220
132818,88,5020,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020230
139344,88,5021,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020311
145870,88,5022,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020312
152396,88,5023,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020319
158922,88,5024,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020321
165448,88,5025,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020322
171974,88,5026,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020329
178500,88,5027,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020410
185026,88,5028,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020421
191552,88,5029,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020422
198078,88,5030,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020423
204604,88,5031,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020430
211130,88,5032,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020441
217656,88,5033,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020442
224182,88,5034,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020443
230708,88,5035,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020450
237234,88,5036,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020500
243760,88,5037,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020610
250286,88,5038,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020621
256812,88,5039,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020622
263338,88,5040,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020629
269864,88,5041,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020630
276390,88,5042,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020641
282916,88,5043,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020649
289442,88,5044,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020680
295968,88,5045,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020690
302494,88,5046,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020710
309020,88,5047,2005,0.0,1.0,-1.631378,-0.9792690000000001,GNB,020721
315546,88,5048,2005,0.0,0.0,-1.631378,-0.9792690000000001,GNB,020722
