,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2357,90,5000,2012,70122.0,437599.0,0.20949600000000002,1.086158,GRC,010111
8883,90,5001,2012,45168.0,172118.0,0.20949600000000002,1.086158,GRC,010119
15409,90,5002,2012,0.0,11237.0,0.20949600000000002,1.086158,GRC,010120
21935,90,5003,2012,84535.0,10288244.0,0.20949600000000002,1.086158,GRC,010210
28461,90,5004,2012,5390671.0,33895997.0,0.20949600000000002,1.086158,GRC,010290
34987,90,5005,2012,383957.0,1040152.0,0.20949600000000002,1.086158,GRC,010310
41513,90,5006,2012,119110.0,644029.0,0.20949600000000002,1.086158,GRC,010391
48039,90,5007,2012,7239427.0,203122.0,0.20949600000000002,1.086158,GRC,010392
54565,90,5008,2012,7382877.0,15580908.0,0.20949600000000002,1.086158,GRC,010410
61091,90,5009,2012,1088103.0,112542.0,0.20949600000000002,1.086158,GRC,010420
67617,90,5010,2012,2143998.0,9308445.0,0.20949600000000002,1.086158,GRC,010511
74143,90,5011,2012,57643.0,420354.0,0.20949600000000002,1.086158,GRC,010519
80669,90,5012,2012,1590078.0,754788.0,0.20949600000000002,1.086158,GRC,010591
87195,90,5013,2012,133020.0,344869.0,0.20949600000000002,1.086158,GRC,010599
93721,90,5014,2012,521163.0,4295704.0,0.20949600000000002,1.086158,GRC,010600
100247,90,5015,2012,296209.0,151418788.0,0.20949600000000002,1.086158,GRC,020110
106773,90,5016,2012,1505238.0,254376029.0,0.20949600000000002,1.086158,GRC,020120
113299,90,5017,2012,362537.0,102372501.0,0.20949600000000002,1.086158,GRC,020130
119825,90,5018,2012,14016.0,4824000.0,0.20949600000000002,1.086158,GRC,020210
126351,90,5019,2012,28223.0,6146961.0,0.20949600000000002,1.086158,GRC,020220
132877,90,5020,2012,417680.0,42605505.0,0.20949600000000002,1.086158,GRC,020230
139403,90,5021,2012,1447712.0,204802895.0,0.20949600000000002,1.086158,GRC,020311
145929,90,5022,2012,986099.0,48820522.0,0.20949600000000002,1.086158,GRC,020312
152455,90,5023,2012,3707993.0,223481436.0,0.20949600000000002,1.086158,GRC,020319
158981,90,5024,2012,113619.0,1441923.0,0.20949600000000002,1.086158,GRC,020321
165507,90,5025,2012,400395.0,7978016.0,0.20949600000000002,1.086158,GRC,020322
172033,90,5026,2012,7079484.0,51651225.0,0.20949600000000002,1.086158,GRC,020329
178559,90,5027,2012,9798311.0,9984197.0,0.20949600000000002,1.086158,GRC,020410
185085,90,5028,2012,1087472.0,1089528.0,0.20949600000000002,1.086158,GRC,020421
191611,90,5029,2012,790933.0,721380.0,0.20949600000000002,1.086158,GRC,020422
198137,90,5030,2012,36790.0,32596.0,0.20949600000000002,1.086158,GRC,020423
204663,90,5031,2012,41570.0,339521.0,0.20949600000000002,1.086158,GRC,020430
211189,90,5032,2012,89763.0,65641.0,0.20949600000000002,1.086158,GRC,020441
217715,90,5033,2012,140593.0,9085180.0,0.20949600000000002,1.086158,GRC,020442
224241,90,5034,2012,28443.0,3062179.0,0.20949600000000002,1.086158,GRC,020443
230767,90,5035,2012,2140795.0,184542.0,0.20949600000000002,1.086158,GRC,020450
237293,90,5036,2012,2463.0,207230.0,0.20949600000000002,1.086158,GRC,020500
243819,90,5037,2012,159501.0,11413871.0,0.20949600000000002,1.086158,GRC,020610
250345,90,5038,2012,9861.0,239340.0,0.20949600000000002,1.086158,GRC,020621
256871,90,5039,2012,22041.0,1014542.0,0.20949600000000002,1.086158,GRC,020622
263397,90,5040,2012,198492.0,1724538.0,0.20949600000000002,1.086158,GRC,020629
269923,90,5041,2012,61186.0,1425099.0,0.20949600000000002,1.086158,GRC,020630
276449,90,5042,2012,193378.0,48988.0,0.20949600000000002,1.086158,GRC,020641
282975,90,5043,2012,2897436.0,2218205.0,0.20949600000000002,1.086158,GRC,020649
289501,90,5044,2012,57911.0,1065697.0,0.20949600000000002,1.086158,GRC,020680
296027,90,5045,2012,97067.0,4830608.0,0.20949600000000002,1.086158,GRC,020690
302553,90,5046,2012,2410435.0,28225197.0,0.20949600000000002,1.086158,GRC,020710
309079,90,5047,2012,3491099.0,6760495.0,0.20949600000000002,1.086158,GRC,020721
315605,90,5048,2012,30682.0,4131362.0,0.20949600000000002,1.086158,GRC,020722
322131,90,5049,2012,11492.0,1017108.0,0.20949600000000002,1.086158,GRC,020723
328657,90,5050,2012,13106.0,44149.0,0.20949600000000002,1.086158,GRC,020731
335183,90,5051,2012,1416262.0,69032728.0,0.20949600000000002,1.086158,GRC,020739
341709,90,5052,2012,11116519.0,41128823.0,0.20949600000000002,1.086158,GRC,020741
348235,90,5053,2012,635080.0,15993940.0,0.20949600000000002,1.086158,GRC,020742
354761,90,5054,2012,418663.0,353353.0,0.20949600000000002,1.086158,GRC,020743
361287,90,5055,2012,,,0.20949600000000002,1.086158,GRC,020750
367813,90,5056,2012,7629.0,2307368.0,0.20949600000000002,1.086158,GRC,020810
374339,90,5057,2012,,,0.20949600000000002,1.086158,GRC,020820
380865,90,5058,2012,13889.0,616540.0,0.20949600000000002,1.086158,GRC,020890
387391,90,5059,2012,1770835.0,853495.0,0.20949600000000002,1.086158,GRC,020900
393917,90,5060,2012,33728.0,644125.0,0.20949600000000002,1.086158,GRC,021011
400443,90,5061,2012,358811.0,4703520.0,0.20949600000000002,1.086158,GRC,021012
406969,90,5062,2012,279523.0,8680379.0,0.20949600000000002,1.086158,GRC,021019
413495,90,5063,2012,14845.0,1984448.0,0.20949600000000002,1.086158,GRC,021020
420021,90,5064,2012,59923.0,6486083.0,0.20949600000000002,1.086158,GRC,021090
426547,90,5065,2012,604949.0,1463407.0,0.20949600000000002,1.086158,GRC,030110
433073,90,5066,2012,1311040.0,250879.0,0.20949600000000002,1.086158,GRC,030191
439599,90,5067,2012,4211063.0,1932503.0,0.20949600000000002,1.086158,GRC,030192
446125,90,5068,2012,18957.0,8211.0,0.20949600000000002,1.086158,GRC,030193
452651,90,5069,2012,9922712.0,7383077.0,0.20949600000000002,1.086158,GRC,030199
459177,90,5070,2012,4010926.0,1010679.0,0.20949600000000002,1.086158,GRC,030211
