,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2412,92,5000,2015,0.0,3.145299190769878e-10,-1.017707,-0.913467,GRL,010111
8938,92,5001,2015,0.0,3.3176443519079537e-10,-1.017707,-0.913467,GRL,010119
15464,92,5002,2015,0.0,0.0,-1.017707,-0.913467,GRL,010120
21990,92,5003,2015,0.0,0.0,-1.017707,-0.913467,GRL,010210
28516,92,5004,2015,0.0,0.0,-1.017707,-0.913467,GRL,010290
35042,92,5005,2015,0.0,0.0,-1.017707,-0.913467,GRL,010310
41568,92,5006,2015,0.0,0.0,-1.017707,-0.913467,GRL,010391
48094,92,5007,2015,0.0,0.0,-1.017707,-0.913467,GRL,010392
54620,92,5008,2015,0.0,0.0,-1.017707,-0.913467,GRL,010410
61146,92,5009,2015,0.0,0.0,-1.017707,-0.913467,GRL,010420
67672,92,5010,2015,0.0,0.0,-1.017707,-0.913467,GRL,010511
74198,92,5011,2015,0.0,0.0,-1.017707,-0.913467,GRL,010519
80724,92,5012,2015,0.0,0.0,-1.017707,-0.913467,GRL,010591
87250,92,5013,2015,0.0,0.0,-1.017707,-0.913467,GRL,010599
93776,92,5014,2015,0.0,0.0,-1.017707,-0.913467,GRL,010600
100302,92,5015,2015,0.0,0.0,-1.017707,-0.913467,GRL,020110
106828,92,5016,2015,0.0,4.066682936854205e-10,-1.017707,-0.913467,GRL,020120
113354,92,5017,2015,0.0,8.697660388904709e-07,-1.017707,-0.913467,GRL,020130
119880,92,5018,2015,0.0,3.1910369450719057e-09,-1.017707,-0.913467,GRL,020210
126406,92,5019,2015,0.0,3.6231924366256297e-07,-1.017707,-0.913467,GRL,020220
132932,92,5020,2015,0.0,1.3817693750324679e-06,-1.017707,-0.913467,GRL,020230
139458,92,5021,2015,0.0,0.0,-1.017707,-0.913467,GRL,020311
145984,92,5022,2015,0.0,7.843693429795567e-09,-1.017707,-0.913467,GRL,020312
152510,92,5023,2015,0.0,3.7142702256270594e-08,-1.017707,-0.913467,GRL,020319
159036,92,5024,2015,0.0,9.121036220230457e-10,-1.017707,-0.913467,GRL,020321
165562,92,5025,2015,0.0,3.175757883671011e-08,-1.017707,-0.913467,GRL,020322
172088,92,5026,2015,0.0,2.3677010240250346e-06,-1.017707,-0.913467,GRL,020329
178614,92,5027,2015,0.0,6.867291805347932e-10,-1.017707,-0.913467,GRL,020410
185140,92,5028,2015,0.0,0.0,-1.017707,-0.913467,GRL,020421
191666,92,5029,2015,0.0,3.735581367667786e-09,-1.017707,-0.913467,GRL,020422
198192,92,5030,2015,0.0,1.1500725175944654e-10,-1.017707,-0.913467,GRL,020423
204718,92,5031,2015,1.3700304526323367e-09,1.8239686122845158e-07,-1.017707,-0.913467,GRL,020430
211244,92,5032,2015,0.0,0.0,-1.017707,-0.913467,GRL,020441
217770,92,5033,2015,0.0,2.385843666564839e-07,-1.017707,-0.913467,GRL,020442
224296,92,5034,2015,0.0,4.1347261322035256e-08,-1.017707,-0.913467,GRL,020443
230822,92,5035,2015,0.0,0.0,-1.017707,-0.913467,GRL,020450
237348,92,5036,2015,0.0,0.0,-1.017707,-0.913467,GRL,020500
243874,92,5037,2015,0.0,2.2492700693529797e-08,-1.017707,-0.913467,GRL,020610
250400,92,5038,2015,0.0,4.33182933860509e-10,-1.017707,-0.913467,GRL,020621
256926,92,5039,2015,0.0,2.8794899230146155e-09,-1.017707,-0.913467,GRL,020622
263452,92,5040,2015,0.0,1.9378887637967837e-08,-1.017707,-0.913467,GRL,020629
269978,92,5041,2015,0.0,3.0823269203540428e-09,-1.017707,-0.913467,GRL,020630
276504,92,5042,2015,0.0,1.8208929140242054e-09,-1.017707,-0.913467,GRL,020641
283030,92,5043,2015,0.0,4.84992540762632e-08,-1.017707,-0.913467,GRL,020649
289556,92,5044,2015,0.0,1.3890357121724508e-09,-1.017707,-0.913467,GRL,020680
296082,92,5045,2015,0.0,0.0,-1.017707,-0.913467,GRL,020690
302608,92,5046,2015,0.0,1.7689573625812507e-08,-1.017707,-0.913467,GRL,020710
309134,92,5047,2015,0.0,7.065047934763808e-07,-1.017707,-0.913467,GRL,020721
315660,92,5048,2015,0.0,0.0,-1.017707,-0.913467,GRL,020722
322186,92,5049,2015,0.0,7.159350566876532e-08,-1.017707,-0.913467,GRL,020723
328712,92,5050,2015,0.0,0.0,-1.017707,-0.913467,GRL,020731
335238,92,5051,2015,0.0,8.750494123783596e-09,-1.017707,-0.913467,GRL,020739
341764,92,5052,2015,0.0,3.840662201011684e-07,-1.017707,-0.913467,GRL,020741
348290,92,5053,2015,0.0,3.7077741387841626e-08,-1.017707,-0.913467,GRL,020742
354816,92,5054,2015,0.0,1.9726892290265873e-08,-1.017707,-0.913467,GRL,020743
361342,92,5055,2015,0.0,0.0,-1.017707,-0.913467,GRL,020750
367868,92,5056,2015,0.0,4.527374809896368e-10,-1.017707,-0.913467,GRL,020810
374394,92,5057,2015,0.0,0.0,-1.017707,-0.913467,GRL,020820
380920,92,5058,2015,1.4611233865100806e-08,1.9350715832781804e-08,-1.017707,-0.913467,GRL,020890
387446,92,5059,2015,0.0,3.3693479002493762e-09,-1.017707,-0.913467,GRL,020900
393972,92,5060,2015,0.0,1.4440535905357596e-09,-1.017707,-0.913467,GRL,021011
400498,92,5061,2015,0.0,1.0013651581724813e-07,-1.017707,-0.913467,GRL,021012
407024,92,5062,2015,0.0,2.912281904251156e-07,-1.017707,-0.913467,GRL,021019
413550,92,5063,2015,0.0,2.3684202336397837e-09,-1.017707,-0.913467,GRL,021020
420076,92,5064,2015,0.0,4.905208432391379e-10,-1.017707,-0.913467,GRL,021090
426602,92,5065,2015,0.0,0.0,-1.017707,-0.913467,GRL,030110
433128,92,5066,2015,0.0,0.0,-1.017707,-0.913467,GRL,030191
439654,92,5067,2015,0.0,0.0,-1.017707,-0.913467,GRL,030192
446180,92,5068,2015,2.505510237196231e-09,0.0,-1.017707,-0.913467,GRL,030193
452706,92,5069,2015,0.0,2.986211349719347e-10,-1.017707,-0.913467,GRL,030199
