,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2441,93,5000,2018,0.21201008780682637,0.9772674775454986,-0.362668,0.520826,GTM,010111
8967,93,5001,2018,0.18287022910734305,0.9831370602852015,-0.362668,0.520826,GTM,010119
15493,93,5002,2018,0.0,0.0,-0.362668,0.520826,GTM,010120
22019,93,5003,2018,0.06756733941786228,0.997714716060654,-0.362668,0.520826,GTM,010210
28545,93,5004,2018,0.022513629791233235,0.999746536114841,-0.362668,0.520826,GTM,010290
35071,93,5005,2018,0.0,1.0,-0.362668,0.520826,GTM,010310
41597,93,5006,2018,0.0,0.0,-0.362668,0.520826,GTM,010391
48123,93,5007,2018,0.0,0.0,-0.362668,0.520826,GTM,010392
54649,93,5008,2018,0.0,1.0,-0.362668,0.520826,GTM,010410
61175,93,5009,2018,0.0,0.0,-0.362668,0.520826,GTM,010420
67701,93,5010,2018,0.14470083080990911,0.9894754517232461,-0.362668,0.520826,GTM,010511
74227,93,5011,2018,0.0,1.0,-0.362668,0.520826,GTM,010519
80753,93,5012,2018,0.0,0.0,-0.362668,0.520826,GTM,010591
87279,93,5013,2018,0.0,1.0,-0.362668,0.520826,GTM,010599
93805,93,5014,2018,0.40716459669048627,0.9133548002840264,-0.362668,0.520826,GTM,010600
100331,93,5015,2018,0.0,0.0,-0.362668,0.520826,GTM,020110
106857,93,5016,2018,0.0,1.0,-0.362668,0.520826,GTM,020120
113383,93,5017,2018,0.00460156100333696,0.9999894127621215,-0.362668,0.520826,GTM,020130
119909,93,5018,2018,0.0,0.0,-0.362668,0.520826,GTM,020210
126435,93,5019,2018,0.0,1.0,-0.362668,0.520826,GTM,020220
132961,93,5020,2018,0.14863715243390963,0.9888918024315596,-0.362668,0.520826,GTM,020230
139487,93,5021,2018,0.0,1.0,-0.362668,0.520826,GTM,020311
146013,93,5022,2018,0.0,1.0,-0.362668,0.520826,GTM,020312
152539,93,5023,2018,0.0,1.0,-0.362668,0.520826,GTM,020319
159065,93,5024,2018,0.0,1.0,-0.362668,0.520826,GTM,020321
165591,93,5025,2018,0.0,1.0,-0.362668,0.520826,GTM,020322
172117,93,5026,2018,0.0,1.0,-0.362668,0.520826,GTM,020329
178643,93,5027,2018,0.0,0.0,-0.362668,0.520826,GTM,020410
185169,93,5028,2018,0.0,0.0,-0.362668,0.520826,GTM,020421
191695,93,5029,2018,0.0,1.0,-0.362668,0.520826,GTM,020422
198221,93,5030,2018,0.0,1.0,-0.362668,0.520826,GTM,020423
204747,93,5031,2018,0.0,0.0,-0.362668,0.520826,GTM,020430
211273,93,5032,2018,0.0,0.0,-0.362668,0.520826,GTM,020441
217799,93,5033,2018,0.0,1.0,-0.362668,0.520826,GTM,020442
224325,93,5034,2018,0.0,1.0,-0.362668,0.520826,GTM,020443
230851,93,5035,2018,0.0,0.0,-0.362668,0.520826,GTM,020450
237377,93,5036,2018,0.0,0.0,-0.362668,0.520826,GTM,020500
243903,93,5037,2018,0.0,1.0,-0.362668,0.520826,GTM,020610
250429,93,5038,2018,0.0,1.0,-0.362668,0.520826,GTM,020621
256955,93,5039,2018,0.0,1.0,-0.362668,0.520826,GTM,020622
263481,93,5040,2018,0.0,1.0,-0.362668,0.520826,GTM,020629
270007,93,5041,2018,0.0,1.0,-0.362668,0.520826,GTM,020630
276533,93,5042,2018,0.0,1.0,-0.362668,0.520826,GTM,020641
283059,93,5043,2018,0.02836516990807578,0.9995976276162754,-0.362668,0.520826,GTM,020649
289585,93,5044,2018,0.0,0.0,-0.362668,0.520826,GTM,020680
296111,93,5045,2018,0.0,0.0,-0.362668,0.520826,GTM,020690
302637,93,5046,2018,0.0,1.0,-0.362668,0.520826,GTM,020710
309163,93,5047,2018,0.9715458417260284,0.23685159367178238,-0.362668,0.520826,GTM,020721
315689,93,5048,2018,0.0,1.0,-0.362668,0.520826,GTM,020722
322215,93,5049,2018,0.0,1.0,-0.362668,0.520826,GTM,020723
328741,93,5050,2018,0.0,0.0,-0.362668,0.520826,GTM,020731
335267,93,5051,2018,0.4169933228772773,0.9089095492268562,-0.362668,0.520826,GTM,020739
341793,93,5052,2018,0.008061512908797712,0.9999675054768636,-0.362668,0.520826,GTM,020741
348319,93,5053,2018,0.0,1.0,-0.362668,0.520826,GTM,020742
354845,93,5054,2018,0.0,1.0,-0.362668,0.520826,GTM,020743
361371,93,5055,2018,0.0,0.0,-0.362668,0.520826,GTM,020750
367897,93,5056,2018,0.0,0.0,-0.362668,0.520826,GTM,020810
374423,93,5057,2018,0.0,0.0,-0.362668,0.520826,GTM,020820
380949,93,5058,2018,0.0,0.0,-0.362668,0.520826,GTM,020890
387475,93,5059,2018,0.018414415204256386,0.9998304402810935,-0.362668,0.520826,GTM,020900
394001,93,5060,2018,0.0,1.0,-0.362668,0.520826,GTM,021011
400527,93,5061,2018,0.0007211969193594527,0.9999997399374678,-0.362668,0.520826,GTM,021012
407053,93,5062,2018,0.0,1.0,-0.362668,0.520826,GTM,021019
413579,93,5063,2018,0.0,1.0,-0.362668,0.520826,GTM,021020
420105,93,5064,2018,0.0,1.0,-0.362668,0.520826,GTM,021090
426631,93,5065,2018,0.08265276888004164,0.9965784062463237,-0.362668,0.520826,GTM,030110
433157,93,5066,2018,0.644671723374195,0.7644595274321235,-0.362668,0.520826,GTM,030191
439683,93,5067,2018,0.0,0.0,-0.362668,0.520826,GTM,030192
446209,93,5068,2018,0.0,0.0,-0.362668,0.520826,GTM,030193
452735,93,5069,2018,0.0,1.0,-0.362668,0.520826,GTM,030199
459261,93,5070,2018,0.0,0.0,-0.362668,0.520826,GTM,030211
465787,93,5071,2018,0.0,1.0,-0.362668,0.520826,GTM,030212
472313,93,5072,2018,0.0,1.0,-0.362668,0.520826,GTM,030219
478839,93,5073,2018,0.0,0.0,-0.362668,0.520826,GTM,030221
485365,93,5074,2018,0.0,0.0,-0.362668,0.520826,GTM,030222
491891,93,5075,2018,0.0,0.0,-0.362668,0.520826,GTM,030223
498417,93,5076,2018,0.0,1.0,-0.362668,0.520826,GTM,030229
504943,93,5077,2018,0.0,0.0,-0.362668,0.520826,GTM,030231
511469,93,5078,2018,0.0,0.0,-0.362668,0.520826,GTM,030232
