,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2489,95,5000,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010111
9015,95,5001,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010119
15541,95,5002,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010120
22067,95,5003,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010210
28593,95,5004,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010290
35119,95,5005,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010310
41645,95,5006,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010391
48171,95,5007,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010392
54697,95,5008,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010410
61223,95,5009,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010420
67749,95,5010,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010511
74275,95,5011,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010519
80801,95,5012,2014,0.0,1.0,0.6368119999999999,-0.01771,GUM,010591
87327,95,5013,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010599
93853,95,5014,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,010600
100379,95,5015,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020110
106905,95,5016,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020120
113431,95,5017,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020130
119957,95,5018,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020210
126483,95,5019,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020220
133009,95,5020,2014,0.0,1.0,0.6368119999999999,-0.01771,GUM,020230
139535,95,5021,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020311
146061,95,5022,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020312
152587,95,5023,2014,0.0,0.0,0.6368119999999999,-0.01771,GUM,020319
