,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2496,96,5000,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010111
9022,96,5001,1995,0.0,1.482499818789638e-09,-0.8856,-0.8413700000000001,GUY,010119
15548,96,5002,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010120
22074,96,5003,1995,7.968661973550083e-09,0.0,-0.8856,-0.8413700000000001,GUY,010210
28600,96,5004,1995,2.401871569910175e-09,0.0,-0.8856,-0.8413700000000001,GUY,010290
35126,96,5005,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010310
41652,96,5006,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010391
48178,96,5007,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010392
54704,96,5008,1995,1.0357805987828638e-09,0.0,-0.8856,-0.8413700000000001,GUY,010410
61230,96,5009,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010420
67756,96,5010,1995,2.666725941863429e-09,6.980310459094246e-09,-0.8856,-0.8413700000000001,GUY,010511
74282,96,5011,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010519
80808,96,5012,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,010591
87334,96,5013,1995,0.0,1.7082056932800791e-09,-0.8856,-0.8413700000000001,GUY,010599
93860,96,5014,1995,4.2873680256231584e-08,0.0,-0.8856,-0.8413700000000001,GUY,010600
100386,96,5015,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020110
106912,96,5016,1995,0.0,1.4675853336911506e-09,-0.8856,-0.8413700000000001,GUY,020120
113438,96,5017,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020130
119964,96,5018,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020210
126490,96,5019,1995,0.0,6.0102060616881945e-09,-0.8856,-0.8413700000000001,GUY,020220
133016,96,5020,1995,0.0,1.80650872172922e-08,-0.8856,-0.8413700000000001,GUY,020230
139542,96,5021,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020311
146068,96,5022,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020312
152594,96,5023,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020319
159120,96,5024,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020321
165646,96,5025,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020322
172172,96,5026,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020329
178698,96,5027,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020410
185224,96,5028,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020421
191750,96,5029,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020422
198276,96,5030,1995,0.0,0.0,-0.8856,-0.8413700000000001,GUY,020423
