,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2534,97,5000,2007,85917.0,17246912.0,0.639034,2.1086009999999997,HKG,010111
9060,97,5001,2007,3385856.0,36887279.0,0.639034,2.1086009999999997,HKG,010119
15586,97,5002,2007,0.0,187547.0,0.639034,2.1086009999999997,HKG,010120
22112,97,5003,2007,,,0.639034,2.1086009999999997,HKG,010210
28638,97,5004,2007,33307.0,32842361.0,0.639034,2.1086009999999997,HKG,010290
35164,97,5005,2007,0.0,2340280.0,0.639034,2.1086009999999997,HKG,010310
41690,97,5006,2007,0.0,4245484.0,0.639034,2.1086009999999997,HKG,010391
48216,97,5007,2007,0.0,229211859.0,0.639034,2.1086009999999997,HKG,010392
54742,97,5008,2007,0.0,1338.0,0.639034,2.1086009999999997,HKG,010410
61268,97,5009,2007,0.0,374232.0,0.639034,2.1086009999999997,HKG,010420
67794,97,5010,2007,0.0,2285333.0,0.639034,2.1086009999999997,HKG,010511
74320,97,5011,2007,0.0,4475.0,0.639034,2.1086009999999997,HKG,010519
80846,97,5012,2007,0.0,23005644.0,0.639034,2.1086009999999997,HKG,010591
87372,97,5013,2007,0.0,479839.0,0.639034,2.1086009999999997,HKG,010599
93898,97,5014,2007,471611.0,15631907.0,0.639034,2.1086009999999997,HKG,010600
100424,97,5015,2007,0.0,638111.0,0.639034,2.1086009999999997,HKG,020110
106950,97,5016,2007,3846.0,1687583.0,0.639034,2.1086009999999997,HKG,020120
113476,97,5017,2007,793179.0,42305147.0,0.639034,2.1086009999999997,HKG,020130
120002,97,5018,2007,0.0,591309.0,0.639034,2.1086009999999997,HKG,020210
126528,97,5019,2007,1621818.0,2684942.0,0.639034,2.1086009999999997,HKG,020220
133054,97,5020,2007,21815266.0,181886702.0,0.639034,2.1086009999999997,HKG,020230
139580,97,5021,2007,0.0,17888579.0,0.639034,2.1086009999999997,HKG,020311
146106,97,5022,2007,0.0,1172194.0,0.639034,2.1086009999999997,HKG,020312
152632,97,5023,2007,117613.0,31751016.0,0.639034,2.1086009999999997,HKG,020319
159158,97,5024,2007,3008156.0,46547172.0,0.639034,2.1086009999999997,HKG,020321
165684,97,5025,2007,104213.0,18324204.0,0.639034,2.1086009999999997,HKG,020322
172210,97,5026,2007,43646711.0,337229033.0,0.639034,2.1086009999999997,HKG,020329
178736,97,5027,2007,0.0,94761.0,0.639034,2.1086009999999997,HKG,020410
185262,97,5028,2007,0.0,19050.0,0.639034,2.1086009999999997,HKG,020421
191788,97,5029,2007,118434.0,5363292.0,0.639034,2.1086009999999997,HKG,020422
198314,97,5030,2007,10405.0,788088.0,0.639034,2.1086009999999997,HKG,020423
204840,97,5031,2007,0.0,168189.0,0.639034,2.1086009999999997,HKG,020430
211366,97,5032,2007,10223.0,155059.0,0.639034,2.1086009999999997,HKG,020441
217892,97,5033,2007,1984613.0,16490143.0,0.639034,2.1086009999999997,HKG,020442
224418,97,5034,2007,302949.0,5866348.0,0.639034,2.1086009999999997,HKG,020443
230944,97,5035,2007,37643.0,7950440.0,0.639034,2.1086009999999997,HKG,020450
237470,97,5036,2007,0.0,12947.0,0.639034,2.1086009999999997,HKG,020500
243996,97,5037,2007,43292.0,9444099.0,0.639034,2.1086009999999997,HKG,020610
250522,97,5038,2007,800307.0,5791732.0,0.639034,2.1086009999999997,HKG,020621
257048,97,5039,2007,15500.0,1314183.0,0.639034,2.1086009999999997,HKG,020622
263574,97,5040,2007,112154192.0,132750120.0,0.639034,2.1086009999999997,HKG,020629
270100,97,5041,2007,0.0,1201902.0,0.639034,2.1086009999999997,HKG,020630
276626,97,5042,2007,213821.0,1223776.0,0.639034,2.1086009999999997,HKG,020641
283152,97,5043,2007,57091264.0,255266968.0,0.639034,2.1086009999999997,HKG,020649
289678,97,5044,2007,0.0,19598.0,0.639034,2.1086009999999997,HKG,020680
296204,97,5045,2007,7009620.0,8192763.0,0.639034,2.1086009999999997,HKG,020690
302730,97,5046,2007,7764.0,118574452.0,0.639034,2.1086009999999997,HKG,020710
309256,97,5047,2007,366905.0,15567441.0,0.639034,2.1086009999999997,HKG,020721
315782,97,5048,2007,69203.0,1110322.0,0.639034,2.1086009999999997,HKG,020722
322308,97,5049,2007,20087.0,3556244.0,0.639034,2.1086009999999997,HKG,020723
328834,97,5050,2007,18759.0,757737.0,0.639034,2.1086009999999997,HKG,020731
335360,97,5051,2007,123596.0,7083656.0,0.639034,2.1086009999999997,HKG,020739
341886,97,5052,2007,311154309.0,622352004.0,0.639034,2.1086009999999997,HKG,020741
348412,97,5053,2007,6598577.0,16172609.0,0.639034,2.1086009999999997,HKG,020742
354938,97,5054,2007,4634327.0,28460547.0,0.639034,2.1086009999999997,HKG,020743
361464,97,5055,2007,,,0.639034,2.1086009999999997,HKG,020750
367990,97,5056,2007,0.0,76517.0,0.639034,2.1086009999999997,HKG,020810
374516,97,5057,2007,0.0,79138.0,0.639034,2.1086009999999997,HKG,020820
381042,97,5058,2007,63774.0,14677848.0,0.639034,2.1086009999999997,HKG,020890
387568,97,5059,2007,6662.0,2413736.0,0.639034,2.1086009999999997,HKG,020900
394094,97,5060,2007,802268.0,2040770.0,0.639034,2.1086009999999997,HKG,021011
400620,97,5061,2007,313271.0,2073811.0,0.639034,2.1086009999999997,HKG,021012
407146,97,5062,2007,63898.0,4478983.0,0.639034,2.1086009999999997,HKG,021019
413672,97,5063,2007,10709.0,578323.0,0.639034,2.1086009999999997,HKG,021020
420198,97,5064,2007,74772.0,3494470.0,0.639034,2.1086009999999997,HKG,021090
426724,97,5065,2007,7947931.0,13831371.0,0.639034,2.1086009999999997,HKG,030110
