,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2549,98,5000,1996,0.0,0.0,,,HMD,010111
9075,98,5001,1996,0.0,0.0,,,HMD,010119
15601,98,5002,1996,0.0,0.0,,,HMD,010120
22127,98,5003,1996,0.0,0.0,,,HMD,010210
28653,98,5004,1996,0.0,0.0,,,HMD,010290
35179,98,5005,1996,0.0,0.0,,,HMD,010310
41705,98,5006,1996,0.0,0.0,,,HMD,010391
48231,98,5007,1996,0.0,0.0,,,HMD,010392
54757,98,5008,1996,0.0,0.0,,,HMD,010410
61283,98,5009,1996,0.0,0.0,,,HMD,010420
67809,98,5010,1996,0.0,0.0,,,HMD,010511
74335,98,5011,1996,0.0,0.0,,,HMD,010519
80861,98,5012,1996,0.0,0.0,,,HMD,010591
87387,98,5013,1996,0.0,0.0,,,HMD,010599
93913,98,5014,1996,0.0,0.0,,,HMD,010600
100439,98,5015,1996,0.0,0.0,,,HMD,020110
106965,98,5016,1996,0.0,0.0,,,HMD,020120
113491,98,5017,1996,0.0,0.0,,,HMD,020130
120017,98,5018,1996,0.0,0.0,,,HMD,020210
126543,98,5019,1996,0.0,0.0,,,HMD,020220
133069,98,5020,1996,0.0,0.0,,,HMD,020230
139595,98,5021,1996,0.0,0.0,,,HMD,020311
146121,98,5022,1996,0.0,0.0,,,HMD,020312
152647,98,5023,1996,0.0,0.0,,,HMD,020319
159173,98,5024,1996,0.0,0.0,,,HMD,020321
165699,98,5025,1996,0.0,0.0,,,HMD,020322
172225,98,5026,1996,0.0,0.0,,,HMD,020329
178751,98,5027,1996,0.0,0.0,,,HMD,020410
185277,98,5028,1996,0.0,0.0,,,HMD,020421
191803,98,5029,1996,0.0,0.0,,,HMD,020422
198329,98,5030,1996,0.0,0.0,,,HMD,020423
204855,98,5031,1996,0.0,0.0,,,HMD,020430
211381,98,5032,1996,0.0,0.0,,,HMD,020441
217907,98,5033,1996,0.0,0.0,,,HMD,020442
224433,98,5034,1996,0.0,0.0,,,HMD,020443
230959,98,5035,1996,0.0,0.0,,,HMD,020450
237485,98,5036,1996,0.0,0.0,,,HMD,020500
244011,98,5037,1996,0.0,0.0,,,HMD,020610
250537,98,5038,1996,0.0,0.0,,,HMD,020621
257063,98,5039,1996,0.0,0.0,,,HMD,020622
263589,98,5040,1996,0.0,0.0,,,HMD,020629
270115,98,5041,1996,0.0,0.0,,,HMD,020630
276641,98,5042,1996,0.0,0.0,,,HMD,020641
283167,98,5043,1996,0.0,0.0,,,HMD,020649
289693,98,5044,1996,0.0,0.0,,,HMD,020680
296219,98,5045,1996,0.0,0.0,,,HMD,020690
