,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2584,99,5000,2005,4.707074324427801e-09,1.3448225496804907e-08,-0.731899,-0.54884,HND,010111
9110,99,5001,2005,0.0,1.8604991577857438e-08,-0.731899,-0.54884,HND,010119
15636,99,5002,2005,0.0,0.0,-0.731899,-0.54884,HND,010120
22162,99,5003,2005,4.541616101216728e-09,4.852338239882253e-07,-0.731899,-0.54884,HND,010210
28688,99,5004,2005,4.5419494419594615e-08,4.122008716476546e-06,-0.731899,-0.54884,HND,010290
35214,99,5005,2005,4.683437435397648e-09,2.778038281044683e-08,-0.731899,-0.54884,HND,010310
41740,99,5006,2005,0.0,2.0601875416043796e-09,-0.731899,-0.54884,HND,010391
48266,99,5007,2005,8.723678755840166e-08,2.1824863194119752e-09,-0.731899,-0.54884,HND,010392
54792,99,5008,2005,0.0,0.0,-0.731899,-0.54884,HND,010410
61318,99,5009,2005,3.3849237239334665e-10,0.0,-0.731899,-0.54884,HND,010420
67844,99,5010,2005,1.8599807370419723e-08,1.0682645782312494e-06,-0.731899,-0.54884,HND,010511
74370,99,5011,2005,0.0,0.0,-0.731899,-0.54884,HND,010519
80896,99,5012,2005,0.0,0.0,-0.731899,-0.54884,HND,010591
87422,99,5013,2005,0.0,0.0,-0.731899,-0.54884,HND,010599
93948,99,5014,2005,9.531242160666513e-08,1.9262886087201822e-08,-0.731899,-0.54884,HND,010600
100474,99,5015,2005,0.0,1.2260701049963129e-08,-0.731899,-0.54884,HND,020110
107000,99,5016,2005,8.636191962724715e-08,3.706481550075627e-08,-0.731899,-0.54884,HND,020120
113526,99,5017,2005,7.249124767768337e-07,1.4989803248234663e-06,-0.731899,-0.54884,HND,020130
120052,99,5018,2005,0.0,3.4660931935882306e-08,-0.731899,-0.54884,HND,020210
126578,99,5019,2005,6.24559337065969e-10,6.996053526698205e-08,-0.731899,-0.54884,HND,020220
133104,99,5020,2005,1.56134379599793e-07,2.475148289004559e-07,-0.731899,-0.54884,HND,020230
139630,99,5021,2005,0.0,5.717023742282175e-07,-0.731899,-0.54884,HND,020311
146156,99,5022,2005,0.0,1.199834199976065e-06,-0.731899,-0.54884,HND,020312
152682,99,5023,2005,0.0,1.5108174544966325e-07,-0.731899,-0.54884,HND,020319
159208,99,5024,2005,1.5770047501656006e-09,4.140227920039857e-08,-0.731899,-0.54884,HND,020321
165734,99,5025,2005,0.0,9.139951101665361e-07,-0.731899,-0.54884,HND,020322
172260,99,5026,2005,1.2067359138786405e-07,1.3291265455628428e-06,-0.731899,-0.54884,HND,020329
178786,99,5027,2005,0.0,9.243666431040242e-10,-0.731899,-0.54884,HND,020410
185312,99,5028,2005,0.0,0.0,-0.731899,-0.54884,HND,020421
191838,99,5029,2005,0.0,0.0,-0.731899,-0.54884,HND,020422
198364,99,5030,2005,0.0,0.0,-0.731899,-0.54884,HND,020423
204890,99,5031,2005,0.0,2.7856943833952395e-09,-0.731899,-0.54884,HND,020430
211416,99,5032,2005,0.0,0.0,-0.731899,-0.54884,HND,020441
217942,99,5033,2005,0.0,2.555348446874158e-09,-0.731899,-0.54884,HND,020442
224468,99,5034,2005,0.0,7.46718553930931e-10,-0.731899,-0.54884,HND,020443
230994,99,5035,2005,0.0,0.0,-0.731899,-0.54884,HND,020450
237520,99,5036,2005,0.0,0.0,-0.731899,-0.54884,HND,020500
244046,99,5037,2005,2.4095990144008018e-08,1.0442128166954243e-08,-0.731899,-0.54884,HND,020610
250572,99,5038,2005,5.167084549399242e-08,1.2523527420698694e-08,-0.731899,-0.54884,HND,020621
257098,99,5039,2005,0.0,3.9755786332126006e-07,-0.731899,-0.54884,HND,020622
