,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2639,101,5000,2008,0.0,0.0,-1.087836,-0.967734,HTI,010111
9165,101,5001,2008,0.0,1.4914485098487303e-08,-1.087836,-0.967734,HTI,010119
15691,101,5002,2008,0.0,0.0,-1.087836,-0.967734,HTI,010120
22217,101,5003,2008,0.0,0.0,-1.087836,-0.967734,HTI,010210
28743,101,5004,2008,0.0,0.0,-1.087836,-0.967734,HTI,010290
35269,101,5005,2008,0.0,8.948691059092381e-10,-1.087836,-0.967734,HTI,010310
41795,101,5006,2008,0.0,0.0,-1.087836,-0.967734,HTI,010391
48321,101,5007,2008,0.0,0.0,-1.087836,-0.967734,HTI,010392
54847,101,5008,2008,0.0,0.0,-1.087836,-0.967734,HTI,010410
61373,101,5009,2008,0.0,7.288211718127462e-10,-1.087836,-0.967734,HTI,010420
67899,101,5010,2008,0.0,8.231635758857332e-08,-1.087836,-0.967734,HTI,010511
74425,101,5011,2008,0.0,0.0,-1.087836,-0.967734,HTI,010519
80951,101,5012,2008,0.0,0.0,-1.087836,-0.967734,HTI,010591
87477,101,5013,2008,0.0,1.4416009863195639e-08,-1.087836,-0.967734,HTI,010599
94003,101,5014,2008,1.1206006659564517e-08,0.0,-1.087836,-0.967734,HTI,010600
100529,101,5015,2008,0.0,0.0,-1.087836,-0.967734,HTI,020110
107055,101,5016,2008,0.0,0.0,-1.087836,-0.967734,HTI,020120
113581,101,5017,2008,0.0,7.13641540312508e-09,-1.087836,-0.967734,HTI,020130
120107,101,5018,2008,0.0,0.0,-1.087836,-0.967734,HTI,020210
126633,101,5019,2008,0.0,2.6843090280257447e-08,-1.087836,-0.967734,HTI,020220
133159,101,5020,2008,0.0,5.441549888183092e-07,-1.087836,-0.967734,HTI,020230
139685,101,5021,2008,0.0,1.068341139254755e-08,-1.087836,-0.967734,HTI,020311
146211,101,5022,2008,0.0,2.9941657417718736e-08,-1.087836,-0.967734,HTI,020312
152737,101,5023,2008,0.0,7.277274429055238e-09,-1.087836,-0.967734,HTI,020319
159263,101,5024,2008,0.0,1.5211449068448296e-08,-1.087836,-0.967734,HTI,020321
165789,101,5025,2008,0.0,2.8524052180757626e-07,-1.087836,-0.967734,HTI,020322
172315,101,5026,2008,0.0,8.515693727713099e-07,-1.087836,-0.967734,HTI,020329
178841,101,5027,2008,0.0,0.0,-1.087836,-0.967734,HTI,020410
185367,101,5028,2008,0.0,0.0,-1.087836,-0.967734,HTI,020421
191893,101,5029,2008,0.0,0.0,-1.087836,-0.967734,HTI,020422
198419,101,5030,2008,0.0,0.0,-1.087836,-0.967734,HTI,020423
204945,101,5031,2008,0.0,0.0,-1.087836,-0.967734,HTI,020430
211471,101,5032,2008,0.0,1.3674925670301914e-08,-1.087836,-0.967734,HTI,020441
217997,101,5033,2008,0.0,4.745457725336471e-08,-1.087836,-0.967734,HTI,020442
224523,101,5034,2008,0.0,1.5609831537079e-08,-1.087836,-0.967734,HTI,020443
231049,101,5035,2008,0.0,1.4652653026758304e-09,-1.087836,-0.967734,HTI,020450
237575,101,5036,2008,0.0,0.0,-1.087836,-0.967734,HTI,020500
244101,101,5037,2008,0.0,1.1364837645047325e-09,-1.087836,-0.967734,HTI,020610
250627,101,5038,2008,0.0,0.0,-1.087836,-0.967734,HTI,020621
257153,101,5039,2008,0.0,0.0,-1.087836,-0.967734,HTI,020622
263679,101,5040,2008,0.0,0.0,-1.087836,-0.967734,HTI,020629
270205,101,5041,2008,0.0,7.261697077952374e-09,-1.087836,-0.967734,HTI,020630
276731,101,5042,2008,0.0,0.0,-1.087836,-0.967734,HTI,020641
283257,101,5043,2008,0.0,1.0173703892811714e-06,-1.087836,-0.967734,HTI,020649
289783,101,5044,2008,0.0,0.0,-1.087836,-0.967734,HTI,020680
296309,101,5045,2008,0.0,0.0,-1.087836,-0.967734,HTI,020690
302835,101,5046,2008,0.0,2.2115198504036974e-08,-1.087836,-0.967734,HTI,020710
309361,101,5047,2008,0.0,7.696209058151659e-07,-1.087836,-0.967734,HTI,020721
315887,101,5048,2008,0.0,1.192260624443053e-07,-1.087836,-0.967734,HTI,020722
322413,101,5049,2008,0.0,8.590743416728687e-10,-1.087836,-0.967734,HTI,020723
328939,101,5050,2008,0.0,0.0,-1.087836,-0.967734,HTI,020731
335465,101,5051,2008,0.0,1.4695076451038445e-08,-1.087836,-0.967734,HTI,020739
341991,101,5052,2008,0.0,7.549420032946342e-06,-1.087836,-0.967734,HTI,020741
348517,101,5053,2008,0.0,2.165706529377171e-06,-1.087836,-0.967734,HTI,020742
355043,101,5054,2008,0.0,4.1082578926487435e-07,-1.087836,-0.967734,HTI,020743
361569,101,5055,2008,0.0,0.0,-1.087836,-0.967734,HTI,020750
368095,101,5056,2008,0.0,0.0,-1.087836,-0.967734,HTI,020810
374621,101,5057,2008,0.0,0.0,-1.087836,-0.967734,HTI,020820
381147,101,5058,2008,0.0,0.0,-1.087836,-0.967734,HTI,020890
387673,101,5059,2008,0.0,1.8155899859891878e-08,-1.087836,-0.967734,HTI,020900
394199,101,5060,2008,0.0,4.971495032829101e-09,-1.087836,-0.967734,HTI,021011
400725,101,5061,2008,0.0,1.7340574674507903e-08,-1.087836,-0.967734,HTI,021012
407251,101,5062,2008,0.0,1.6790727323877007e-08,-1.087836,-0.967734,HTI,021019
413777,101,5063,2008,0.0,0.0,-1.087836,-0.967734,HTI,021020
420303,101,5064,2008,0.0,0.0,-1.087836,-0.967734,HTI,021090
426829,101,5065,2008,1.4955302119008958e-07,0.0,-1.087836,-0.967734,HTI,030110
433355,101,5066,2008,0.0,0.0,-1.087836,-0.967734,HTI,030191
439881,101,5067,2008,0.0,0.0,-1.087836,-0.967734,HTI,030192
446407,101,5068,2008,0.0,0.0,-1.087836,-0.967734,HTI,030193
452933,101,5069,2008,0.0,1.7062170952669474e-09,-1.087836,-0.967734,HTI,030199
459459,101,5070,2008,0.0,2.4360325660862594e-09,-1.087836,-0.967734,HTI,030211
465985,101,5071,2008,0.0,0.0,-1.087836,-0.967734,HTI,030212
472511,101,5072,2008,0.0,5.41428952375308e-09,-1.087836,-0.967734,HTI,030219
479037,101,5073,2008,0.0,0.0,-1.087836,-0.967734,HTI,030221
485563,101,5074,2008,0.0,4.885322452260064e-10,-1.087836,-0.967734,HTI,030222
492089,101,5075,2008,0.0,0.0,-1.087836,-0.967734,HTI,030223
498615,101,5076,2008,0.0,0.0,-1.087836,-0.967734,HTI,030229
505141,101,5077,2008,0.0,0.0,-1.087836,-0.967734,HTI,030231
511667,101,5078,2008,0.0,0.0,-1.087836,-0.967734,HTI,030232
518193,101,5079,2008,0.0,0.0,-1.087836,-0.967734,HTI,030233
524719,101,5080,2008,0.0,0.0,-1.087836,-0.967734,HTI,030239
531245,101,5081,2008,0.0,0.0,-1.087836,-0.967734,HTI,030240
537771,101,5082,2008,0.0,0.0,-1.087836,-0.967734,HTI,030250
544297,101,5083,2008,0.0,4.378229958911495e-10,-1.087836,-0.967734,HTI,030261
550823,101,5084,2008,0.0,0.0,-1.087836,-0.967734,HTI,030262
557349,101,5085,2008,0.0,0.0,-1.087836,-0.967734,HTI,030263
563875,101,5086,2008,0.0,0.0,-1.087836,-0.967734,HTI,030264
570401,101,5087,2008,0.0,8.043878963117486e-09,-1.087836,-0.967734,HTI,030265
576927,101,5088,2008,0.0,0.0,-1.087836,-0.967734,HTI,030266
583453,101,5089,2008,3.612201503069554e-10,9.6597142786876e-08,-1.087836,-0.967734,HTI,030269
589979,101,5090,2008,0.0,0.0,-1.087836,-0.967734,HTI,030270
596505,101,5091,2008,0.0,0.0,-1.087836,-0.967734,HTI,030310
603031,101,5092,2008,0.0,0.0,-1.087836,-0.967734,HTI,030321
609557,101,5093,2008,0.0,0.0,-1.087836,-0.967734,HTI,030322
616083,101,5094,2008,0.0,0.0,-1.087836,-0.967734,HTI,030329
622609,101,5095,2008,0.0,0.0,-1.087836,-0.967734,HTI,030331
629135,101,5096,2008,0.0,0.0,-1.087836,-0.967734,HTI,030332
635661,101,5097,2008,0.0,0.0,-1.087836,-0.967734,HTI,030333
642187,101,5098,2008,0.0,3.1220988806166753e-09,-1.087836,-0.967734,HTI,030339
648713,101,5099,2008,0.0,0.0,-1.087836,-0.967734,HTI,030341
655239,101,5100,2008,0.0,0.0,-1.087836,-0.967734,HTI,030342
661765,101,5101,2008,0.0,0.0,-1.087836,-0.967734,HTI,030343
