,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2676,102,5000,2019,3.401696824033709e-07,4.4818326010656315e-07,1.462102,0.809183,HUN,010111
9202,102,5001,2019,6.592428352732525e-07,5.5897170118115094e-08,1.462102,0.809183,HUN,010119
15728,102,5002,2019,0.0,0.0,1.462102,0.809183,HUN,010120
22254,102,5003,2019,1.3236521490218267e-05,7.072951949000002e-06,1.462102,0.809183,HUN,010210
28780,102,5004,2019,3.773128322527618e-05,7.3834161794391415e-06,1.462102,0.809183,HUN,010290
35306,102,5005,2019,3.393769375097443e-07,1.5079167528614778e-06,1.462102,0.809183,HUN,010310
41832,102,5006,2019,8.864041875790148e-06,1.915955356294447e-05,1.462102,0.809183,HUN,010391
48358,102,5007,2019,1.5064954556330955e-05,2.1526112468843965e-05,1.462102,0.809183,HUN,010392
54884,102,5008,2019,1.4683994876350473e-05,1.2801881427586796e-06,1.462102,0.809183,HUN,010410
61410,102,5009,2019,5.508683051440782e-07,1.0450082559006771e-09,1.462102,0.809183,HUN,010420
67936,102,5010,2019,2.8772231661881178e-05,5.329483441452066e-06,1.462102,0.809183,HUN,010511
74462,102,5011,2019,6.656881300525132e-07,6.349021071134548e-06,1.462102,0.809183,HUN,010519
80988,102,5012,2019,2.172611019428904e-06,1.6566934480675197e-05,1.462102,0.809183,HUN,010591
87514,102,5013,2019,9.912864885687997e-06,9.638833999549718e-08,1.462102,0.809183,HUN,010599
94040,102,5014,2019,3.2551193235280694e-06,1.2118910697296821e-06,1.462102,0.809183,HUN,010600
100566,102,5015,2019,4.499594864150777e-06,1.6221398341377462e-06,1.462102,0.809183,HUN,020110
107092,102,5016,2019,8.469678261507336e-06,3.621741422942048e-06,1.462102,0.809183,HUN,020120
113618,102,5017,2019,1.8375799360932806e-06,8.819326129678125e-06,1.462102,0.809183,HUN,020130
120144,102,5018,2019,6.541509039094876e-08,3.593926902532376e-08,1.462102,0.809183,HUN,020210
126670,102,5019,2019,7.405937344261072e-07,1.4042948875932143e-07,1.462102,0.809183,HUN,020220
133196,102,5020,2019,2.6701232901059554e-06,1.080363307973043e-05,1.462102,0.809183,HUN,020230
139722,102,5021,2019,1.895962445923681e-05,1.9147825474729026e-05,1.462102,0.809183,HUN,020311
146248,102,5022,2019,1.811522326589401e-05,6.829414647558811e-06,1.462102,0.809183,HUN,020312
152774,102,5023,2019,4.707239358399157e-05,7.047583569862982e-05,1.462102,0.809183,HUN,020319
159300,102,5024,2019,5.158581330089164e-07,3.579492995287062e-07,1.462102,0.809183,HUN,020321
165826,102,5025,2019,2.3204982460164454e-06,1.7275557462468565e-06,1.462102,0.809183,HUN,020322
172352,102,5026,2019,3.001012372283491e-05,2.470957053545482e-05,1.462102,0.809183,HUN,020329
178878,102,5027,2019,8.077297721606744e-07,1.744162859687521e-07,1.462102,0.809183,HUN,020410
185404,102,5028,2019,1.872526470450284e-08,5.427878276842812e-09,1.462102,0.809183,HUN,020421
191930,102,5029,2019,6.681057595484434e-09,6.115900046086141e-08,1.462102,0.809183,HUN,020422
198456,102,5030,2019,5.760431071463855e-09,6.367358264846637e-08,1.462102,0.809183,HUN,020423
204982,102,5031,2019,1.5137306164541136e-08,1.655176412929902e-08,1.462102,0.809183,HUN,020430
211508,102,5032,2019,0.0,1.9799807550747368e-09,1.462102,0.809183,HUN,020441
218034,102,5033,2019,2.9727024399883728e-08,2.2254532938157062e-07,1.462102,0.809183,HUN,020442
224560,102,5034,2019,1.208502619815125e-07,3.378551794720154e-07,1.462102,0.809183,HUN,020443
231086,102,5035,2019,0.0,4.236045200972583e-09,1.462102,0.809183,HUN,020450
237612,102,5036,2019,1.5083365571626174e-08,1.2203296853984063e-07,1.462102,0.809183,HUN,020500
244138,102,5037,2019,3.819957636163046e-07,3.744059423863771e-07,1.462102,0.809183,HUN,020610
250664,102,5038,2019,1.4670023050637342e-07,2.2566908542719826e-07,1.462102,0.809183,HUN,020621
257190,102,5039,2019,1.5024485474977983e-07,3.183788505314041e-07,1.462102,0.809183,HUN,020622
263716,102,5040,2019,1.2144209331838285e-07,1.0297543834079485e-06,1.462102,0.809183,HUN,020629
270242,102,5041,2019,2.6331982269223123e-06,2.5598539471059098e-06,1.462102,0.809183,HUN,020630
276768,102,5042,2019,2.186230413065855e-08,1.5289667256964805e-07,1.462102,0.809183,HUN,020641
283294,102,5043,2019,4.337493079181986e-06,2.483706883420075e-06,1.462102,0.809183,HUN,020649
289820,102,5044,2019,3.222807999260889e-07,1.5941927405271985e-09,1.462102,0.809183,HUN,020680
