,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2689,103,5000,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,010111
9215,103,5001,2006,0.024281657739522244,0.9997051570825374,-0.21012399999999998,1.467838,IDN,010119
15741,103,5002,2006,0.9972710989097168,0.07382652151771842,-0.21012399999999998,1.467838,IDN,010120
22267,103,5003,2006,0.0003655294894563009,0.999999933194094,-0.21012399999999998,1.467838,IDN,010210
28793,103,5004,2006,1.7914183750209494e-05,0.9999999998395411,-0.21012399999999998,1.467838,IDN,010290
35319,103,5005,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,010310
41845,103,5006,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,010391
48371,103,5007,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,010392
54897,103,5008,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,010410
61423,103,5009,2006,0.9999018281118418,0.014011928439607453,-0.21012399999999998,1.467838,IDN,010420
67949,103,5010,2006,0.035468984962445174,0.9993707775924479,-0.21012399999999998,1.467838,IDN,010511
74475,103,5011,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,010519
81001,103,5012,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,010591
87527,103,5013,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,010599
94053,103,5014,2006,0.9987503158783275,0.04997806051599978,-0.21012399999999998,1.467838,IDN,010600
100579,103,5015,2006,0.4814447929851062,0.8764764179985267,-0.21012399999999998,1.467838,IDN,020110
107105,103,5016,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020120
113631,103,5017,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020130
120157,103,5018,2006,0.12965599847983064,0.9915590360932616,-0.21012399999999998,1.467838,IDN,020210
126683,103,5019,2006,0.00036381645864816734,0.99999993381879,-0.21012399999999998,1.467838,IDN,020220
133209,103,5020,2006,0.014327293646881739,0.9998973590607968,-0.21012399999999998,1.467838,IDN,020230
139735,103,5021,2006,0.11129634654582862,0.9937872625695857,-0.21012399999999998,1.467838,IDN,020311
146261,103,5022,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020312
152787,103,5023,2006,0.2506839247527428,0.9680689902432373,-0.21012399999999998,1.467838,IDN,020319
159313,103,5024,2006,0.04968626025871184,0.9987648750038738,-0.21012399999999998,1.467838,IDN,020321
165839,103,5025,2006,0.04070445329761002,0.9991712303112729,-0.21012399999999998,1.467838,IDN,020322
172365,103,5026,2006,0.47576866295934855,0.8795704516102585,-0.21012399999999998,1.467838,IDN,020329
178891,103,5027,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020410
185417,103,5028,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020421
191943,103,5029,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020422
198469,103,5030,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020423
204995,103,5031,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020430
211521,103,5032,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020441
218047,103,5033,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020442
224573,103,5034,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020443
231099,103,5035,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020450
237625,103,5036,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,020500
244151,103,5037,2006,0.10650730899355006,0.9943119194352206,-0.21012399999999998,1.467838,IDN,020610
250677,103,5038,2006,0.0012934069817043315,0.99999916354884,-0.21012399999999998,1.467838,IDN,020621
257203,103,5039,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020622
263729,103,5040,2006,9.075480017802634e-05,0.9999999958817831,-0.21012399999999998,1.467838,IDN,020629
270255,103,5041,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020630
276781,103,5042,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,020641
283307,103,5043,2006,0.905316153569442,0.4247383454389661,-0.21012399999999998,1.467838,IDN,020649
289833,103,5044,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020680
296359,103,5045,2006,0.29189558436116053,0.956450190982498,-0.21012399999999998,1.467838,IDN,020690
302885,103,5046,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020710
309411,103,5047,2006,0.0008752630683551649,0.9999996169572072,-0.21012399999999998,1.467838,IDN,020721
315937,103,5048,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020722
322463,103,5049,2006,0.11908041337811218,0.9928846132102652,-0.21012399999999998,1.467838,IDN,020723
328989,103,5050,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020731
335515,103,5051,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,020739
342041,103,5052,2006,0.04092304014333262,0.9991623015233447,-0.21012399999999998,1.467838,IDN,020741
348567,103,5053,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020742
355093,103,5054,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020743
361619,103,5055,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,020750
368145,103,5056,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,020810
374671,103,5057,2006,0.9999959005090151,0.0028633835167583537,-0.21012399999999998,1.467838,IDN,020820
381197,103,5058,2006,0.9947330307685556,0.10249974389238181,-0.21012399999999998,1.467838,IDN,020890
387723,103,5059,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,020900
394249,103,5060,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,021011
400775,103,5061,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,021012
407301,103,5062,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,021019
413827,103,5063,2006,0.023696656826529747,0.9997191948018432,-0.21012399999999998,1.467838,IDN,021020
420353,103,5064,2006,0.02025881760740288,0.9997947690947128,-0.21012399999999998,1.467838,IDN,021090
426879,103,5065,2006,0.9997296725213887,0.023250416776418648,-0.21012399999999998,1.467838,IDN,030110
433405,103,5066,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030191
439931,103,5067,2006,0.9999974753707077,0.002247054118318597,-0.21012399999999998,1.467838,IDN,030192
446457,103,5068,2006,0.9958642711674209,0.09085347220762333,-0.21012399999999998,1.467838,IDN,030193
452983,103,5069,2006,0.9989400229758388,0.046030755990212086,-0.21012399999999998,1.467838,IDN,030199
459509,103,5070,2006,0.7780193176252278,0.6282403532104374,-0.21012399999999998,1.467838,IDN,030211
466035,103,5071,2006,0.03791550792412721,0.9992809486119784,-0.21012399999999998,1.467838,IDN,030212
472561,103,5072,2006,0.9997555565579839,0.022109435348647826,-0.21012399999999998,1.467838,IDN,030219
479087,103,5073,2006,0.998436873178446,0.055891057224279214,-0.21012399999999998,1.467838,IDN,030221
485613,103,5074,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030222
492139,103,5075,2006,0.8231631213739089,0.567804962649996,-0.21012399999999998,1.467838,IDN,030223
498665,103,5076,2006,0.999906363381131,0.013684460892611548,-0.21012399999999998,1.467838,IDN,030229
505191,103,5077,2006,0.7751459244656075,0.6317822376296748,-0.21012399999999998,1.467838,IDN,030231
511717,103,5078,2006,0.9999773116699019,0.006736181814341533,-0.21012399999999998,1.467838,IDN,030232
518243,103,5079,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030233
524769,103,5080,2006,0.9999759621724236,0.0069336193532386885,-0.21012399999999998,1.467838,IDN,030239
531295,103,5081,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030240
537821,103,5082,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030250
544347,103,5083,2006,0.9998091319034778,0.019537138030282022,-0.21012399999999998,1.467838,IDN,030261
550873,103,5084,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030262
557399,103,5085,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030263
563925,103,5086,2006,0.9982695879152671,0.05880331490216174,-0.21012399999999998,1.467838,IDN,030264
570451,103,5087,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030265
576977,103,5088,2006,0.9997603090096917,0.021893481423605532,-0.21012399999999998,1.467838,IDN,030266
583503,103,5089,2006,0.9995966053478358,0.02840117210755807,-0.21012399999999998,1.467838,IDN,030269
590029,103,5090,2006,0.9999952402130373,0.003085377006127564,-0.21012399999999998,1.467838,IDN,030270
596555,103,5091,2006,0.9955562732212029,0.09416850243000328,-0.21012399999999998,1.467838,IDN,030310
603081,103,5092,2006,0.5657556938631253,0.8245729166431879,-0.21012399999999998,1.467838,IDN,030321
609607,103,5093,2006,0.006355383347920003,0.9999798043473184,-0.21012399999999998,1.467838,IDN,030322
616133,103,5094,2006,0.9988927311874516,0.047045845521930724,-0.21012399999999998,1.467838,IDN,030329
622659,103,5095,2006,0.974454787862883,0.22458376257223872,-0.21012399999999998,1.467838,IDN,030331
629185,103,5096,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030332
635711,103,5097,2006,0.5248662968425587,0.8511846864451798,-0.21012399999999998,1.467838,IDN,030333
642237,103,5098,2006,0.9952733742217766,0.09711287538323224,-0.21012399999999998,1.467838,IDN,030339
648763,103,5099,2006,0.7193602635722316,0.6946371795356835,-0.21012399999999998,1.467838,IDN,030341
655289,103,5100,2006,0.9960195323827329,0.08913524057342312,-0.21012399999999998,1.467838,IDN,030342
661815,103,5101,2006,0.983561760142238,0.18057204652410264,-0.21012399999999998,1.467838,IDN,030343
668341,103,5102,2006,0.9995015052280514,0.03157120597727729,-0.21012399999999998,1.467838,IDN,030349
674867,103,5103,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030350
681393,103,5104,2006,0.1385763843090937,0.9903517484771854,-0.21012399999999998,1.467838,IDN,030360
687919,103,5105,2006,0.8926625821204529,0.4507255423004621,-0.21012399999999998,1.467838,IDN,030371
694445,103,5106,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,030372
700971,103,5107,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,030373
707497,103,5108,2006,0.23544780507829724,0.9718869950173282,-0.21012399999999998,1.467838,IDN,030374
714023,103,5109,2006,0.9989951522227998,0.0448183649338648,-0.21012399999999998,1.467838,IDN,030375
720549,103,5110,2006,0.6522397957209787,0.7580126970426394,-0.21012399999999998,1.467838,IDN,030376
727075,103,5111,2006,0.5892370799704288,0.8079601868829444,-0.21012399999999998,1.467838,IDN,030377
733601,103,5112,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030378
740127,103,5113,2006,0.995104810684828,0.09882517772264617,-0.21012399999999998,1.467838,IDN,030379
746653,103,5114,2006,0.9999854863230003,0.00538768441469524,-0.21012399999999998,1.467838,IDN,030380
753179,103,5115,2006,0.9975844765392646,0.06946374714828804,-0.21012399999999998,1.467838,IDN,030410
759705,103,5116,2006,0.9995912300705445,0.02858973182902944,-0.21012399999999998,1.467838,IDN,030420
766231,103,5117,2006,0.9991167759322861,0.04201985305393058,-0.21012399999999998,1.467838,IDN,030490
772757,103,5118,2006,0.9839495081659825,0.17844709406409817,-0.21012399999999998,1.467838,IDN,030510
779283,103,5119,2006,0.9999939235850055,0.0034860856366775964,-0.21012399999999998,1.467838,IDN,030520
785809,103,5120,2006,0.9999796953663853,0.006372507744296791,-0.21012399999999998,1.467838,IDN,030530
792335,103,5121,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,030541
798861,103,5122,2006,1.0,0.0,-0.21012399999999998,1.467838,IDN,030542
805387,103,5123,2006,0.9918805651312037,0.12717289221765762,-0.21012399999999998,1.467838,IDN,030549
811913,103,5124,2006,0.9969953729819342,0.07746112736472295,-0.21012399999999998,1.467838,IDN,030551
818439,103,5125,2006,0.9984491782935888,0.05567080352264764,-0.21012399999999998,1.467838,IDN,030559
824965,103,5126,2006,0.0,1.0,-0.21012399999999998,1.467838,IDN,030561
831491,103,5127,2006,0.0,0.0,-0.21012399999999998,1.467838,IDN,030562
838017,103,5128,2006,0.014531908794215884,0.999894406238377,-0.21012399999999998,1.467838,IDN,030563
844543,103,5129,2006,0.9963332292583998,0.08555756118268402,-0.21012399999999998,1.467838,IDN,030569
851069,103,5130,2006,0.9969671695450695,0.07782327961023415,-0.21012399999999998,1.467838,IDN,030611
857595,103,5131,2006,0.9999785987576888,0.006542325779811809,-0.21012399999999998,1.467838,IDN,030612
864121,103,5132,2006,0.9999898007266305,0.004516463518508543,-0.21012399999999998,1.467838,IDN,030613
870647,103,5133,2006,0.9738614547337463,0.22714283388183615,-0.21012399999999998,1.467838,IDN,030614
877173,103,5134,2006,0.9998245089656793,0.01873369348361894,-0.21012399999999998,1.467838,IDN,030619
883699,103,5135,2006,0.9999995507305823,0.0009479127774204615,-0.21012399999999998,1.467838,IDN,030621
890225,103,5136,2006,0.9999367602314613,0.011246134349601231,-0.21012399999999998,1.467838,IDN,030622
896751,103,5137,2006,0.8813577258952459,0.4724495306429681,-0.21012399999999998,1.467838,IDN,030623
903277,103,5138,2006,0.9999680574892831,0.007992746781289374,-0.21012399999999998,1.467838,IDN,030624
909803,103,5139,2006,0.9998913417496879,0.014741258223398614,-0.21012399999999998,1.467838,IDN,030629
