,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2726,104,5000,2017,51818.0,1118665.0,0.290576,2.726391,IND,010111
9252,104,5001,2017,450686.0,627895.0,0.290576,2.726391,IND,010119
15778,104,5002,2017,118209.0,0.0,0.290576,2.726391,IND,010120
22304,104,5003,2017,3309.0,831249.0,0.290576,2.726391,IND,010210
28830,104,5004,2017,114699.0,1087309.0,0.290576,2.726391,IND,010290
35356,104,5005,2017,68516.0,3636.0,0.290576,2.726391,IND,010310
41882,104,5006,2017,288016.0,96797.0,0.290576,2.726391,IND,010391
48408,104,5007,2017,354956.0,0.0,0.290576,2.726391,IND,010392
54934,104,5008,2017,3239321.0,76668.0,0.290576,2.726391,IND,010410
61460,104,5009,2017,22092755.0,34457.0,0.290576,2.726391,IND,010420
67986,104,5010,2017,245249.0,2519326.0,0.290576,2.726391,IND,010511
74512,104,5011,2017,1541.0,0.0,0.290576,2.726391,IND,010519
81038,104,5012,2017,3256.0,3028.0,0.290576,2.726391,IND,010591
87564,104,5013,2017,187979.0,8038.0,0.290576,2.726391,IND,010599
94090,104,5014,2017,193764.0,2327149.0,0.290576,2.726391,IND,010600
100616,104,5015,2017,7320022.0,6008.0,0.290576,2.726391,IND,020110
107142,104,5016,2017,662705.0,17385.0,0.290576,2.726391,IND,020120
113668,104,5017,2017,64141539.0,323750.0,0.290576,2.726391,IND,020130
120194,104,5018,2017,1749823.0,163535.0,0.290576,2.726391,IND,020210
126720,104,5019,2017,27357347.0,873965.0,0.290576,2.726391,IND,020220
133246,104,5020,2017,3781892388.0,6907692.0,0.290576,2.726391,IND,020230
139772,104,5021,2017,,,0.290576,2.726391,IND,020311
146298,104,5022,2017,0.0,78666.0,0.290576,2.726391,IND,020312
152824,104,5023,2017,81900.0,76241.0,0.290576,2.726391,IND,020319
159350,104,5024,2017,385164.0,12927.0,0.290576,2.726391,IND,020321
165876,104,5025,2017,125506.0,137743.0,0.290576,2.726391,IND,020322
172402,104,5026,2017,870819.0,1628092.0,0.290576,2.726391,IND,020329
178928,104,5027,2017,2422272.0,1427.0,0.290576,2.726391,IND,020410
185454,104,5028,2017,102302740.0,15309.0,0.290576,2.726391,IND,020421
191980,104,5029,2017,1073947.0,46518.0,0.290576,2.726391,IND,020422
198506,104,5030,2017,1111786.0,2199.0,0.290576,2.726391,IND,020423
205032,104,5031,2017,367281.0,0.0,0.290576,2.726391,IND,020430
211558,104,5032,2017,2364681.0,127659.0,0.290576,2.726391,IND,020441
218084,104,5033,2017,13921021.0,1939567.0,0.290576,2.726391,IND,020442
224610,104,5034,2017,1822053.0,79817.0,0.290576,2.726391,IND,020443
231136,104,5035,2017,5841734.0,10640.0,0.290576,2.726391,IND,020450
237662,104,5036,2017,173751.0,0.0,0.290576,2.726391,IND,020500
244188,104,5037,2017,803325.0,9283.0,0.290576,2.726391,IND,020610
250714,104,5038,2017,2694954.0,0.0,0.290576,2.726391,IND,020621
257240,104,5039,2017,10053323.0,0.0,0.290576,2.726391,IND,020622
263766,104,5040,2017,156913527.0,0.0,0.290576,2.726391,IND,020629
270292,104,5041,2017,673997.0,22999.0,0.290576,2.726391,IND,020630
276818,104,5042,2017,,,0.290576,2.726391,IND,020641
283344,104,5043,2017,0.0,87032.0,0.290576,2.726391,IND,020649
289870,104,5044,2017,81056.0,0.0,0.290576,2.726391,IND,020680
296396,104,5045,2017,1305206.0,19355.0,0.290576,2.726391,IND,020690
302922,104,5046,2017,0.0,88846.0,0.290576,2.726391,IND,020710
309448,104,5047,2017,2783718.0,11598.0,0.290576,2.726391,IND,020721
315974,104,5048,2017,0.0,24737.0,0.290576,2.726391,IND,020722
