,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2747,105,5000,2012,0.0,0.0,1.134521,-0.361446,IOT,010111
9273,105,5001,2012,0.0,0.0,1.134521,-0.361446,IOT,010119
15799,105,5002,2012,0.0,0.0,1.134521,-0.361446,IOT,010120
22325,105,5003,2012,0.0,0.0,1.134521,-0.361446,IOT,010210
28851,105,5004,2012,0.0,0.0,1.134521,-0.361446,IOT,010290
35377,105,5005,2012,0.0,0.0,1.134521,-0.361446,IOT,010310
41903,105,5006,2012,0.0,0.0,1.134521,-0.361446,IOT,010391
48429,105,5007,2012,0.0,0.0,1.134521,-0.361446,IOT,010392
54955,105,5008,2012,0.0,0.0,1.134521,-0.361446,IOT,010410
61481,105,5009,2012,0.0,0.0,1.134521,-0.361446,IOT,010420
68007,105,5010,2012,0.0,0.0,1.134521,-0.361446,IOT,010511
74533,105,5011,2012,0.0,0.0,1.134521,-0.361446,IOT,010519
81059,105,5012,2012,0.0,0.0,1.134521,-0.361446,IOT,010591
87585,105,5013,2012,0.0,0.0,1.134521,-0.361446,IOT,010599
94111,105,5014,2012,0.0,0.0,1.134521,-0.361446,IOT,010600
100637,105,5015,2012,0.0,0.0,1.134521,-0.361446,IOT,020110
107163,105,5016,2012,0.0,0.0,1.134521,-0.361446,IOT,020120
113689,105,5017,2012,0.0,1.0,1.134521,-0.361446,IOT,020130
120215,105,5018,2012,0.0,0.0,1.134521,-0.361446,IOT,020210
126741,105,5019,2012,0.0,1.0,1.134521,-0.361446,IOT,020220
133267,105,5020,2012,0.0,0.0,1.134521,-0.361446,IOT,020230
139793,105,5021,2012,0.0,0.0,1.134521,-0.361446,IOT,020311
146319,105,5022,2012,0.0,0.0,1.134521,-0.361446,IOT,020312
152845,105,5023,2012,0.0,0.0,1.134521,-0.361446,IOT,020319
159371,105,5024,2012,0.0,0.0,1.134521,-0.361446,IOT,020321
165897,105,5025,2012,0.0,0.0,1.134521,-0.361446,IOT,020322
172423,105,5026,2012,0.0,1.0,1.134521,-0.361446,IOT,020329
178949,105,5027,2012,0.0,0.0,1.134521,-0.361446,IOT,020410
185475,105,5028,2012,0.0,0.0,1.134521,-0.361446,IOT,020421
192001,105,5029,2012,0.0,0.0,1.134521,-0.361446,IOT,020422
198527,105,5030,2012,0.0,0.0,1.134521,-0.361446,IOT,020423
205053,105,5031,2012,0.0,1.0,1.134521,-0.361446,IOT,020430
211579,105,5032,2012,0.0,0.0,1.134521,-0.361446,IOT,020441
218105,105,5033,2012,0.0,0.0,1.134521,-0.361446,IOT,020442
224631,105,5034,2012,0.0,0.0,1.134521,-0.361446,IOT,020443
231157,105,5035,2012,0.0,0.0,1.134521,-0.361446,IOT,020450
237683,105,5036,2012,0.0,0.0,1.134521,-0.361446,IOT,020500
244209,105,5037,2012,0.0,0.0,1.134521,-0.361446,IOT,020610
250735,105,5038,2012,0.0,0.0,1.134521,-0.361446,IOT,020621
257261,105,5039,2012,0.0,0.0,1.134521,-0.361446,IOT,020622
