,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2756,106,5000,1995,1.7969491541763794e-05,2.0576203609993273e-05,1.349192,0.992099,IRL,010111
9282,106,5001,1995,8.245768132983967e-06,4.2124511484127805e-06,1.349192,0.992099,IRL,010119
15808,106,5002,1995,0.0,0.0,1.349192,0.992099,IRL,010120
22334,106,5003,1995,2.508267874249749e-06,1.1384992085910415e-06,1.349192,0.992099,IRL,010210
28860,106,5004,1995,5.0871451058622305e-05,5.201184732005849e-07,1.349192,0.992099,IRL,010290
35386,106,5005,1995,9.544484879264176e-08,5.025485468885625e-08,1.349192,0.992099,IRL,010310
41912,106,5006,1995,5.495888827660615e-07,3.04080134807683e-06,1.349192,0.992099,IRL,010391
48438,106,5007,1995,2.1548763828043954e-06,3.5387336961109096e-06,1.349192,0.992099,IRL,010392
54964,106,5008,1995,3.059796800138516e-06,2.6305837383709715e-09,1.349192,0.992099,IRL,010410
61490,106,5009,1995,4.561616545780705e-09,0.0,1.349192,0.992099,IRL,010420
68016,106,5010,1995,1.0701256046177539e-06,9.452641567580202e-07,1.349192,0.992099,IRL,010511
74542,106,5011,1995,1.1617227921281411e-07,4.474319014906016e-07,1.349192,0.992099,IRL,010519
81068,106,5012,1995,3.1917376116677916e-08,2.520620896904836e-07,1.349192,0.992099,IRL,010591
87594,106,5013,1995,9.782338651056062e-09,1.1622904637871461e-06,1.349192,0.992099,IRL,010599
94120,106,5014,1995,2.1679663707344788e-07,2.3760266210400122e-07,1.349192,0.992099,IRL,010600
100646,106,5015,1995,9.179714650047115e-06,9.70736042421623e-06,1.349192,0.992099,IRL,020110
107172,106,5016,1995,7.340043000793186e-05,8.90515468279089e-06,1.349192,0.992099,IRL,020120
113698,106,5017,1995,0.0001527092922558417,8.85640585966398e-06,1.349192,0.992099,IRL,020130
120224,106,5018,1995,2.1596177003142132e-07,5.611160727053112e-10,1.349192,0.992099,IRL,020210
126750,106,5019,1995,1.6655397483984275e-06,2.689956646383039e-07,1.349192,0.992099,IRL,020220
133276,106,5020,1995,0.0001344058087447485,6.396732177531607e-06,1.349192,0.992099,IRL,020230
139802,106,5021,1995,6.9267963910271496e-06,3.5451797365704757e-07,1.349192,0.992099,IRL,020311
146328,106,5022,1995,5.157651309416939e-06,1.2490268118929068e-06,1.349192,0.992099,IRL,020312
152854,106,5023,1995,1.1748934485179657e-05,2.992545365824173e-06,1.349192,0.992099,IRL,020319
159380,106,5024,1995,5.90832526790329e-07,0.0,1.349192,0.992099,IRL,020321
165906,106,5025,1995,2.983358434422428e-06,7.839739434079457e-07,1.349192,0.992099,IRL,020322
172432,106,5026,1995,2.876466573613226e-05,3.6122336044082638e-06,1.349192,0.992099,IRL,020329
178958,106,5027,1995,4.01756424062551e-05,3.3801526161207246e-08,1.349192,0.992099,IRL,020410
185484,106,5028,1995,3.4573053328104943e-06,1.9039500243726703e-08,1.349192,0.992099,IRL,020421
192010,106,5029,1995,3.144504137533652e-06,7.22573659721491e-08,1.349192,0.992099,IRL,020422
198536,106,5030,1995,1.1984151228659487e-06,7.735646271082081e-10,1.349192,0.992099,IRL,020423
205062,106,5031,1995,2.561241779010788e-07,7.156301383256397e-09,1.349192,0.992099,IRL,020430
211588,106,5032,1995,1.3060502426203338e-07,3.2745580616234344e-10,1.349192,0.992099,IRL,020441
218114,106,5033,1995,2.0757431087018314e-07,1.010393393152099e-07,1.349192,0.992099,IRL,020442
224640,106,5034,1995,8.782492184339809e-07,8.836666704352633e-08,1.349192,0.992099,IRL,020443
231166,106,5035,1995,1.1505255735427032e-07,4.746120591340848e-10,1.349192,0.992099,IRL,020450
237692,106,5036,1995,2.478879342222258e-07,1.7796626485519428e-08,1.349192,0.992099,IRL,020500
244218,106,5037,1995,1.0013370149992362e-05,8.266817372039652e-07,1.349192,0.992099,IRL,020610
250744,106,5038,1995,3.423276091570084e-07,5.783638461392063e-08,1.349192,0.992099,IRL,020621
257270,106,5039,1995,6.461637566765679e-07,1.4049908968978104e-07,1.349192,0.992099,IRL,020622
263796,106,5040,1995,5.88276985138019e-06,6.157213169808951e-07,1.349192,0.992099,IRL,020629
270322,106,5041,1995,1.662218765489691e-07,2.209030788557261e-07,1.349192,0.992099,IRL,020630
276848,106,5042,1995,4.931194457619091e-07,7.21758334536107e-08,1.349192,0.992099,IRL,020641
283374,106,5043,1995,2.2241676199592506e-06,2.2499097350472037e-07,1.349192,0.992099,IRL,020649
289900,106,5044,1995,4.879396336568782e-07,1.4024256054608705e-08,1.349192,0.992099,IRL,020680
296426,106,5045,1995,1.6088448518373723e-07,9.759243609244839e-08,1.349192,0.992099,IRL,020690
302952,106,5046,1995,3.3386269372864063e-06,3.261618254351987e-06,1.349192,0.992099,IRL,020710
309478,106,5047,1995,6.253460212188187e-07,3.0162955233280067e-07,1.349192,0.992099,IRL,020721
316004,106,5048,1995,8.903767607286825e-07,6.347638001216415e-07,1.349192,0.992099,IRL,020722
322530,106,5049,1995,2.9230589122842745e-07,1.5113046610098496e-07,1.349192,0.992099,IRL,020723
329056,106,5050,1995,7.82744671344686e-10,1.4639727139672948e-08,1.349192,0.992099,IRL,020731
335582,106,5051,1995,5.331907606976889e-06,4.921346236700945e-06,1.349192,0.992099,IRL,020739
342108,106,5052,1995,1.38357560219477e-06,3.270573574071123e-06,1.349192,0.992099,IRL,020741
348634,106,5053,1995,2.9611988509566593e-06,1.3446515302513614e-06,1.349192,0.992099,IRL,020742
355160,106,5054,1995,3.233556723028832e-08,9.695277039822437e-08,1.349192,0.992099,IRL,020743
361686,106,5055,1995,6.349595682392364e-08,8.808163466164413e-09,1.349192,0.992099,IRL,020750
368212,106,5056,1995,4.897078547785569e-10,1.2512590131626471e-08,1.349192,0.992099,IRL,020810
374738,106,5057,1995,0.0,3.552961783461864e-10,1.349192,0.992099,IRL,020820
381264,106,5058,1995,1.6160147081765187e-07,1.560021998001553e-08,1.349192,0.992099,IRL,020890
387790,106,5059,1995,3.956439457719461e-07,2.2527733161861132e-07,1.349192,0.992099,IRL,020900
394316,106,5060,1995,3.155218315079166e-06,1.7584343647617624e-07,1.349192,0.992099,IRL,021011
400842,106,5061,1995,2.477018694803731e-07,2.6308117642764772e-06,1.349192,0.992099,IRL,021012
407368,106,5062,1995,7.173328840574608e-06,6.8917591838685015e-06,1.349192,0.992099,IRL,021019
413894,106,5063,1995,4.4232892286577045e-07,2.4288073266385478e-08,1.349192,0.992099,IRL,021020
420420,106,5064,1995,9.563758034934917e-08,2.4212837974888664e-08,1.349192,0.992099,IRL,021090
426946,106,5065,1995,7.285919525025276e-09,2.882757852416195e-07,1.349192,0.992099,IRL,030110
433472,106,5066,1995,0.0,2.378098077303691e-08,1.349192,0.992099,IRL,030191
439998,106,5067,1995,1.31531953956462e-06,3.7757510475330454e-08,1.349192,0.992099,IRL,030192
446524,106,5068,1995,0.0,0.0,1.349192,0.992099,IRL,030193
453050,106,5069,1995,5.322572854032211e-08,2.565987446244412e-07,1.349192,0.992099,IRL,030199
459576,106,5070,1995,4.519800464790053e-07,7.662366434298181e-08,1.349192,0.992099,IRL,030211
466102,106,5071,1995,9.311007568387333e-06,4.355031305923303e-06,1.349192,0.992099,IRL,030212
472628,106,5072,1995,2.913982952970773e-07,9.684472323951089e-10,1.349192,0.992099,IRL,030219
479154,106,5073,1995,5.265874624063728e-09,3.1506021188048954e-09,1.349192,0.992099,IRL,030221
485680,106,5074,1995,3.0038425261004055e-07,8.645529291990464e-08,1.349192,0.992099,IRL,030222
492206,106,5075,1995,4.962419394102e-07,7.489722983458135e-09,1.349192,0.992099,IRL,030223
498732,106,5076,1995,3.5935171483652956e-06,4.295703141366532e-08,1.349192,0.992099,IRL,030229
505258,106,5077,1995,3.9551091251189176e-07,1.7128457553107196e-09,1.349192,0.992099,IRL,030231
511784,106,5078,1995,2.805819942694715e-09,3.8744517955848126e-10,1.349192,0.992099,IRL,030232
518310,106,5079,1995,2.4381754071641792e-08,1.4221790123913116e-09,1.349192,0.992099,IRL,030233
524836,106,5080,1995,3.531805776663148e-08,0.0,1.349192,0.992099,IRL,030239
531362,106,5081,1995,4.59791735266432e-07,1.0861059481720643e-09,1.349192,0.992099,IRL,030240
537888,106,5082,1995,6.959406206777595e-07,1.993811454256067e-07,1.349192,0.992099,IRL,030250
544414,106,5083,1995,4.004331431339017e-08,6.84144003117722e-09,1.349192,0.992099,IRL,030261
550940,106,5084,1995,2.087403973956707e-07,6.860000279299782e-09,1.349192,0.992099,IRL,030262
557466,106,5085,1995,2.2210039132736762e-07,2.6892473797583552e-09,1.349192,0.992099,IRL,030263
563992,106,5086,1995,4.272371631681682e-06,5.649673241907428e-08,1.349192,0.992099,IRL,030264
570518,106,5087,1995,2.33637920507432e-07,5.469970268120765e-09,1.349192,0.992099,IRL,030265
577044,106,5088,1995,3.707900599937789e-08,1.2332622011438057e-09,1.349192,0.992099,IRL,030266
583570,106,5089,1995,8.960453715773754e-06,1.3625021803162376e-06,1.349192,0.992099,IRL,030269
590096,106,5090,1995,1.026107050428754e-06,0.0,1.349192,0.992099,IRL,030270
596622,106,5091,1995,3.117342018630579e-09,2.4230072491002473e-08,1.349192,0.992099,IRL,030310
603148,106,5092,1995,3.952815134734837e-09,8.21274407773258e-08,1.349192,0.992099,IRL,030321
609674,106,5093,1995,3.10115984075609e-08,9.82698851489219e-10,1.349192,0.992099,IRL,030322
616200,106,5094,1995,4.908987903412301e-08,9.592333949342657e-09,1.349192,0.992099,IRL,030329
622726,106,5095,1995,8.295608634763316e-08,4.169095734530484e-09,1.349192,0.992099,IRL,030331
629252,106,5096,1995,1.852465418478539e-09,2.934076938475079e-08,1.349192,0.992099,IRL,030332
635778,106,5097,1995,8.804922985955346e-08,5.382405668942536e-08,1.349192,0.992099,IRL,030333
642304,106,5098,1995,8.445339235658171e-08,1.3144632866800142e-09,1.349192,0.992099,IRL,030339
648830,106,5099,1995,2.418447695935167e-08,1.9376899039954706e-08,1.349192,0.992099,IRL,030341
655356,106,5100,1995,0.0,9.273495401237216e-10,1.349192,0.992099,IRL,030342
661882,106,5101,1995,5.565032788814589e-08,9.82698851489219e-10,1.349192,0.992099,IRL,030343
668408,106,5102,1995,0.0,0.0,1.349192,0.992099,IRL,030349
674934,106,5103,1995,1.5846540111002048e-06,5.1438733372673955e-08,1.349192,0.992099,IRL,030350
681460,106,5104,1995,6.826303248204337e-08,4.653816500231321e-08,1.349192,0.992099,IRL,030360
687986,106,5105,1995,1.3843792564217952e-07,1.3479380199010637e-09,1.349192,0.992099,IRL,030371
694512,106,5106,1995,3.433409650149165e-09,2.5159079196137138e-09,1.349192,0.992099,IRL,030372
701038,106,5107,1995,1.767281706858333e-08,2.7445966911238524e-09,1.349192,0.992099,IRL,030373
707564,106,5108,1995,1.8510979335370327e-05,1.1491445051883372e-07,1.349192,0.992099,IRL,030374
