,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2801,107,5000,2014,3.6885668368592794e-09,7.626538526761592e-07,-0.361058,-0.312743,IRN,010111
9327,107,5001,2014,8.087604011297969e-08,5.227082906796867e-07,-0.361058,-0.312743,IRN,010119
15853,107,5002,2014,0.0,1.8212806906367662e-07,-0.361058,-0.312743,IRN,010120
22379,107,5003,2014,2.527433148734659e-06,2.101909322218888e-06,-0.361058,-0.312743,IRN,010210
28905,107,5004,2014,1.4917774012118007e-06,3.1059597505751014e-06,-0.361058,-0.312743,IRN,010290
35431,107,5005,2014,0.0,0.0,-0.361058,-0.312743,IRN,010310
41957,107,5006,2014,3.1539185892195465e-08,0.0,-0.361058,-0.312743,IRN,010391
48483,107,5007,2014,0.0,0.0,-0.361058,-0.312743,IRN,010392
55009,107,5008,2014,2.3865766844854326e-05,1.9963999460031603e-07,-0.361058,-0.312743,IRN,010410
61535,107,5009,2014,5.159000127276852e-06,1.974708981741925e-06,-0.361058,-0.312743,IRN,010420
68061,107,5010,2014,2.9782871095773047e-06,1.4628822993900943e-06,-0.361058,-0.312743,IRN,010511
74587,107,5011,2014,1.662552106232424e-08,2.4406328561566376e-07,-0.361058,-0.312743,IRN,010519
81113,107,5012,2014,5.683705123597901e-07,0.0,-0.361058,-0.312743,IRN,010591
87639,107,5013,2014,2.3759012956808912e-08,0.0,-0.361058,-0.312743,IRN,010599
94165,107,5014,2014,3.2923580300469206e-07,2.83134927944672e-07,-0.361058,-0.312743,IRN,010600
100691,107,5015,2014,1.80882808488441e-09,0.0,-0.361058,-0.312743,IRN,020110
107217,107,5016,2014,1.0801149175663433e-08,2.8803092253960257e-06,-0.361058,-0.312743,IRN,020120
113743,107,5017,2014,1.4219982744244003e-07,9.501223017041008e-08,-0.361058,-0.312743,IRN,020130
120269,107,5018,2014,0.0,2.8551329116837744e-07,-0.361058,-0.312743,IRN,020210
126795,107,5019,2014,3.84608548965253e-08,1.4373974215528057e-06,-0.361058,-0.312743,IRN,020220
133321,107,5020,2014,2.711817853244029e-08,0.0001241473069310746,-0.361058,-0.312743,IRN,020230
139847,107,5021,2014,0.0,0.0,-0.361058,-0.312743,IRN,020311
146373,107,5022,2014,0.0,0.0,-0.361058,-0.312743,IRN,020312
152899,107,5023,2014,8.709284496494881e-10,0.0,-0.361058,-0.312743,IRN,020319
159425,107,5024,2014,4.5516163234987167e-10,0.0,-0.361058,-0.312743,IRN,020321
165951,107,5025,2014,0.0,0.0,-0.361058,-0.312743,IRN,020322
172477,107,5026,2014,0.0,0.0,-0.361058,-0.312743,IRN,020329
179003,107,5027,2014,1.8888965312888594e-07,2.10904076612698e-08,-0.361058,-0.312743,IRN,020410
185529,107,5028,2014,0.0,2.2522993669929835e-07,-0.361058,-0.312743,IRN,020421
192055,107,5029,2014,1.3536361488306535e-08,3.7595638597061543e-07,-0.361058,-0.312743,IRN,020422
198581,107,5030,2014,3.413954672255116e-08,2.094524000631119e-08,-0.361058,-0.312743,IRN,020423
205107,107,5031,2014,0.0,0.0,-0.361058,-0.312743,IRN,020430
211633,107,5032,2014,0.0,0.0,-0.361058,-0.312743,IRN,020441
218159,107,5033,2014,5.475879291985473e-09,9.918301621325174e-07,-0.361058,-0.312743,IRN,020442
224685,107,5034,2014,2.9304590767729453e-08,1.0767926808105644e-08,-0.361058,-0.312743,IRN,020443
231211,107,5035,2014,0.0,0.0,-0.361058,-0.312743,IRN,020450
237737,107,5036,2014,2.083115999857006e-07,0.0,-0.361058,-0.312743,IRN,020500
244263,107,5037,2014,2.3848105846230256e-07,0.0,-0.361058,-0.312743,IRN,020610
250789,107,5038,2014,0.0,0.0,-0.361058,-0.312743,IRN,020621
257315,107,5039,2014,1.4231528455424115e-08,0.0,-0.361058,-0.312743,IRN,020622
263841,107,5040,2014,3.345022837028335e-07,9.422308819219901e-09,-0.361058,-0.312743,IRN,020629
270367,107,5041,2014,0.0,0.0,-0.361058,-0.312743,IRN,020630
276893,107,5042,2014,0.0,0.0,-0.361058,-0.312743,IRN,020641
283419,107,5043,2014,4.1397889877041256e-09,0.0,-0.361058,-0.312743,IRN,020649
289945,107,5044,2014,3.647059853648253e-07,0.0,-0.361058,-0.312743,IRN,020680
296471,107,5045,2014,8.401277650209655e-08,7.004836501256203e-09,-0.361058,-0.312743,IRN,020690
302997,107,5046,2014,0.0,2.6279223313633973e-07,-0.361058,-0.312743,IRN,020710
309523,107,5047,2014,1.9752621782716843e-05,3.867538103159159e-06,-0.361058,-0.312743,IRN,020721
316049,107,5048,2014,0.0,0.0,-0.361058,-0.312743,IRN,020722
322575,107,5049,2014,0.0,0.0,-0.361058,-0.312743,IRN,020723
329101,107,5050,2014,0.0,0.0,-0.361058,-0.312743,IRN,020731
335627,107,5051,2014,5.510061869967541e-08,0.0,-0.361058,-0.312743,IRN,020739
342153,107,5052,2014,4.874986238542426e-06,2.6644005104502795e-06,-0.361058,-0.312743,IRN,020741
348679,107,5053,2014,0.0,0.0,-0.361058,-0.312743,IRN,020742
355205,107,5054,2014,1.4052191135833802e-07,9.693089582007992e-08,-0.361058,-0.312743,IRN,020743
361731,107,5055,2014,0.0,0.0,-0.361058,-0.312743,IRN,020750
368257,107,5056,2014,0.0,0.0,-0.361058,-0.312743,IRN,020810
374783,107,5057,2014,0.0,0.0,-0.361058,-0.312743,IRN,020820
381309,107,5058,2014,0.0,3.7325321840476513e-08,-0.361058,-0.312743,IRN,020890
387835,107,5059,2014,0.0,0.0,-0.361058,-0.312743,IRN,020900
394361,107,5060,2014,0.0,0.0,-0.361058,-0.312743,IRN,021011
400887,107,5061,2014,0.0,0.0,-0.361058,-0.312743,IRN,021012
407413,107,5062,2014,0.0,0.0,-0.361058,-0.312743,IRN,021019
413939,107,5063,2014,3.0288552032869287e-09,0.0,-0.361058,-0.312743,IRN,021020
420465,107,5064,2014,4.848592621569871e-09,0.0,-0.361058,-0.312743,IRN,021090
426991,107,5065,2014,1.5036849386162987e-07,1.0476153078958926e-06,-0.361058,-0.312743,IRN,030110
433517,107,5066,2014,2.213085555448575e-07,7.320914212453412e-07,-0.361058,-0.312743,IRN,030191
440043,107,5067,2014,0.0,0.0,-0.361058,-0.312743,IRN,030192
446569,107,5068,2014,4.677982768698381e-08,0.0,-0.361058,-0.312743,IRN,030193
453095,107,5069,2014,2.168654264812664e-08,3.143178019555871e-08,-0.361058,-0.312743,IRN,030199
459621,107,5070,2014,1.4659386450573773e-07,0.0,-0.361058,-0.312743,IRN,030211
466147,107,5071,2014,3.855661460080131e-08,8.116794223598979e-10,-0.361058,-0.312743,IRN,030212
472673,107,5072,2014,7.999450536697051e-08,0.0,-0.361058,-0.312743,IRN,030219
479199,107,5073,2014,0.0,0.0,-0.361058,-0.312743,IRN,030221
485725,107,5074,2014,1.4708481481237557e-06,0.0,-0.361058,-0.312743,IRN,030222
492251,107,5075,2014,0.0,0.0,-0.361058,-0.312743,IRN,030223
498777,107,5076,2014,1.7327900310966404e-07,0.0,-0.361058,-0.312743,IRN,030229
505303,107,5077,2014,0.0,0.0,-0.361058,-0.312743,IRN,030231
511829,107,5078,2014,0.0,5.488895092545735e-08,-0.361058,-0.312743,IRN,030232
518355,107,5079,2014,0.0,1.5986472000766133e-07,-0.361058,-0.312743,IRN,030233
524881,107,5080,2014,1.2195725628442467e-08,5.034467303244936e-09,-0.361058,-0.312743,IRN,030239
531407,107,5081,2014,0.0,0.0,-0.361058,-0.312743,IRN,030240
537933,107,5082,2014,0.0,0.0,-0.361058,-0.312743,IRN,030250
544459,107,5083,2014,0.0,0.0,-0.361058,-0.312743,IRN,030261
550985,107,5084,2014,0.0,0.0,-0.361058,-0.312743,IRN,030262
557511,107,5085,2014,0.0,0.0,-0.361058,-0.312743,IRN,030263
564037,107,5086,2014,4.728196006035514e-08,0.0,-0.361058,-0.312743,IRN,030264
