,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2821,108,5000,2008,1.0,0.0,-1.6604189999999999,-0.886959,IRQ,010111
9347,108,5001,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,010119
15873,108,5002,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010120
22399,108,5003,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010210
28925,108,5004,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010290
35451,108,5005,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010310
41977,108,5006,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010391
48503,108,5007,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010392
55029,108,5008,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,010410
61555,108,5009,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010420
68081,108,5010,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,010511
74607,108,5011,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,010519
81133,108,5012,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,010591
87659,108,5013,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,010599
94185,108,5014,2008,0.020043484909605874,0.9997991091777779,-1.6604189999999999,-0.886959,IRQ,010600
100711,108,5015,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,020110
107237,108,5016,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020120
113763,108,5017,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,020130
120289,108,5018,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020210
126815,108,5019,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020220
133341,108,5020,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020230
139867,108,5021,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,020311
146393,108,5022,2008,0.0,0.0,-1.6604189999999999,-0.886959,IRQ,020312
152919,108,5023,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020319
159445,108,5024,2008,0.0,1.0,-1.6604189999999999,-0.886959,IRQ,020321
