,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2852,109,5000,2013,1.3774675876397473e-06,0.0,0.259374,-0.20413299999999998,ISL,010111
9378,109,5001,2013,1.3497272740665516e-06,0.0,0.259374,-0.20413299999999998,ISL,010119
15904,109,5002,2013,1.5939748243410951e-09,0.0,0.259374,-0.20413299999999998,ISL,010120
22430,109,5003,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010210
28956,109,5004,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010290
35482,109,5005,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010310
42008,109,5006,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010391
48534,109,5007,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010392
55060,109,5008,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010410
61586,109,5009,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010420
68112,109,5010,2013,0.0,1.2125575814970834e-07,0.259374,-0.20413299999999998,ISL,010511
74638,109,5011,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010519
81164,109,5012,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010591
87690,109,5013,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,010599
94216,109,5014,2013,9.490817019684174e-09,2.0801729516363524e-07,0.259374,-0.20413299999999998,ISL,010600
100742,109,5015,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020110
107268,109,5016,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020120
113794,109,5017,2013,4.3387843200045183e-07,1.4673235016194216e-07,0.259374,-0.20413299999999998,ISL,020130
120320,109,5018,2013,0.0,8.67293880127146e-09,0.259374,-0.20413299999999998,ISL,020210
126846,109,5019,2013,1.6848859359955303e-10,6.429866529059408e-08,0.259374,-0.20413299999999998,ISL,020220
133372,109,5020,2013,2.3818711253461993e-10,7.661425164571964e-07,0.259374,-0.20413299999999998,ISL,020230
139898,109,5021,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020311
146424,109,5022,2013,0.0,1.034534973031517e-08,0.259374,-0.20413299999999998,ISL,020312
152950,109,5023,2013,0.0,6.123556148436698e-09,0.259374,-0.20413299999999998,ISL,020319
159476,109,5024,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020321
166002,109,5025,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020322
172528,109,5026,2013,2.0151963083399777e-09,5.390376632645171e-07,0.259374,-0.20413299999999998,ISL,020329
179054,109,5027,2013,1.8607080259352077e-08,0.0,0.259374,-0.20413299999999998,ISL,020410
185580,109,5028,2013,2.974738848889432e-07,0.0,0.259374,-0.20413299999999998,ISL,020421
192106,109,5029,2013,6.982367323211117e-07,0.0,0.259374,-0.20413299999999998,ISL,020422
198632,109,5030,2013,7.351375525416469e-09,0.0,0.259374,-0.20413299999999998,ISL,020423
205158,109,5031,2013,1.6612599562987755e-06,5.108708295735184e-09,0.259374,-0.20413299999999998,ISL,020430
211684,109,5032,2013,2.3824893209054493e-07,0.0,0.259374,-0.20413299999999998,ISL,020441
218210,109,5033,2013,1.145007269065279e-06,0.0,0.259374,-0.20413299999999998,ISL,020442
224736,109,5034,2013,3.165043078915661e-07,1.1678041832115559e-08,0.259374,-0.20413299999999998,ISL,020443
231262,109,5035,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020450
237788,109,5036,2013,4.606211476417593e-07,0.0,0.259374,-0.20413299999999998,ISL,020500
244314,109,5037,2013,2.827335572452931e-10,0.0,0.259374,-0.20413299999999998,ISL,020610
250840,109,5038,2013,5.075870400705959e-10,0.0,0.259374,-0.20413299999999998,ISL,020621
257366,109,5039,2013,1.8610716703818254e-08,0.0,0.259374,-0.20413299999999998,ISL,020622
263892,109,5040,2013,8.572008717896685e-09,0.0,0.259374,-0.20413299999999998,ISL,020629
270418,109,5041,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020630
276944,109,5042,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020641
283470,109,5043,2013,8.668980570328081e-08,0.0,0.259374,-0.20413299999999998,ISL,020649
289996,109,5044,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020680
296522,109,5045,2013,8.446684720110657e-07,0.0,0.259374,-0.20413299999999998,ISL,020690
303048,109,5046,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020710
309574,109,5047,2013,0.0,1.1807930425673273e-07,0.259374,-0.20413299999999998,ISL,020721
316100,109,5048,2013,0.0,1.5058989887441537e-08,0.259374,-0.20413299999999998,ISL,020722
322626,109,5049,2013,0.0,3.55743612899141e-08,0.259374,-0.20413299999999998,ISL,020723
329152,109,5050,2013,0.0,8.733259607669787e-10,0.259374,-0.20413299999999998,ISL,020731
335678,109,5051,2013,9.063837831947178e-09,1.0275980802957096e-07,0.259374,-0.20413299999999998,ISL,020739
342204,109,5052,2013,7.976540936560134e-09,2.178214148013764e-07,0.259374,-0.20413299999999998,ISL,020741
348730,109,5053,2013,0.0,7.405074994699164e-08,0.259374,-0.20413299999999998,ISL,020742
355256,109,5054,2013,0.0,1.0985678290543558e-07,0.259374,-0.20413299999999998,ISL,020743
361782,109,5055,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020750
368308,109,5056,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020810
374834,109,5057,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,020820
381360,109,5058,2013,6.306094715465717e-07,1.4372989859511559e-07,0.259374,-0.20413299999999998,ISL,020890
387886,109,5059,2013,1.8609504555662861e-09,5.084182253573227e-09,0.259374,-0.20413299999999998,ISL,020900
394412,109,5060,2013,0.0,5.196869474317354e-09,0.259374,-0.20413299999999998,ISL,021011
400938,109,5061,2013,0.0,2.0144497873023517e-09,0.259374,-0.20413299999999998,ISL,021012
407464,109,5062,2013,3.2424963156748513e-10,1.729003114167414e-07,0.259374,-0.20413299999999998,ISL,021019
413990,109,5063,2013,0.0,1.4661601717817396e-08,0.259374,-0.20413299999999998,ISL,021020
420516,109,5064,2013,5.3345125133628264e-08,1.3471061230655702e-07,0.259374,-0.20413299999999998,ISL,021090
427042,109,5065,2013,0.0,2.5299606789065108e-08,0.259374,-0.20413299999999998,ISL,030110
433568,109,5066,2013,0.0,2.3508542845237875e-09,0.259374,-0.20413299999999998,ISL,030191
440094,109,5067,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030192
446620,109,5068,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030193
453146,109,5069,2013,1.8821978975451219e-06,1.721887247610425e-07,0.259374,-0.20413299999999998,ISL,030199
459672,109,5070,2013,7.898039191646529e-07,2.0242602041671344e-08,0.259374,-0.20413299999999998,ISL,030211
466198,109,5071,2013,5.128283686945129e-07,5.638321661582468e-07,0.259374,-0.20413299999999998,ISL,030212
472724,109,5072,2013,1.0368191067149962e-06,0.0,0.259374,-0.20413299999999998,ISL,030219
479250,109,5073,2013,3.245687295693922e-07,3.6026767337901553e-10,0.259374,-0.20413299999999998,ISL,030221
485776,109,5074,2013,1.916742907825652e-06,0.0,0.259374,-0.20413299999999998,ISL,030222
492302,109,5075,2013,2.2457771911995098e-07,0.0,0.259374,-0.20413299999999998,ISL,030223
498828,109,5076,2013,4.0984880696795155e-07,2.8766395991957933e-08,0.259374,-0.20413299999999998,ISL,030229
505354,109,5077,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030231
511880,109,5078,2013,0.0,3.7727018639129104e-08,0.259374,-0.20413299999999998,ISL,030232
518406,109,5079,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030233
524932,109,5080,2013,0.0,3.237437565378311e-09,0.259374,-0.20413299999999998,ISL,030239
531458,109,5081,2013,6.430445964357042e-10,1.2504967172576132e-09,0.259374,-0.20413299999999998,ISL,030240
537984,109,5082,2013,7.897603121347628e-06,6.54430371605509e-07,0.259374,-0.20413299999999998,ISL,030250
544510,109,5083,2013,6.514053883375238e-08,0.0,0.259374,-0.20413299999999998,ISL,030261
551036,109,5084,2013,4.519879860494231e-06,3.460525119151462e-08,0.259374,-0.20413299999999998,ISL,030262
557562,109,5085,2013,1.7978763263004392e-07,1.597139179916655e-07,0.259374,-0.20413299999999998,ISL,030263
564088,109,5086,2013,1.5180640461096417e-08,3.145730053672723e-08,0.259374,-0.20413299999999998,ISL,030264
570614,109,5087,2013,3.11400861120325e-09,0.0,0.259374,-0.20413299999999998,ISL,030265
577140,109,5088,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030266
583666,109,5089,2013,9.574186145515758e-06,6.436803421795216e-07,0.259374,-0.20413299999999998,ISL,030269
590192,109,5090,2013,3.7721717255070863e-07,4.969450091205597e-07,0.259374,-0.20413299999999998,ISL,030270
596718,109,5091,2013,2.458509192470888e-08,5.091109203318969e-08,0.259374,-0.20413299999999998,ISL,030310
603244,109,5092,2013,7.862265669210509e-08,1.050974049940072e-09,0.259374,-0.20413299999999998,ISL,030321
609770,109,5093,2013,1.2243908517619317e-07,4.805778531734798e-10,0.259374,-0.20413299999999998,ISL,030322
616296,109,5094,2013,5.1082347564549374e-08,0.0,0.259374,-0.20413299999999998,ISL,030329
622822,109,5095,2013,1.427969982919349e-05,2.0243486967787188e-06,0.259374,-0.20413299999999998,ISL,030331
629348,109,5096,2013,4.4350167620611267e-07,0.0,0.259374,-0.20413299999999998,ISL,030332
635874,109,5097,2013,1.0402079699204347e-07,0.0,0.259374,-0.20413299999999998,ISL,030333
642400,109,5098,2013,6.637799058188865e-07,0.0,0.259374,-0.20413299999999998,ISL,030339
648926,109,5099,2013,0.0,0.0,0.259374,-0.20413299999999998,ISL,030341
655452,109,5100,2013,0.0,4.795172675664762e-09,0.259374,-0.20413299999999998,ISL,030342
661978,109,5101,2013,0.0,1.2445309232182184e-09,0.259374,-0.20413299999999998,ISL,030343
