,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2881,110,5000,2016,0.02246623825206922,0.9997476022170803,1.352275,0.67584,ISR,010111
9407,110,5001,2016,0.10036820644713233,0.994950362146065,1.352275,0.67584,ISR,010119
15933,110,5002,2016,1.0,0.0,1.352275,0.67584,ISR,010120
22459,110,5003,2016,0.9999137116583966,0.01313656109980286,1.352275,0.67584,ISR,010210
28985,110,5004,2016,0.38674810461269166,0.9221853954484914,1.352275,0.67584,ISR,010290
35511,110,5005,2016,0.0,1.0,1.352275,0.67584,ISR,010310
42037,110,5006,2016,0.0,1.0,1.352275,0.67584,ISR,010391
48563,110,5007,2016,0.0,1.0,1.352275,0.67584,ISR,010392
55089,110,5008,2016,0.06962493970501007,0.9975732393017938,1.352275,0.67584,ISR,010410
61615,110,5009,2016,1.0,0.0,1.352275,0.67584,ISR,010420
68141,110,5010,2016,0.4402984311392468,0.8978514863474459,1.352275,0.67584,ISR,010511
74667,110,5011,2016,0.9658055000658968,0.25926769186009857,1.352275,0.67584,ISR,010519
81193,110,5012,2016,1.0,0.0,1.352275,0.67584,ISR,010591
87719,110,5013,2016,1.0,0.0,1.352275,0.67584,ISR,010599
94245,110,5014,2016,0.9789069896195001,0.20430640145156462,1.352275,0.67584,ISR,010600
100771,110,5015,2016,0.0,1.0,1.352275,0.67584,ISR,020110
107297,110,5016,2016,0.031990960537744424,0.9994881582309381,1.352275,0.67584,ISR,020120
113823,110,5017,2016,0.0017949455639811641,0.9999983890839136,1.352275,0.67584,ISR,020130
120349,110,5018,2016,0.0,1.0,1.352275,0.67584,ISR,020210
126875,110,5019,2016,0.01690024496387119,0.9998571806613988,1.352275,0.67584,ISR,020220
133401,110,5020,2016,0.0011889605069037208,0.9999992931862067,1.352275,0.67584,ISR,020230
139927,110,5021,2016,1.0,0.0,1.352275,0.67584,ISR,020311
146453,110,5022,2016,0.0,1.0,1.352275,0.67584,ISR,020312
152979,110,5023,2016,0.0,0.0,1.352275,0.67584,ISR,020319
159505,110,5024,2016,0.6604637276792247,0.7508579522253611,1.352275,0.67584,ISR,020321
166031,110,5025,2016,0.0,1.0,1.352275,0.67584,ISR,020322
172557,110,5026,2016,0.0,1.0,1.352275,0.67584,ISR,020329
