,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2898,111,5000,2007,8502327.0,16078962.0,1.3003559999999998,0.705448,ITA,010111
9424,111,5001,2007,2779435.0,77422801.0,1.3003559999999998,0.705448,ITA,010119
15950,111,5002,2007,0.0,981.0,1.3003559999999998,0.705448,ITA,010120
22476,111,5003,2007,7733715.0,88518621.0,1.3003559999999998,0.705448,ITA,010210
29002,111,5004,2007,19796504.0,1501847127.0,1.3003559999999998,0.705448,ITA,010290
35528,111,5005,2007,45571.0,5869568.0,1.3003559999999998,0.705448,ITA,010310
42054,111,5006,2007,2357123.0,32084655.0,1.3003559999999998,0.705448,ITA,010391
48580,111,5007,2007,1159656.0,90032870.0,1.3003559999999998,0.705448,ITA,010392
55106,111,5008,2007,1861913.0,130799650.0,1.3003559999999998,0.705448,ITA,010410
61632,111,5009,2007,51989.0,1778246.0,1.3003559999999998,0.705448,ITA,010420
68158,111,5010,2007,4469022.0,15137216.0,1.3003559999999998,0.705448,ITA,010511
74684,111,5011,2007,1191339.0,16224102.0,1.3003559999999998,0.705448,ITA,010519
81210,111,5012,2007,1376465.0,279289.0,1.3003559999999998,0.705448,ITA,010591
87736,111,5013,2007,1083960.0,968563.0,1.3003559999999998,0.705448,ITA,010599
94262,111,5014,2007,9480745.0,29443227.0,1.3003559999999998,0.705448,ITA,010600
100788,111,5015,2007,54681436.0,610272022.0,1.3003559999999998,0.705448,ITA,020110
107314,111,5016,2007,98705226.0,1220189781.0,1.3003559999999998,0.705448,ITA,020120
113840,111,5017,2007,165188908.0,543522956.0,1.3003559999999998,0.705448,ITA,020130
120366,111,5018,2007,1297139.0,6360098.0,1.3003559999999998,0.705448,ITA,020210
126892,111,5019,2007,2991605.0,5292395.0,1.3003559999999998,0.705448,ITA,020220
133418,111,5020,2007,161276714.0,203786862.0,1.3003559999999998,0.705448,ITA,020230
139944,111,5021,2007,13511766.0,327976564.0,1.3003559999999998,0.705448,ITA,020311
146470,111,5022,2007,27571626.0,1343872356.0,1.3003559999999998,0.705448,ITA,020312
152996,111,5023,2007,33274696.0,402780787.0,1.3003559999999998,0.705448,ITA,020319
159522,111,5024,2007,4985057.0,3659619.0,1.3003559999999998,0.705448,ITA,020321
166048,111,5025,2007,10510472.0,23063469.0,1.3003559999999998,0.705448,ITA,020322
172574,111,5026,2007,54797336.0,163898655.0,1.3003559999999998,0.705448,ITA,020329
179100,111,5027,2007,8605797.0,75181619.0,1.3003559999999998,0.705448,ITA,020410
185626,111,5028,2007,523450.0,19043854.0,1.3003559999999998,0.705448,ITA,020421
192152,111,5029,2007,584411.0,21256196.0,1.3003559999999998,0.705448,ITA,020422
198678,111,5030,2007,24884.0,1025803.0,1.3003559999999998,0.705448,ITA,020423
205204,111,5031,2007,307975.0,2304240.0,1.3003559999999998,0.705448,ITA,020430
211730,111,5032,2007,2578.0,211470.0,1.3003559999999998,0.705448,ITA,020441
218256,111,5033,2007,1558009.0,26316385.0,1.3003559999999998,0.705448,ITA,020442
224782,111,5034,2007,530058.0,2422340.0,1.3003559999999998,0.705448,ITA,020443
231308,111,5035,2007,817638.0,16670685.0,1.3003559999999998,0.705448,ITA,020450
237834,111,5036,2007,3064745.0,100288442.0,1.3003559999999998,0.705448,ITA,020500
244360,111,5037,2007,5054393.0,33871587.0,1.3003559999999998,0.705448,ITA,020610
250886,111,5038,2007,1017712.0,2677581.0,1.3003559999999998,0.705448,ITA,020621
257412,111,5039,2007,3727325.0,964333.0,1.3003559999999998,0.705448,ITA,020622
263938,111,5040,2007,8479055.0,3487076.0,1.3003559999999998,0.705448,ITA,020629
270464,111,5041,2007,4214466.0,3053967.0,1.3003559999999998,0.705448,ITA,020630
276990,111,5042,2007,4213136.0,899156.0,1.3003559999999998,0.705448,ITA,020641
283516,111,5043,2007,20448348.0,6279301.0,1.3003559999999998,0.705448,ITA,020649
290042,111,5044,2007,180202.0,2122003.0,1.3003559999999998,0.705448,ITA,020680
296568,111,5045,2007,910011.0,1139904.0,1.3003559999999998,0.705448,ITA,020690
303094,111,5046,2007,56949975.0,3928154.0,1.3003559999999998,0.705448,ITA,020710
309620,111,5047,2007,9798522.0,7063601.0,1.3003559999999998,0.705448,ITA,020721
316146,111,5048,2007,1996651.0,282402.0,1.3003559999999998,0.705448,ITA,020722
322672,111,5049,2007,262877.0,4442808.0,1.3003559999999998,0.705448,ITA,020723
329198,111,5050,2007,222299.0,1546164.0,1.3003559999999998,0.705448,ITA,020731
335724,111,5051,2007,212891716.0,36190687.0,1.3003559999999998,0.705448,ITA,020739
342250,111,5052,2007,39653787.0,30185355.0,1.3003559999999998,0.705448,ITA,020741
348776,111,5053,2007,23428799.0,15900796.0,1.3003559999999998,0.705448,ITA,020742
355302,111,5054,2007,994401.0,3830712.0,1.3003559999999998,0.705448,ITA,020743
361828,111,5055,2007,,,1.3003559999999998,0.705448,ITA,020750
368354,111,5056,2007,15026606.0,15443458.0,1.3003559999999998,0.705448,ITA,020810
374880,111,5057,2007,1205.0,421369.0,1.3003559999999998,0.705448,ITA,020820
381406,111,5058,2007,19181841.0,29679754.0,1.3003559999999998,0.705448,ITA,020890
387932,111,5059,2007,48745256.0,3309042.0,1.3003559999999998,0.705448,ITA,020900
394458,111,5060,2007,55207250.0,20378528.0,1.3003559999999998,0.705448,ITA,021011
400984,111,5061,2007,25799486.0,25504710.0,1.3003559999999998,0.705448,ITA,021012
407510,111,5062,2007,565714359.0,37475663.0,1.3003559999999998,0.705448,ITA,021019
414036,111,5063,2007,41786148.0,1405511.0,1.3003559999999998,0.705448,ITA,021020
420562,111,5064,2007,3504240.0,9367564.0,1.3003559999999998,0.705448,ITA,021090
427088,111,5065,2007,2735211.0,23753864.0,1.3003559999999998,0.705448,ITA,030110
433614,111,5066,2007,7892242.0,255734.0,1.3003559999999998,0.705448,ITA,030191
440140,111,5067,2007,2044858.0,8301975.0,1.3003559999999998,0.705448,ITA,030192
446666,111,5068,2007,60073.0,413642.0,1.3003559999999998,0.705448,ITA,030193
453192,111,5069,2007,26152878.0,10990809.0,1.3003559999999998,0.705448,ITA,030199
459718,111,5070,2007,8568345.0,2083886.0,1.3003559999999998,0.705448,ITA,030211
466244,111,5071,2007,5164329.0,104539456.0,1.3003559999999998,0.705448,ITA,030212
472770,111,5072,2007,722546.0,5900700.0,1.3003559999999998,0.705448,ITA,030219
479296,111,5073,2007,22400.0,893845.0,1.3003559999999998,0.705448,ITA,030221
485822,111,5074,2007,167716.0,2703028.0,1.3003559999999998,0.705448,ITA,030222
492348,111,5075,2007,834441.0,59905548.0,1.3003559999999998,0.705448,ITA,030223
498874,111,5076,2007,2018699.0,39890654.0,1.3003559999999998,0.705448,ITA,030229
505400,111,5077,2007,8810034.0,1965764.0,1.3003559999999998,0.705448,ITA,030231
511926,111,5078,2007,753934.0,8979661.0,1.3003559999999998,0.705448,ITA,030232
518452,111,5079,2007,114940.0,865260.0,1.3003559999999998,0.705448,ITA,030233
524978,111,5080,2007,30292877.0,18727467.0,1.3003559999999998,0.705448,ITA,030239
531504,111,5081,2007,15398.0,515272.0,1.3003559999999998,0.705448,ITA,030240
538030,111,5082,2007,1854735.0,8886457.0,1.3003559999999998,0.705448,ITA,030250
544556,111,5083,2007,12087152.0,6757187.0,1.3003559999999998,0.705448,ITA,030261
551082,111,5084,2007,7610.0,5425.0,1.3003559999999998,0.705448,ITA,030262
557608,111,5085,2007,44038.0,207001.0,1.3003559999999998,0.705448,ITA,030263
564134,111,5086,2007,1721310.0,14947422.0,1.3003559999999998,0.705448,ITA,030264
570660,111,5087,2007,213756.0,11091618.0,1.3003559999999998,0.705448,ITA,030265
577186,111,5088,2007,231467.0,912018.0,1.3003559999999998,0.705448,ITA,030266
583712,111,5089,2007,112377865.0,530805238.0,1.3003559999999998,0.705448,ITA,030269
590238,111,5090,2007,2073364.0,1373166.0,1.3003559999999998,0.705448,ITA,030270
596764,111,5091,2007,1005584.0,10022420.0,1.3003559999999998,0.705448,ITA,030310
603290,111,5092,2007,1949113.0,107923.0,1.3003559999999998,0.705448,ITA,030321
609816,111,5093,2007,303784.0,3985673.0,1.3003559999999998,0.705448,ITA,030322
616342,111,5094,2007,1018727.0,4475471.0,1.3003559999999998,0.705448,ITA,030329
622868,111,5095,2007,158137.0,248563.0,1.3003559999999998,0.705448,ITA,030331
629394,111,5096,2007,47550.0,301995.0,1.3003559999999998,0.705448,ITA,030332
635920,111,5097,2007,2011786.0,31849662.0,1.3003559999999998,0.705448,ITA,030333
642446,111,5098,2007,295099.0,7735950.0,1.3003559999999998,0.705448,ITA,030339
648972,111,5099,2007,2882930.0,956688.0,1.3003559999999998,0.705448,ITA,030341
655498,111,5100,2007,500783.0,36958453.0,1.3003559999999998,0.705448,ITA,030342
662024,111,5101,2007,1057958.0,290742.0,1.3003559999999998,0.705448,ITA,030343
668550,111,5102,2007,13571367.0,2217416.0,1.3003559999999998,0.705448,ITA,030349
675076,111,5103,2007,9780.0,3068332.0,1.3003559999999998,0.705448,ITA,030350
681602,111,5104,2007,997908.0,2932622.0,1.3003559999999998,0.705448,ITA,030360
688128,111,5105,2007,7869743.0,2860475.0,1.3003559999999998,0.705448,ITA,030371
694654,111,5106,2007,0.0,327552.0,1.3003559999999998,0.705448,ITA,030372
701180,111,5107,2007,73354.0,558040.0,1.3003559999999998,0.705448,ITA,030373
707706,111,5108,2007,798530.0,10514733.0,1.3003559999999998,0.705448,ITA,030374
714232,111,5109,2007,999129.0,22931463.0,1.3003559999999998,0.705448,ITA,030375
720758,111,5110,2007,15897.0,423366.0,1.3003559999999998,0.705448,ITA,030376
727284,111,5111,2007,268471.0,11071421.0,1.3003559999999998,0.705448,ITA,030377
733810,111,5112,2007,660233.0,22414370.0,1.3003559999999998,0.705448,ITA,030378
740336,111,5113,2007,18301961.0,140737101.0,1.3003559999999998,0.705448,ITA,030379
746862,111,5114,2007,920710.0,11218943.0,1.3003559999999998,0.705448,ITA,030380
753388,111,5115,2007,18839225.0,248814737.0,1.3003559999999998,0.705448,ITA,030410
759914,111,5116,2007,22122848.0,299093794.0,1.3003559999999998,0.705448,ITA,030420
766440,111,5117,2007,4194598.0,24706346.0,1.3003559999999998,0.705448,ITA,030490
772966,111,5118,2007,482502.0,964591.0,1.3003559999999998,0.705448,ITA,030510
779492,111,5119,2007,647513.0,482711.0,1.3003559999999998,0.705448,ITA,030520
786018,111,5120,2007,2264075.0,81889571.0,1.3003559999999998,0.705448,ITA,030530
792544,111,5121,2007,858227.0,127422279.0,1.3003559999999998,0.705448,ITA,030541
799070,111,5122,2007,9678.0,3349907.0,1.3003559999999998,0.705448,ITA,030542
805596,111,5123,2007,1143318.0,18705986.0,1.3003559999999998,0.705448,ITA,030549
812122,111,5124,2007,3658909.0,115415365.0,1.3003559999999998,0.705448,ITA,030551
818648,111,5125,2007,867383.0,7788463.0,1.3003559999999998,0.705448,ITA,030559
825174,111,5126,2007,25350.0,514159.0,1.3003559999999998,0.705448,ITA,030561
831700,111,5127,2007,1605331.0,46015126.0,1.3003559999999998,0.705448,ITA,030562
838226,111,5128,2007,14796492.0,19889771.0,1.3003559999999998,0.705448,ITA,030563
844752,111,5129,2007,402938.0,4521135.0,1.3003559999999998,0.705448,ITA,030569
851278,111,5130,2007,1036714.0,23073872.0,1.3003559999999998,0.705448,ITA,030611
857804,111,5131,2007,581032.0,17703244.0,1.3003559999999998,0.705448,ITA,030612
864330,111,5132,2007,29570648.0,402352795.0,1.3003559999999998,0.705448,ITA,030613
870856,111,5133,2007,167475.0,5534775.0,1.3003559999999998,0.705448,ITA,030614
877382,111,5134,2007,18373592.0,149163861.0,1.3003559999999998,0.705448,ITA,030619
883908,111,5135,2007,114516.0,11370452.0,1.3003559999999998,0.705448,ITA,030621
890434,111,5136,2007,1102425.0,62794832.0,1.3003559999999998,0.705448,ITA,030622
896960,111,5137,2007,523488.0,17555784.0,1.3003559999999998,0.705448,ITA,030623
903486,111,5138,2007,658928.0,7444270.0,1.3003559999999998,0.705448,ITA,030624
910012,111,5139,2007,3647515.0,34874719.0,1.3003559999999998,0.705448,ITA,030629
916538,111,5140,2007,905651.0,29060209.0,1.3003559999999998,0.705448,ITA,030710
923064,111,5141,2007,20370460.0,19817802.0,1.3003559999999998,0.705448,ITA,030721
929590,111,5142,2007,1845745.0,29089241.0,1.3003559999999998,0.705448,ITA,030729
936116,111,5143,2007,8067919.0,24804917.0,1.3003559999999998,0.705448,ITA,030731
942642,111,5144,2007,1167243.0,17640055.0,1.3003559999999998,0.705448,ITA,030739
949168,111,5145,2007,4959806.0,76076115.0,1.3003559999999998,0.705448,ITA,030741
955694,111,5146,2007,21069271.0,362419055.0,1.3003559999999998,0.705448,ITA,030749
962220,111,5147,2007,3441476.0,12977935.0,1.3003559999999998,0.705448,ITA,030751
968746,111,5148,2007,13548804.0,235223363.0,1.3003559999999998,0.705448,ITA,030759
975272,111,5149,2007,471428.0,6934581.0,1.3003559999999998,0.705448,ITA,030760
981798,111,5150,2007,39815674.0,11343867.0,1.3003559999999998,0.705448,ITA,030791
988324,111,5151,2007,51050388.0,103035322.0,1.3003559999999998,0.705448,ITA,030799
994850,111,5152,2007,4915330.0,168979066.0,1.3003559999999998,0.705448,ITA,040110
1001376,111,5153,2007,15028754.0,842023985.0,1.3003559999999998,0.705448,ITA,040120
1007902,111,5154,2007,16234512.0,162624998.0,1.3003559999999998,0.705448,ITA,040130
1014428,111,5155,2007,29305566.0,356129333.0,1.3003559999999998,0.705448,ITA,040210
1020954,111,5156,2007,11989262.0,99241266.0,1.3003559999999998,0.705448,ITA,040221
1027480,111,5157,2007,1249783.0,11923923.0,1.3003559999999998,0.705448,ITA,040229
1034006,111,5158,2007,2386490.0,16798997.0,1.3003559999999998,0.705448,ITA,040291
1040532,111,5159,2007,3548117.0,11821980.0,1.3003559999999998,0.705448,ITA,040299
1047058,111,5160,2007,12629934.0,188643876.0,1.3003559999999998,0.705448,ITA,040310
1053584,111,5161,2007,4541983.0,93011249.0,1.3003559999999998,0.705448,ITA,040390
1060110,111,5162,2007,96653076.0,104195077.0,1.3003559999999998,0.705448,ITA,040410
1066636,111,5163,2007,24015050.0,32980362.0,1.3003559999999998,0.705448,ITA,040490
1073162,111,5164,2007,55276670.0,279047056.0,1.3003559999999998,0.705448,ITA,040500
1079688,111,5165,2007,442093123.0,591196425.0,1.3003559999999998,0.705448,ITA,040610
1086214,111,5166,2007,169417284.0,18503173.0,1.3003559999999998,0.705448,ITA,040620
