,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2933,112,5000,2016,0.0,1.0,-0.259972,-0.592114,JAM,010111
9459,112,5001,2016,0.7433245485570441,0.6689309497343255,-0.259972,-0.592114,JAM,010119
15985,112,5002,2016,0.0,0.0,-0.259972,-0.592114,JAM,010120
22511,112,5003,2016,0.0,0.0,-0.259972,-0.592114,JAM,010210
29037,112,5004,2016,0.0,0.0,-0.259972,-0.592114,JAM,010290
35563,112,5005,2016,0.0,0.0,-0.259972,-0.592114,JAM,010310
42089,112,5006,2016,0.0,0.0,-0.259972,-0.592114,JAM,010391
48615,112,5007,2016,1.0,0.0,-0.259972,-0.592114,JAM,010392
55141,112,5008,2016,0.0,0.0,-0.259972,-0.592114,JAM,010410
61667,112,5009,2016,1.0,0.0,-0.259972,-0.592114,JAM,010420
68193,112,5010,2016,0.0,1.0,-0.259972,-0.592114,JAM,010511
74719,112,5011,2016,0.0,0.0,-0.259972,-0.592114,JAM,010519
81245,112,5012,2016,0.0,0.0,-0.259972,-0.592114,JAM,010591
87771,112,5013,2016,0.0,0.0,-0.259972,-0.592114,JAM,010599
94297,112,5014,2016,0.36591157129625795,0.9306496236454962,-0.259972,-0.592114,JAM,010600
100823,112,5015,2016,0.0,0.0,-0.259972,-0.592114,JAM,020110
107349,112,5016,2016,0.0,1.0,-0.259972,-0.592114,JAM,020120
113875,112,5017,2016,0.0003233964693859205,0.9999999477073604,-0.259972,-0.592114,JAM,020130
120401,112,5018,2016,0.0,1.0,-0.259972,-0.592114,JAM,020210
126927,112,5019,2016,0.0,1.0,-0.259972,-0.592114,JAM,020220
133453,112,5020,2016,9.85125187161515e-05,0.9999999951476418,-0.259972,-0.592114,JAM,020230
139979,112,5021,2016,0.0,1.0,-0.259972,-0.592114,JAM,020311
146505,112,5022,2016,0.0,1.0,-0.259972,-0.592114,JAM,020312
153031,112,5023,2016,0.001644019095195226,0.9999986485996942,-0.259972,-0.592114,JAM,020319
159557,112,5024,2016,0.0,0.0,-0.259972,-0.592114,JAM,020321
166083,112,5025,2016,0.0,1.0,-0.259972,-0.592114,JAM,020322
172609,112,5026,2016,0.0073657336937234105,0.9999728726156292,-0.259972,-0.592114,JAM,020329
179135,112,5027,2016,0.0,1.0,-0.259972,-0.592114,JAM,020410
185661,112,5028,2016,0.0,0.0,-0.259972,-0.592114,JAM,020421
192187,112,5029,2016,0.0,1.0,-0.259972,-0.592114,JAM,020422
198713,112,5030,2016,0.0,1.0,-0.259972,-0.592114,JAM,020423
205239,112,5031,2016,0.0,1.0,-0.259972,-0.592114,JAM,020430
211765,112,5032,2016,0.0,1.0,-0.259972,-0.592114,JAM,020441
218291,112,5033,2016,0.0012643717187543033,0.999999200681759,-0.259972,-0.592114,JAM,020442
224817,112,5034,2016,0.010917776432038364,0.9999403993027685,-0.259972,-0.592114,JAM,020443
231343,112,5035,2016,0.0,1.0,-0.259972,-0.592114,JAM,020450
237869,112,5036,2016,0.0,0.0,-0.259972,-0.592114,JAM,020500
244395,112,5037,2016,0.0,1.0,-0.259972,-0.592114,JAM,020610
250921,112,5038,2016,0.0,0.0,-0.259972,-0.592114,JAM,020621
257447,112,5039,2016,0.031797626482881765,0.9994943276227509,-0.259972,-0.592114,JAM,020622
263973,112,5040,2016,0.0,1.0,-0.259972,-0.592114,JAM,020629
270499,112,5041,2016,0.0,0.0,-0.259972,-0.592114,JAM,020630
277025,112,5042,2016,0.0,0.0,-0.259972,-0.592114,JAM,020641
283551,112,5043,2016,0.0032657328779862227,0.999994667480167,-0.259972,-0.592114,JAM,020649
290077,112,5044,2016,0.0,0.0,-0.259972,-0.592114,JAM,020680
296603,112,5045,2016,0.0,1.0,-0.259972,-0.592114,JAM,020690
303129,112,5046,2016,0.0,1.0,-0.259972,-0.592114,JAM,020710
309655,112,5047,2016,0.06576743960537018,0.9978349782843624,-0.259972,-0.592114,JAM,020721
316181,112,5048,2016,0.0,1.0,-0.259972,-0.592114,JAM,020722
322707,112,5049,2016,0.0,1.0,-0.259972,-0.592114,JAM,020723
329233,112,5050,2016,0.0,1.0,-0.259972,-0.592114,JAM,020731
335759,112,5051,2016,0.3465941589647012,0.9380151858960235,-0.259972,-0.592114,JAM,020739
342285,112,5052,2016,0.14349616814469926,0.9896508726453932,-0.259972,-0.592114,JAM,020741
348811,112,5053,2016,0.0,1.0,-0.259972,-0.592114,JAM,020742
355337,112,5054,2016,0.0,1.0,-0.259972,-0.592114,JAM,020743
361863,112,5055,2016,0.0,0.0,-0.259972,-0.592114,JAM,020750
368389,112,5056,2016,0.0,0.0,-0.259972,-0.592114,JAM,020810
374915,112,5057,2016,0.0,0.0,-0.259972,-0.592114,JAM,020820
