,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2963,113,5000,2020,0.0,1.0,-0.060384,0.139902,JOR,010111
9489,113,5001,2020,0.5432004443210944,0.8396030474512141,-0.060384,0.139902,JOR,010119
16015,113,5002,2020,0.0,0.0,-0.060384,0.139902,JOR,010120
22541,113,5003,2020,0.0,0.0,-0.060384,0.139902,JOR,010210
29067,113,5004,2020,0.0,1.0,-0.060384,0.139902,JOR,010290
35593,113,5005,2020,0.0,0.0,-0.060384,0.139902,JOR,010310
42119,113,5006,2020,0.0,0.0,-0.060384,0.139902,JOR,010391
48645,113,5007,2020,0.0,0.0,-0.060384,0.139902,JOR,010392
55171,113,5008,2020,0.844606779202176,0.5353871389244672,-0.060384,0.139902,JOR,010410
61697,113,5009,2020,0.024077688684676624,0.9997100904300225,-0.060384,0.139902,JOR,010420
68223,113,5010,2020,0.07864206560778131,0.9969029167962853,-0.060384,0.139902,JOR,010511
74749,113,5011,2020,0.0,1.0,-0.060384,0.139902,JOR,010519
81275,113,5012,2020,0.9998327404957836,0.018289096005297375,-0.060384,0.139902,JOR,010591
87801,113,5013,2020,0.9999673223506842,0.008084196360982137,-0.060384,0.139902,JOR,010599
94327,113,5014,2020,0.47773853537312216,0.8785020727462992,-0.060384,0.139902,JOR,010600
100853,113,5015,2020,0.0,1.0,-0.060384,0.139902,JOR,020110
107379,113,5016,2020,0.0,1.0,-0.060384,0.139902,JOR,020120
113905,113,5017,2020,0.006173979074232072,0.9999809408095691,-0.060384,0.139902,JOR,020130
120431,113,5018,2020,0.0,1.0,-0.060384,0.139902,JOR,020210
126957,113,5019,2020,0.07895218184308597,0.9968784043112863,-0.060384,0.139902,JOR,020220
133483,113,5020,2020,0.3366160898558503,0.9416419744521578,-0.060384,0.139902,JOR,020230
140009,113,5021,2020,0.0,1.0,-0.060384,0.139902,JOR,020311
146535,113,5022,2020,0.0,0.0,-0.060384,0.139902,JOR,020312
153061,113,5023,2020,0.0,0.0,-0.060384,0.139902,JOR,020319
159587,113,5024,2020,0.0,0.0,-0.060384,0.139902,JOR,020321
166113,113,5025,2020,0.0,1.0,-0.060384,0.139902,JOR,020322
172639,113,5026,2020,0.0,1.0,-0.060384,0.139902,JOR,020329
179165,113,5027,2020,0.0,1.0,-0.060384,0.139902,JOR,020410
185691,113,5028,2020,0.0004921311000135284,0.9999998789034829,-0.060384,0.139902,JOR,020421
192217,113,5029,2020,0.0,1.0,-0.060384,0.139902,JOR,020422
198743,113,5030,2020,0.0,1.0,-0.060384,0.139902,JOR,020423
205269,113,5031,2020,0.0,1.0,-0.060384,0.139902,JOR,020430
211795,113,5032,2020,0.0,1.0,-0.060384,0.139902,JOR,020441
218321,113,5033,2020,0.08418111814398009,0.9964504700927334,-0.060384,0.139902,JOR,020442
224847,113,5034,2020,0.0,1.0,-0.060384,0.139902,JOR,020443
231373,113,5035,2020,0.9943875330389786,0.10579902710636932,-0.060384,0.139902,JOR,020450
237899,113,5036,2020,0.0,0.0,-0.060384,0.139902,JOR,020500
244425,113,5037,2020,0.4483656390152152,0.893850241231985,-0.060384,0.139902,JOR,020610
250951,113,5038,2020,0.0,0.0,-0.060384,0.139902,JOR,020621
257477,113,5039,2020,0.0,1.0,-0.060384,0.139902,JOR,020622
264003,113,5040,2020,0.21555867958696964,0.9764908886695882,-0.060384,0.139902,JOR,020629
270529,113,5041,2020,0.0,0.0,-0.060384,0.139902,JOR,020630
277055,113,5042,2020,0.0,0.0,-0.060384,0.139902,JOR,020641
