,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
2977,114,5000,2008,6.374872001802685e-07,1.6949661380014523e-05,2.285056,0.036255,JPN,010111
9503,114,5001,2008,4.867927293759497e-06,2.226181617838016e-05,2.285056,0.036255,JPN,010119
16029,114,5002,2008,0.0,0.0,2.285056,0.036255,JPN,010120
22555,114,5003,2008,1.7318263733131035e-08,1.3886081635996275e-07,2.285056,0.036255,JPN,010210
29081,114,5004,2008,5.3833014766173734e-08,6.195046578441783e-06,2.285056,0.036255,JPN,010290
35607,114,5005,2008,0.0,2.1750257625327099e-07,2.285056,0.036255,JPN,010310
42133,114,5006,2008,1.4521534901601763e-09,6.099858688780212e-08,2.285056,0.036255,JPN,010391
48659,114,5007,2008,0.0,1.0394700104341055e-07,2.285056,0.036255,JPN,010392
55185,114,5008,2008,0.0,1.202707392672038e-07,2.285056,0.036255,JPN,010410
61711,114,5009,2008,1.2633614149577996e-09,1.3631839380017395e-09,2.285056,0.036255,JPN,010420
68237,114,5010,2008,2.3179000064453617e-08,1.7250994962676369e-06,2.285056,0.036255,JPN,010511
74763,114,5011,2008,0.0,3.570892308880268e-08,2.285056,0.036255,JPN,010519
81289,114,5012,2008,2.702787349486355e-09,1.3457538764166407e-07,2.285056,0.036255,JPN,010591
87815,114,5013,2008,0.0,0.0,2.285056,0.036255,JPN,010599
94341,114,5014,2008,2.2906303093934975e-06,8.960078434181578e-06,2.285056,0.036255,JPN,010600
100867,114,5015,2008,0.0,1.4076264521312142e-06,2.285056,0.036255,JPN,020110
107393,114,5016,2008,0.0,1.1241906824504556e-05,2.285056,0.036255,JPN,020120
113919,114,5017,2008,5.1024558401241045e-06,0.00039311701307378106,2.285056,0.036255,JPN,020130
120445,114,5018,2008,0.0,1.0864897475885986e-06,2.285056,0.036255,JPN,020210
126971,114,5019,2008,0.0,2.197359706818191e-06,2.285056,0.036255,JPN,020220
133497,114,5020,2008,7.184770307013357e-06,0.0002602602318244387,2.285056,0.036255,JPN,020230
140023,114,5021,2008,0.0,1.4012173001647915e-05,2.285056,0.036255,JPN,020311
146549,114,5022,2008,2.378386199399446e-08,3.13072389420583e-05,2.285056,0.036255,JPN,020312
153075,114,5023,2008,1.1324797178792979e-08,0.0003653790745678935,2.285056,0.036255,JPN,020319
159601,114,5024,2008,8.21048553055088e-09,1.3378902970067138e-06,2.285056,0.036255,JPN,020321
166127,114,5025,2008,1.7675241364894116e-08,5.323129207934106e-06,2.285056,0.036255,JPN,020322
172653,114,5026,2008,5.339515654874209e-07,0.0007136799855464628,2.285056,0.036255,JPN,020329
179179,114,5027,2008,0.0,5.664852873407666e-09,2.285056,0.036255,JPN,020410
185705,114,5028,2008,4.578889656995047e-10,9.906532435417455e-10,2.285056,0.036255,JPN,020421
192231,114,5029,2008,8.472915606193349e-10,3.7730041308109066e-06,2.285056,0.036255,JPN,020422
198757,114,5030,2008,0.0,1.002511187207449e-05,2.285056,0.036255,JPN,020423
205283,114,5031,2008,7.448650414886714e-10,6.745679093854866e-07,2.285056,0.036255,JPN,020430
211809,114,5032,2008,2.6935144160976026e-08,4.031047260458886e-07,2.285056,0.036255,JPN,020441
218335,114,5033,2008,0.0,5.542036397250652e-06,2.285056,0.036255,JPN,020442
224861,114,5034,2008,0.0,1.296875363555973e-05,2.285056,0.036255,JPN,020443
231387,114,5035,2008,8.963835609127299e-10,1.8561275564868763e-07,2.285056,0.036255,JPN,020450
