,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3002,115,5000,2007,0.007213052806596744,0.99997398559623,-0.171218,-0.630279,KAZ,010111
9528,115,5001,2007,0.0022345218580218876,0.9999975034529166,-0.171218,-0.630279,KAZ,010119
16054,115,5002,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010120
22580,115,5003,2007,0.4399156365821477,0.898039104210125,-0.171218,-0.630279,KAZ,010210
29106,115,5004,2007,0.03520172406009476,0.9993802272524691,-0.171218,-0.630279,KAZ,010290
35632,115,5005,2007,0.0,1.0,-0.171218,-0.630279,KAZ,010310
42158,115,5006,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010391
48684,115,5007,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010392
55210,115,5008,2007,0.49329332704619916,0.8698630314547755,-0.171218,-0.630279,KAZ,010410
61736,115,5009,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010420
68262,115,5010,2007,0.0,1.0,-0.171218,-0.630279,KAZ,010511
74788,115,5011,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010519
81314,115,5012,2007,1.0,0.0,-0.171218,-0.630279,KAZ,010591
87840,115,5013,2007,0.0,0.0,-0.171218,-0.630279,KAZ,010599
94366,115,5014,2007,0.3464527749289956,0.9380674148183588,-0.171218,-0.630279,KAZ,010600
100892,115,5015,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020110
107418,115,5016,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020120
113944,115,5017,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020130
120470,115,5018,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020210
126996,115,5019,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020220
133522,115,5020,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020230
140048,115,5021,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020311
146574,115,5022,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020312
153100,115,5023,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020319
159626,115,5024,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020321
166152,115,5025,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020322
172678,115,5026,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020329
179204,115,5027,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020410
185730,115,5028,2007,0.0,0.0,-0.171218,-0.630279,KAZ,020421
192256,115,5029,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020422
198782,115,5030,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020423
205308,115,5031,2007,0.0,0.0,-0.171218,-0.630279,KAZ,020430
211834,115,5032,2007,0.0,1.0,-0.171218,-0.630279,KAZ,020441
