,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3035,116,5000,2014,0.0,4.203266477056129e-08,-0.487058,0.307288,KEN,010111
9561,116,5001,2014,0.0,1.6350584296970537e-08,-0.487058,0.307288,KEN,010119
16087,116,5002,2014,0.0,1.3648411030126825e-09,-0.487058,0.307288,KEN,010120
22613,116,5003,2014,7.265373613791374e-08,2.325565946456797e-08,-0.487058,0.307288,KEN,010210
29139,116,5004,2014,6.863970752133158e-07,3.241447904704793e-08,-0.487058,0.307288,KEN,010290
35665,116,5005,2014,0.0,0.0,-0.487058,0.307288,KEN,010310
42191,116,5006,2014,0.0,0.0,-0.487058,0.307288,KEN,010391
48717,116,5007,2014,0.0,2.2047619314890716e-07,-0.487058,0.307288,KEN,010392
55243,116,5008,2014,1.342454082097158e-09,3.815456721195241e-09,-0.487058,0.307288,KEN,010410
61769,116,5009,2014,0.0,2.8742532815800352e-08,-0.487058,0.307288,KEN,010420
68295,116,5010,2014,5.484282509072732e-07,5.126144985980327e-07,-0.487058,0.307288,KEN,010511
74821,116,5011,2014,0.0,3.68487211833293e-09,-0.487058,0.307288,KEN,010519
81347,116,5012,2014,1.4529292649796275e-07,5.833220838519478e-10,-0.487058,0.307288,KEN,010591
87873,116,5013,2014,4.692528546563091e-09,0.0,-0.487058,0.307288,KEN,010599
94399,116,5014,2014,5.016978182576216e-07,1.0884823227977566e-07,-0.487058,0.307288,KEN,010600
100925,116,5015,2014,2.2595047690593294e-08,0.0,-0.487058,0.307288,KEN,020110
107451,116,5016,2014,1.8338134887374372e-07,1.0126272515868502e-08,-0.487058,0.307288,KEN,020120
113977,116,5017,2014,9.642184020588809e-08,2.6805306918007948e-08,-0.487058,0.307288,KEN,020130
120503,116,5018,2014,0.0,0.0,-0.487058,0.307288,KEN,020210
127029,116,5019,2014,1.1090485909985226e-06,0.0,-0.487058,0.307288,KEN,020220
133555,116,5020,2014,3.4867744726903184e-08,1.0750128855888116e-07,-0.487058,0.307288,KEN,020230
140081,116,5021,2014,0.0,0.0,-0.487058,0.307288,KEN,020311
146607,116,5022,2014,4.0321199278013897e-08,0.0,-0.487058,0.307288,KEN,020312
153133,116,5023,2014,8.418975013278386e-09,8.080336593358232e-10,-0.487058,0.307288,KEN,020319
159659,116,5024,2014,0.0,0.0,-0.487058,0.307288,KEN,020321
