,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3062,117,5000,2015,0.2124163792428004,0.9771792475433455,0.02058,0.438692,KGZ,010111
9588,117,5001,2015,0.0,1.0,0.02058,0.438692,KGZ,010119
16114,117,5002,2015,1.0,0.0,0.02058,0.438692,KGZ,010120
22640,117,5003,2015,0.0,1.0,0.02058,0.438692,KGZ,010210
29166,117,5004,2015,0.9999921093384622,0.003972563506497432,0.02058,0.438692,KGZ,010290
35692,117,5005,2015,0.0,1.0,0.02058,0.438692,KGZ,010310
42218,117,5006,2015,0.0,0.0,0.02058,0.438692,KGZ,010391
48744,117,5007,2015,0.0,0.0,0.02058,0.438692,KGZ,010392
55270,117,5008,2015,0.994270819808949,0.10689030300471875,0.02058,0.438692,KGZ,010410
61796,117,5009,2015,1.0,0.0,0.02058,0.438692,KGZ,010420
68322,117,5010,2015,0.0,1.0,0.02058,0.438692,KGZ,010511
74848,117,5011,2015,0.0,0.0,0.02058,0.438692,KGZ,010519
81374,117,5012,2015,0.0,1.0,0.02058,0.438692,KGZ,010591
87900,117,5013,2015,0.0,0.0,0.02058,0.438692,KGZ,010599
94426,117,5014,2015,0.979807596020606,0.19994267873648483,0.02058,0.438692,KGZ,010600
100952,117,5015,2015,0.0,0.0,0.02058,0.438692,KGZ,020110
107478,117,5016,2015,0.0,0.0,0.02058,0.438692,KGZ,020120
114004,117,5017,2015,0.0,0.0,0.02058,0.438692,KGZ,020130
120530,117,5018,2015,0.0,0.0,0.02058,0.438692,KGZ,020210
127056,117,5019,2015,0.0,1.0,0.02058,0.438692,KGZ,020220
133582,117,5020,2015,0.001996653665708767,0.999998006685083,0.02058,0.438692,KGZ,020230
140108,117,5021,2015,0.0,0.0,0.02058,0.438692,KGZ,020311
146634,117,5022,2015,0.0,0.0,0.02058,0.438692,KGZ,020312
153160,117,5023,2015,0.0,1.0,0.02058,0.438692,KGZ,020319
159686,117,5024,2015,0.0,0.0,0.02058,0.438692,KGZ,020321
