,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3076,118,5000,2003,,,-1.0165620000000002,-1.060454,KHM,010111
9602,118,5001,2003,,,-1.0165620000000002,-1.060454,KHM,010119
16128,118,5002,2003,,,-1.0165620000000002,-1.060454,KHM,010120
22654,118,5003,2003,97711.0,0.0,-1.0165620000000002,-1.060454,KHM,010210
29180,118,5004,2003,1067528.0,0.0,-1.0165620000000002,-1.060454,KHM,010290
35706,118,5005,2003,0.0,13442.0,-1.0165620000000002,-1.060454,KHM,010310
42232,118,5006,2003,,,-1.0165620000000002,-1.060454,KHM,010391
48758,118,5007,2003,0.0,547099.0,-1.0165620000000002,-1.060454,KHM,010392
55284,118,5008,2003,,,-1.0165620000000002,-1.060454,KHM,010410
61810,118,5009,2003,,,-1.0165620000000002,-1.060454,KHM,010420
68336,118,5010,2003,0.0,114316.0,-1.0165620000000002,-1.060454,KHM,010511
74862,118,5011,2003,,,-1.0165620000000002,-1.060454,KHM,010519
81388,118,5012,2003,0.0,2509.0,-1.0165620000000002,-1.060454,KHM,010591
87914,118,5013,2003,,,-1.0165620000000002,-1.060454,KHM,010599
94440,118,5014,2003,264928.0,225522.0,-1.0165620000000002,-1.060454,KHM,010600
100966,118,5015,2003,,,-1.0165620000000002,-1.060454,KHM,020110
107492,118,5016,2003,0.0,5199.0,-1.0165620000000002,-1.060454,KHM,020120
114018,118,5017,2003,0.0,149441.0,-1.0165620000000002,-1.060454,KHM,020130
120544,118,5018,2003,,,-1.0165620000000002,-1.060454,KHM,020210
127070,118,5019,2003,0.0,4413.0,-1.0165620000000002,-1.060454,KHM,020220
133596,118,5020,2003,0.0,85314.0,-1.0165620000000002,-1.060454,KHM,020230
140122,118,5021,2003,0.0,1732.0,-1.0165620000000002,-1.060454,KHM,020311
146648,118,5022,2003,0.0,1075.0,-1.0165620000000002,-1.060454,KHM,020312
153174,118,5023,2003,0.0,6444.0,-1.0165620000000002,-1.060454,KHM,020319
159700,118,5024,2003,,,-1.0165620000000002,-1.060454,KHM,020321
166226,118,5025,2003,,,-1.0165620000000002,-1.060454,KHM,020322
172752,118,5026,2003,0.0,6748.0,-1.0165620000000002,-1.060454,KHM,020329
179278,118,5027,2003,,,-1.0165620000000002,-1.060454,KHM,020410
185804,118,5028,2003,,,-1.0165620000000002,-1.060454,KHM,020421
192330,118,5029,2003,0.0,29533.0,-1.0165620000000002,-1.060454,KHM,020422
198856,118,5030,2003,0.0,15979.0,-1.0165620000000002,-1.060454,KHM,020423
205382,118,5031,2003,0.0,1696.0,-1.0165620000000002,-1.060454,KHM,020430
211908,118,5032,2003,,,-1.0165620000000002,-1.060454,KHM,020441
218434,118,5033,2003,0.0,16762.0,-1.0165620000000002,-1.060454,KHM,020442
224960,118,5034,2003,0.0,13786.0,-1.0165620000000002,-1.060454,KHM,020443
231486,118,5035,2003,,,-1.0165620000000002,-1.060454,KHM,020450
238012,118,5036,2003,,,-1.0165620000000002,-1.060454,KHM,020500
244538,118,5037,2003,,,-1.0165620000000002,-1.060454,KHM,020610
251064,118,5038,2003,,,-1.0165620000000002,-1.060454,KHM,020621
257590,118,5039,2003,,,-1.0165620000000002,-1.060454,KHM,020622
264116,118,5040,2003,0.0,5373.0,-1.0165620000000002,-1.060454,KHM,020629
270642,118,5041,2003,,,-1.0165620000000002,-1.060454,KHM,020630
277168,118,5042,2003,,,-1.0165620000000002,-1.060454,KHM,020641
283694,118,5043,2003,,,-1.0165620000000002,-1.060454,KHM,020649
290220,118,5044,2003,,,-1.0165620000000002,-1.060454,KHM,020680
296746,118,5045,2003,,,-1.0165620000000002,-1.060454,KHM,020690
303272,118,5046,2003,0.0,3300.0,-1.0165620000000002,-1.060454,KHM,020710
309798,118,5047,2003,0.0,4887.0,-1.0165620000000002,-1.060454,KHM,020721
316324,118,5048,2003,0.0,3043.0,-1.0165620000000002,-1.060454,KHM,020722
322850,118,5049,2003,,,-1.0165620000000002,-1.060454,KHM,020723
329376,118,5050,2003,,,-1.0165620000000002,-1.060454,KHM,020731
335902,118,5051,2003,0.0,6463.0,-1.0165620000000002,-1.060454,KHM,020739
342428,118,5052,2003,0.0,16332.0,-1.0165620000000002,-1.060454,KHM,020741
348954,118,5053,2003,,,-1.0165620000000002,-1.060454,KHM,020742
355480,118,5054,2003,0.0,1171.0,-1.0165620000000002,-1.060454,KHM,020743
362006,118,5055,2003,,,-1.0165620000000002,-1.060454,KHM,020750
368532,118,5056,2003,,,-1.0165620000000002,-1.060454,KHM,020810
375058,118,5057,2003,,,-1.0165620000000002,-1.060454,KHM,020820
381584,118,5058,2003,,,-1.0165620000000002,-1.060454,KHM,020890
388110,118,5059,2003,,,-1.0165620000000002,-1.060454,KHM,020900
394636,118,5060,2003,,,-1.0165620000000002,-1.060454,KHM,021011
401162,118,5061,2003,,,-1.0165620000000002,-1.060454,KHM,021012
407688,118,5062,2003,0.0,104804.0,-1.0165620000000002,-1.060454,KHM,021019
414214,118,5063,2003,0.0,42599.0,-1.0165620000000002,-1.060454,KHM,021020
420740,118,5064,2003,,,-1.0165620000000002,-1.060454,KHM,021090
427266,118,5065,2003,653590.0,2142.0,-1.0165620000000002,-1.060454,KHM,030110
433792,118,5066,2003,,,-1.0165620000000002,-1.060454,KHM,030191
440318,118,5067,2003,4363.0,0.0,-1.0165620000000002,-1.060454,KHM,030192
446844,118,5068,2003,,,-1.0165620000000002,-1.060454,KHM,030193
453370,118,5069,2003,1082010.0,23735.0,-1.0165620000000002,-1.060454,KHM,030199
459896,118,5070,2003,107566.0,0.0,-1.0165620000000002,-1.060454,KHM,030211
466422,118,5071,2003,0.0,1710.0,-1.0165620000000002,-1.060454,KHM,030212
472948,118,5072,2003,,,-1.0165620000000002,-1.060454,KHM,030219
479474,118,5073,2003,,,-1.0165620000000002,-1.060454,KHM,030221
486000,118,5074,2003,,,-1.0165620000000002,-1.060454,KHM,030222
492526,118,5075,2003,,,-1.0165620000000002,-1.060454,KHM,030223
499052,118,5076,2003,,,-1.0165620000000002,-1.060454,KHM,030229
505578,118,5077,2003,,,-1.0165620000000002,-1.060454,KHM,030231
512104,118,5078,2003,,,-1.0165620000000002,-1.060454,KHM,030232
518630,118,5079,2003,,,-1.0165620000000002,-1.060454,KHM,030233
525156,118,5080,2003,,,-1.0165620000000002,-1.060454,KHM,030239
531682,118,5081,2003,,,-1.0165620000000002,-1.060454,KHM,030240
538208,118,5082,2003,,,-1.0165620000000002,-1.060454,KHM,030250
544734,118,5083,2003,0.0,12760.0,-1.0165620000000002,-1.060454,KHM,030261
551260,118,5084,2003,,,-1.0165620000000002,-1.060454,KHM,030262
557786,118,5085,2003,,,-1.0165620000000002,-1.060454,KHM,030263
564312,118,5086,2003,,,-1.0165620000000002,-1.060454,KHM,030264
570838,118,5087,2003,,,-1.0165620000000002,-1.060454,KHM,030265
577364,118,5088,2003,,,-1.0165620000000002,-1.060454,KHM,030266
583890,118,5089,2003,155570.0,707949.0,-1.0165620000000002,-1.060454,KHM,030269
590416,118,5090,2003,,,-1.0165620000000002,-1.060454,KHM,030270
596942,118,5091,2003,0.0,11088.0,-1.0165620000000002,-1.060454,KHM,030310
603468,118,5092,2003,,,-1.0165620000000002,-1.060454,KHM,030321
609994,118,5093,2003,0.0,1240.0,-1.0165620000000002,-1.060454,KHM,030322
616520,118,5094,2003,230054.0,4776.0,-1.0165620000000002,-1.060454,KHM,030329
623046,118,5095,2003,,,-1.0165620000000002,-1.060454,KHM,030331
629572,118,5096,2003,,,-1.0165620000000002,-1.060454,KHM,030332
636098,118,5097,2003,,,-1.0165620000000002,-1.060454,KHM,030333
642624,118,5098,2003,,,-1.0165620000000002,-1.060454,KHM,030339
649150,118,5099,2003,,,-1.0165620000000002,-1.060454,KHM,030341
655676,118,5100,2003,,,-1.0165620000000002,-1.060454,KHM,030342
662202,118,5101,2003,,,-1.0165620000000002,-1.060454,KHM,030343
668728,118,5102,2003,,,-1.0165620000000002,-1.060454,KHM,030349
675254,118,5103,2003,,,-1.0165620000000002,-1.060454,KHM,030350
681780,118,5104,2003,,,-1.0165620000000002,-1.060454,KHM,030360
688306,118,5105,2003,0.0,1212.0,-1.0165620000000002,-1.060454,KHM,030371
694832,118,5106,2003,,,-1.0165620000000002,-1.060454,KHM,030372
701358,118,5107,2003,,,-1.0165620000000002,-1.060454,KHM,030373
707884,118,5108,2003,22510.0,0.0,-1.0165620000000002,-1.060454,KHM,030374
714410,118,5109,2003,,,-1.0165620000000002,-1.060454,KHM,030375
720936,118,5110,2003,12808.0,0.0,-1.0165620000000002,-1.060454,KHM,030376
727462,118,5111,2003,,,-1.0165620000000002,-1.060454,KHM,030377
733988,118,5112,2003,,,-1.0165620000000002,-1.060454,KHM,030378
740514,118,5113,2003,479469.0,339980.0,-1.0165620000000002,-1.060454,KHM,030379
747040,118,5114,2003,,,-1.0165620000000002,-1.060454,KHM,030380
753566,118,5115,2003,19826.0,0.0,-1.0165620000000002,-1.060454,KHM,030410
760092,118,5116,2003,66531.0,231991.0,-1.0165620000000002,-1.060454,KHM,030420
766618,118,5117,2003,42112.0,22043.0,-1.0165620000000002,-1.060454,KHM,030490
773144,118,5118,2003,31450.0,0.0,-1.0165620000000002,-1.060454,KHM,030510
779670,118,5119,2003,,,-1.0165620000000002,-1.060454,KHM,030520
786196,118,5120,2003,0.0,2804.0,-1.0165620000000002,-1.060454,KHM,030530
792722,118,5121,2003,0.0,16392.0,-1.0165620000000002,-1.060454,KHM,030541
799248,118,5122,2003,,,-1.0165620000000002,-1.060454,KHM,030542
805774,118,5123,2003,25133.0,0.0,-1.0165620000000002,-1.060454,KHM,030549
812300,118,5124,2003,,,-1.0165620000000002,-1.060454,KHM,030551
818826,118,5125,2003,49263.0,32651.0,-1.0165620000000002,-1.060454,KHM,030559
825352,118,5126,2003,,,-1.0165620000000002,-1.060454,KHM,030561
831878,118,5127,2003,,,-1.0165620000000002,-1.060454,KHM,030562
838404,118,5128,2003,,,-1.0165620000000002,-1.060454,KHM,030563
844930,118,5129,2003,121839.0,0.0,-1.0165620000000002,-1.060454,KHM,030569
851456,118,5130,2003,,,-1.0165620000000002,-1.060454,KHM,030611
857982,118,5131,2003,4736.0,0.0,-1.0165620000000002,-1.060454,KHM,030612
864508,118,5132,2003,586508.0,831726.0,-1.0165620000000002,-1.060454,KHM,030613
871034,118,5133,2003,3263.0,0.0,-1.0165620000000002,-1.060454,KHM,030614
877560,118,5134,2003,39782.0,0.0,-1.0165620000000002,-1.060454,KHM,030619
884086,118,5135,2003,849.0,0.0,-1.0165620000000002,-1.060454,KHM,030621
890612,118,5136,2003,,,-1.0165620000000002,-1.060454,KHM,030622
897138,118,5137,2003,297952.0,56226.0,-1.0165620000000002,-1.060454,KHM,030623
903664,118,5138,2003,5576.0,700588.0,-1.0165620000000002,-1.060454,KHM,030624
910190,118,5139,2003,13343.0,783905.0,-1.0165620000000002,-1.060454,KHM,030629
916716,118,5140,2003,0.0,1028.0,-1.0165620000000002,-1.060454,KHM,030710
923242,118,5141,2003,,,-1.0165620000000002,-1.060454,KHM,030721
929768,118,5142,2003,38020.0,0.0,-1.0165620000000002,-1.060454,KHM,030729
936294,118,5143,2003,,,-1.0165620000000002,-1.060454,KHM,030731
942820,118,5144,2003,0.0,26233.0,-1.0165620000000002,-1.060454,KHM,030739
949346,118,5145,2003,1760.0,72135.0,-1.0165620000000002,-1.060454,KHM,030741
955872,118,5146,2003,67290.0,288766.0,-1.0165620000000002,-1.060454,KHM,030749
962398,118,5147,2003,,,-1.0165620000000002,-1.060454,KHM,030751
968924,118,5148,2003,9761.0,0.0,-1.0165620000000002,-1.060454,KHM,030759
