,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3152,121,5000,2001,8.969896349904262e-10,4.183854446117943e-07,1.145797,1.0762399999999999,KOR,010111
9678,121,5001,2001,1.9930746045040653e-08,1.0580779849089827e-06,1.145797,1.0762399999999999,KOR,010119
16204,121,5002,2001,0.0,4.566152471152435e-09,1.145797,1.0762399999999999,KOR,010120
22730,121,5003,2001,2.0470151974190298e-09,2.7357209153252416e-07,1.145797,1.0762399999999999,KOR,010210
29256,121,5004,2001,0.0,4.4659602745908193e-07,1.145797,1.0762399999999999,KOR,010290
35782,121,5005,2001,2.8722759653141068e-08,3.965208094574119e-07,1.145797,1.0762399999999999,KOR,010310
42308,121,5006,2001,7.14682552419399e-09,3.327255908971423e-09,1.145797,1.0762399999999999,KOR,010391
48834,121,5007,2001,0.0,0.0,1.145797,1.0762399999999999,KOR,010392
55360,121,5008,2001,0.0,0.0,1.145797,1.0762399999999999,KOR,010410
61886,121,5009,2001,0.0,5.844787850295861e-08,1.145797,1.0762399999999999,KOR,010420
68412,121,5010,2001,8.014632692343343e-08,1.5239597673324172e-06,1.145797,1.0762399999999999,KOR,010511
74938,121,5011,2001,0.0,5.578315716536221e-08,1.145797,1.0762399999999999,KOR,010519
81464,121,5012,2001,0.0,3.0200175159425846e-09,1.145797,1.0762399999999999,KOR,010591
87990,121,5013,2001,0.0,0.0,1.145797,1.0762399999999999,KOR,010599
94516,121,5014,2001,2.967765966625537e-07,1.4939326002001339e-06,1.145797,1.0762399999999999,KOR,010600
101042,121,5015,2001,0.0,4.939379174917025e-08,1.145797,1.0762399999999999,KOR,020110
107568,121,5016,2001,0.0,1.5468399132055057e-06,1.145797,1.0762399999999999,KOR,020120
114094,121,5017,2001,9.085050424666546e-10,1.5659074526812175e-05,1.145797,1.0762399999999999,KOR,020130
120620,121,5018,2001,0.0,1.831140491018875e-06,1.145797,1.0762399999999999,KOR,020210
127146,121,5019,2001,0.0,6.449714758971775e-05,1.145797,1.0762399999999999,KOR,020220
133672,121,5020,2001,3.2067379450907736e-08,8.696737281707014e-05,1.145797,1.0762399999999999,KOR,020230
140198,121,5021,2001,7.712898712762272e-09,6.08832482030405e-08,1.145797,1.0762399999999999,KOR,020311
146724,121,5022,2001,1.2012994294017052e-08,1.0541955787213453e-07,1.145797,1.0762399999999999,KOR,020312
153250,121,5023,2001,3.678506007169522e-08,8.136478029598961e-07,1.145797,1.0762399999999999,KOR,020319
