,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3183,122,5000,2006,9.015867068697521e-08,1.3404095192563495e-06,-0.589823,-1.142795,KWT,010111
9709,122,5001,2006,3.6718694960187484e-08,4.964339394311849e-07,-0.589823,-1.142795,KWT,010119
16235,122,5002,2006,0.0,0.0,-0.589823,-1.142795,KWT,010120
22761,122,5003,2006,5.356179661640467e-09,9.082185643713909e-07,-0.589823,-1.142795,KWT,010210
29287,122,5004,2006,8.675041311105044e-09,9.835473199748218e-07,-0.589823,-1.142795,KWT,010290
35813,122,5005,2006,0.0,9.281383506689305e-08,-0.589823,-1.142795,KWT,010310
42339,122,5006,2006,0.0,0.0,-0.589823,-1.142795,KWT,010391
48865,122,5007,2006,0.0,1.7473147875383348e-09,-0.589823,-1.142795,KWT,010392
55391,122,5008,2006,3.7406649645780475e-07,3.2690017530582435e-05,-0.589823,-1.142795,KWT,010410
61917,122,5009,2006,9.700276220935992e-08,1.9654407892687224e-07,-0.589823,-1.142795,KWT,010420
68443,122,5010,2006,0.0,4.3386601727801973e-07,-0.589823,-1.142795,KWT,010511
74969,122,5011,2006,0.0,3.79716161947443e-08,-0.589823,-1.142795,KWT,010519
81495,122,5012,2006,0.0,3.2358102293375646e-07,-0.589823,-1.142795,KWT,010591
88021,122,5013,2006,0.0,2.1733387685515697e-08,-0.589823,-1.142795,KWT,010599
94547,122,5014,2006,4.80860991466425e-07,1.7796901574911244e-06,-0.589823,-1.142795,KWT,010600
101073,122,5015,2006,2.3285608494720385e-07,2.357146540070338e-06,-0.589823,-1.142795,KWT,020110
107599,122,5016,2006,9.418391167399474e-08,1.2121605247604615e-06,-0.589823,-1.142795,KWT,020120
114125,122,5017,2006,1.2573006741808372e-09,3.4777642753273e-06,-0.589823,-1.142795,KWT,020130
120651,122,5018,2006,3.236132537859041e-09,5.018959553072531e-07,-0.589823,-1.142795,KWT,020210
127177,122,5019,2006,1.1779352737065154e-07,1.6932507733553248e-06,-0.589823,-1.142795,KWT,020220
133703,122,5020,2006,1.7897276603258133e-07,2.2484725752631136e-05,-0.589823,-1.142795,KWT,020230
140229,122,5021,2006,0.0,0.0,-0.589823,-1.142795,KWT,020311
146755,122,5022,2006,0.0,1.7058856622647588e-09,-0.589823,-1.142795,KWT,020312
153281,122,5023,2006,0.0,5.886250118869655e-10,-0.589823,-1.142795,KWT,020319
159807,122,5024,2006,0.0,0.0,-0.589823,-1.142795,KWT,020321
166333,122,5025,2006,0.0,1.0933311876197758e-08,-0.589823,-1.142795,KWT,020322
172859,122,5026,2006,0.0,3.960558089553413e-08,-0.589823,-1.142795,KWT,020329
179385,122,5027,2006,0.0,6.023334122904885e-07,-0.589823,-1.142795,KWT,020410
185911,122,5028,2006,0.0,6.928391479301401e-07,-0.589823,-1.142795,KWT,020421
192437,122,5029,2006,0.0,3.3422863956206765e-07,-0.589823,-1.142795,KWT,020422
198963,122,5030,2006,2.3715678660253634e-09,1.0801534114527569e-07,-0.589823,-1.142795,KWT,020423
205489,122,5031,2006,0.0,4.79320064930174e-07,-0.589823,-1.142795,KWT,020430
212015,122,5032,2006,0.0,3.63099436949715e-07,-0.589823,-1.142795,KWT,020441
218541,122,5033,2006,2.3533250362867065e-08,2.542722175222781e-06,-0.589823,-1.142795,KWT,020442
225067,122,5034,2006,0.0,1.7772491534300054e-06,-0.589823,-1.142795,KWT,020443
231593,122,5035,2006,1.6137328392739925e-08,3.8433269223492805e-07,-0.589823,-1.142795,KWT,020450
238119,122,5036,2006,0.0,1.4286419559339893e-08,-0.589823,-1.142795,KWT,020500
244645,122,5037,2006,1.8997088928349602e-08,3.0101076691771454e-08,-0.589823,-1.142795,KWT,020610
251171,122,5038,2006,0.0,1.2648477662523798e-08,-0.589823,-1.142795,KWT,020621
257697,122,5039,2006,0.0,6.531550174130873e-08,-0.589823,-1.142795,KWT,020622
264223,122,5040,2006,2.381568088307351e-09,9.04066371719972e-08,-0.589823,-1.142795,KWT,020629
270749,122,5041,2006,0.0,0.0,-0.589823,-1.142795,KWT,020630
277275,122,5042,2006,0.0,0.0,-0.589823,-1.142795,KWT,020641
283801,122,5043,2006,0.0,0.0,-0.589823,-1.142795,KWT,020649
290327,122,5044,2006,1.3825761860406488e-08,4.892249402005805e-08,-0.589823,-1.142795,KWT,020680
296853,122,5045,2006,3.996755505367814e-09,1.1390125983114316e-07,-0.589823,-1.142795,KWT,020690
303379,122,5046,2006,2.6656653122274606e-08,8.726491745765096e-07,-0.589823,-1.142795,KWT,020710
309905,122,5047,2006,2.4338359167678743e-07,2.765023934491043e-05,-0.589823,-1.142795,KWT,020721
316431,122,5048,2006,0.0,2.7905797058474994e-07,-0.589823,-1.142795,KWT,020722
322957,122,5049,2006,0.0,9.187521680469492e-08,-0.589823,-1.142795,KWT,020723
329483,122,5050,2006,0.0,2.3368678118314282e-08,-0.589823,-1.142795,KWT,020731
336009,122,5051,2006,0.0,6.617010173745205e-07,-0.589823,-1.142795,KWT,020739
342535,122,5052,2006,7.153007479786492e-08,9.960652130344833e-06,-0.589823,-1.142795,KWT,020741
349061,122,5053,2006,1.5802472464812754e-08,5.425157211894844e-07,-0.589823,-1.142795,KWT,020742
