,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3201,123,5000,1998,,,-1.251085,-1.1803219999999999,LAO,010111
9727,123,5001,1998,,,-1.251085,-1.1803219999999999,LAO,010119
16253,123,5002,1998,,,-1.251085,-1.1803219999999999,LAO,010120
22779,123,5003,1998,0.0,11815.0,-1.251085,-1.1803219999999999,LAO,010210
29305,123,5004,1998,937962.0,0.0,-1.251085,-1.1803219999999999,LAO,010290
35831,123,5005,1998,0.0,11322.0,-1.251085,-1.1803219999999999,LAO,010310
42357,123,5006,1998,0.0,14092.0,-1.251085,-1.1803219999999999,LAO,010391
48883,123,5007,1998,0.0,12282.0,-1.251085,-1.1803219999999999,LAO,010392
55409,123,5008,1998,,,-1.251085,-1.1803219999999999,LAO,010410
61935,123,5009,1998,,,-1.251085,-1.1803219999999999,LAO,010420
68461,123,5010,1998,0.0,85754.0,-1.251085,-1.1803219999999999,LAO,010511
74987,123,5011,1998,,,-1.251085,-1.1803219999999999,LAO,010519
81513,123,5012,1998,0.0,108525.0,-1.251085,-1.1803219999999999,LAO,010591
88039,123,5013,1998,0.0,147615.0,-1.251085,-1.1803219999999999,LAO,010599
94565,123,5014,1998,,,-1.251085,-1.1803219999999999,LAO,010600
101091,123,5015,1998,,,-1.251085,-1.1803219999999999,LAO,020110
107617,123,5016,1998,,,-1.251085,-1.1803219999999999,LAO,020120
114143,123,5017,1998,0.0,70331.0,-1.251085,-1.1803219999999999,LAO,020130
120669,123,5018,1998,,,-1.251085,-1.1803219999999999,LAO,020210
127195,123,5019,1998,,,-1.251085,-1.1803219999999999,LAO,020220
133721,123,5020,1998,0.0,3065.0,-1.251085,-1.1803219999999999,LAO,020230
140247,123,5021,1998,,,-1.251085,-1.1803219999999999,LAO,020311
146773,123,5022,1998,,,-1.251085,-1.1803219999999999,LAO,020312
153299,123,5023,1998,,,-1.251085,-1.1803219999999999,LAO,020319
159825,123,5024,1998,,,-1.251085,-1.1803219999999999,LAO,020321
166351,123,5025,1998,,,-1.251085,-1.1803219999999999,LAO,020322
172877,123,5026,1998,,,-1.251085,-1.1803219999999999,LAO,020329
179403,123,5027,1998,,,-1.251085,-1.1803219999999999,LAO,020410
185929,123,5028,1998,,,-1.251085,-1.1803219999999999,LAO,020421
192455,123,5029,1998,0.0,1823.0,-1.251085,-1.1803219999999999,LAO,020422
198981,123,5030,1998,,,-1.251085,-1.1803219999999999,LAO,020423
205507,123,5031,1998,,,-1.251085,-1.1803219999999999,LAO,020430
212033,123,5032,1998,,,-1.251085,-1.1803219999999999,LAO,020441
218559,123,5033,1998,,,-1.251085,-1.1803219999999999,LAO,020442
