,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3249,124,5000,2020,0.0,1.0,0.35459,1.067965,LBN,010111
9775,124,5001,2020,0.38957479290213,0.920994832089335,0.35459,1.067965,LBN,010119
16301,124,5002,2020,0.0,0.0,0.35459,1.067965,LBN,010120
22827,124,5003,2020,0.0,1.0,0.35459,1.067965,LBN,010210
29353,124,5004,2020,0.0,1.0,0.35459,1.067965,LBN,010290
35879,124,5005,2020,0.0,0.0,0.35459,1.067965,LBN,010310
42405,124,5006,2020,0.0,0.0,0.35459,1.067965,LBN,010391
48931,124,5007,2020,0.0,0.0,0.35459,1.067965,LBN,010392
55457,124,5008,2020,0.6411305688372919,0.7674318169729287,0.35459,1.067965,LBN,010410
61983,124,5009,2020,0.37611868205084464,0.9265714958989056,0.35459,1.067965,LBN,010420
68509,124,5010,2020,0.0,1.0,0.35459,1.067965,LBN,010511
75035,124,5011,2020,0.0,1.0,0.35459,1.067965,LBN,010519
81561,124,5012,2020,1.0,0.0,0.35459,1.067965,LBN,010591
88087,124,5013,2020,0.9856352830686573,0.16888779935261033,0.35459,1.067965,LBN,010599
94613,124,5014,2020,0.65045473918776,0.7595450166173056,0.35459,1.067965,LBN,010600
101139,124,5015,2020,0.613109990364697,0.7899975567778681,0.35459,1.067965,LBN,020110
107665,124,5016,2020,0.20558548121594325,0.9786391622621736,0.35459,1.067965,LBN,020120
114191,124,5017,2020,0.000492108600464526,0.9999998789145553,0.35459,1.067965,LBN,020130
120717,124,5018,2020,0.0,0.0,0.35459,1.067965,LBN,020210
127243,124,5019,2020,0.0,1.0,0.35459,1.067965,LBN,020220
133769,124,5020,2020,0.01698581857727374,0.9998557305767968,0.35459,1.067965,LBN,020230
140295,124,5021,2020,0.0,1.0,0.35459,1.067965,LBN,020311
146821,124,5022,2020,0.0,0.0,0.35459,1.067965,LBN,020312
153347,124,5023,2020,0.0,1.0,0.35459,1.067965,LBN,020319
159873,124,5024,2020,0.0,0.0,0.35459,1.067965,LBN,020321
166399,124,5025,2020,0.0,1.0,0.35459,1.067965,LBN,020322
172925,124,5026,2020,0.0,1.0,0.35459,1.067965,LBN,020329
179451,124,5027,2020,1.0,0.0,0.35459,1.067965,LBN,020410
185977,124,5028,2020,0.0,0.0,0.35459,1.067965,LBN,020421
192503,124,5029,2020,0.10802907545761513,0.9941477349246302,0.35459,1.067965,LBN,020422
199029,124,5030,2020,0.0,1.0,0.35459,1.067965,LBN,020423
205555,124,5031,2020,1.0,0.0,0.35459,1.067965,LBN,020430
212081,124,5032,2020,0.0,1.0,0.35459,1.067965,LBN,020441
218607,124,5033,2020,0.0,1.0,0.35459,1.067965,LBN,020442
225133,124,5034,2020,0.0,1.0,0.35459,1.067965,LBN,020443
231659,124,5035,2020,0.027161595939590787,0.9996310557930933,0.35459,1.067965,LBN,020450
238185,124,5036,2020,0.0,0.0,0.35459,1.067965,LBN,020500
244711,124,5037,2020,0.0,1.0,0.35459,1.067965,LBN,020610
251237,124,5038,2020,0.0,1.0,0.35459,1.067965,LBN,020621
257763,124,5039,2020,0.0,1.0,0.35459,1.067965,LBN,020622
264289,124,5040,2020,0.0,1.0,0.35459,1.067965,LBN,020629
270815,124,5041,2020,0.0,1.0,0.35459,1.067965,LBN,020630
277341,124,5042,2020,0.0,0.0,0.35459,1.067965,LBN,020641
283867,124,5043,2020,0.0,1.0,0.35459,1.067965,LBN,020649
290393,124,5044,2020,0.0,0.0,0.35459,1.067965,LBN,020680
296919,124,5045,2020,0.0,1.0,0.35459,1.067965,LBN,020690
303445,124,5046,2020,0.0,1.0,0.35459,1.067965,LBN,020710
309971,124,5047,2020,0.18320649877979217,0.9830744523202961,0.35459,1.067965,LBN,020721
316497,124,5048,2020,0.0,1.0,0.35459,1.067965,LBN,020722
323023,124,5049,2020,0.35981321232372426,0.9330243577942016,0.35459,1.067965,LBN,020723
329549,124,5050,2020,0.0,0.0,0.35459,1.067965,LBN,020731
336075,124,5051,2020,0.8440710449461553,0.5362313596606464,0.35459,1.067965,LBN,020739
342601,124,5052,2020,0.08992881260498338,0.9959481957729819,0.35459,1.067965,LBN,020741
349127,124,5053,2020,0.15360855980820062,0.988131777828064,0.35459,1.067965,LBN,020742
355653,124,5054,2020,0.9946292105246256,0.10350233606619669,0.35459,1.067965,LBN,020743
362179,124,5055,2020,0.0,0.0,0.35459,1.067965,LBN,020750
368705,124,5056,2020,0.10921763074212137,0.9940178615774857,0.35459,1.067965,LBN,020810
375231,124,5057,2020,0.0,0.0,0.35459,1.067965,LBN,020820
381757,124,5058,2020,1.0,0.0,0.35459,1.067965,LBN,020890
388283,124,5059,2020,0.0,0.0,0.35459,1.067965,LBN,020900
394809,124,5060,2020,0.0,1.0,0.35459,1.067965,LBN,021011
401335,124,5061,2020,0.0,1.0,0.35459,1.067965,LBN,021012
407861,124,5062,2020,0.0,1.0,0.35459,1.067965,LBN,021019
414387,124,5063,2020,0.0,1.0,0.35459,1.067965,LBN,021020
420913,124,5064,2020,0.0,1.0,0.35459,1.067965,LBN,021090
427439,124,5065,2020,0.22808750772145533,0.9736406363856303,0.35459,1.067965,LBN,030110
433965,124,5066,2020,0.0,1.0,0.35459,1.067965,LBN,030191
440491,124,5067,2020,0.0,0.0,0.35459,1.067965,LBN,030192
