,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3297,126,5000,2016,9.751731910132404e-10,2.1931220044522078e-07,-1.021925,-1.2316790000000002,LBY,010111
9823,126,5001,2016,0.0,6.319963345533666e-08,-1.021925,-1.2316790000000002,LBY,010119
16349,126,5002,2016,0.0,1.2043612433529591e-08,-1.021925,-1.2316790000000002,LBY,010120
22875,126,5003,2016,0.0,1.5908631645872116e-06,-1.021925,-1.2316790000000002,LBY,010210
29401,126,5004,2016,0.0,4.653755549702219e-05,-1.021925,-1.2316790000000002,LBY,010290
35927,126,5005,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,010310
42453,126,5006,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,010391
48979,126,5007,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,010392
55505,126,5008,2016,0.0,5.900926237352969e-05,-1.021925,-1.2316790000000002,LBY,010410
62031,126,5009,2016,6.935002634039156e-09,8.44833991300833e-07,-1.021925,-1.2316790000000002,LBY,010420
68557,126,5010,2016,0.0,8.935433739004838e-10,-1.021925,-1.2316790000000002,LBY,010511
75083,126,5011,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,010519
81609,126,5012,2016,0.0,7.953397753519996e-09,-1.021925,-1.2316790000000002,LBY,010591
88135,126,5013,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,010599
94661,126,5014,2016,2.964611351051128e-09,6.741466580397049e-07,-1.021925,-1.2316790000000002,LBY,010600
101187,126,5015,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020110
107713,126,5016,2016,0.0,1.2411503065958945e-08,-1.021925,-1.2316790000000002,LBY,020120
114239,126,5017,2016,0.0,1.3027637017027565e-08,-1.021925,-1.2316790000000002,LBY,020130
120765,126,5018,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020210
127291,126,5019,2016,0.0,2.6577612445504375e-09,-1.021925,-1.2316790000000002,LBY,020220
133817,126,5020,2016,0.0,6.857792935505206e-06,-1.021925,-1.2316790000000002,LBY,020230
140343,126,5021,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020311
146869,126,5022,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020312
153395,126,5023,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020319
159921,126,5024,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020321
166447,126,5025,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020322
172973,126,5026,2016,0.0,4.722920281187646e-10,-1.021925,-1.2316790000000002,LBY,020329
179499,126,5027,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020410
186025,126,5028,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020421
192551,126,5029,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020422
199077,126,5030,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020423
205603,126,5031,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020430
212129,126,5032,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020441
218655,126,5033,2016,0.0,3.065652526013934e-07,-1.021925,-1.2316790000000002,LBY,020442
225181,126,5034,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020443
231707,126,5035,2016,0.0,5.508747929376833e-09,-1.021925,-1.2316790000000002,LBY,020450
238233,126,5036,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020500
244759,126,5037,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020610
251285,126,5038,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020621
257811,126,5039,2016,0.0,5.4625461688717406e-08,-1.021925,-1.2316790000000002,LBY,020622
264337,126,5040,2016,0.0,1.6969369712056665e-09,-1.021925,-1.2316790000000002,LBY,020629
270863,126,5041,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020630
277389,126,5042,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020641
283915,126,5043,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020649
290441,126,5044,2016,0.0,0.0,-1.021925,-1.2316790000000002,LBY,020680
296967,126,5045,2016,0.0,5.413361511346951e-08,-1.021925,-1.2316790000000002,LBY,020690
