,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3366,129,5000,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010111
9892,129,5001,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010119
16418,129,5002,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010120
22944,129,5003,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010210
29470,129,5004,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010290
35996,129,5005,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010310
42522,129,5006,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010391
49048,129,5007,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010392
55574,129,5008,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010410
62100,129,5009,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010420
68626,129,5010,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010511
75152,129,5011,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010519
81678,129,5012,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010591
88204,129,5013,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,010599
94730,129,5014,2007,2.946126091681393e-09,9.495555512703583e-10,-0.122333,-0.7552439999999999,LSO,010600
101256,129,5015,2007,2.0333785306708647e-09,0.0,-0.122333,-0.7552439999999999,LSO,020110
107782,129,5016,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020120
114308,129,5017,2007,1.9236791226078465e-09,0.0,-0.122333,-0.7552439999999999,LSO,020130
120834,129,5018,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020210
127360,129,5019,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020220
133886,129,5020,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020230
140412,129,5021,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020311
146938,129,5022,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020312
153464,129,5023,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020319
159990,129,5024,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020321
166516,129,5025,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020322
173042,129,5026,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020329
179568,129,5027,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020410
186094,129,5028,2007,2.5694510523931836e-09,0.0,-0.122333,-0.7552439999999999,LSO,020421
192620,129,5029,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020422
199146,129,5030,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020423
205672,129,5031,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020430
212198,129,5032,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020441
218724,129,5033,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020442
225250,129,5034,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020443
231776,129,5035,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020450
238302,129,5036,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020500
244828,129,5037,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020610
251354,129,5038,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020621
257880,129,5039,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020622
264406,129,5040,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020629
270932,129,5041,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020630
277458,129,5042,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020641
283984,129,5043,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020649
290510,129,5044,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020680
297036,129,5045,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020690
303562,129,5046,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020710
310088,129,5047,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020721
316614,129,5048,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020722
323140,129,5049,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020723
329666,129,5050,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020731
336192,129,5051,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020739
342718,129,5052,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020741
349244,129,5053,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020742
355770,129,5054,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020743
362296,129,5055,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020750
368822,129,5056,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020810
375348,129,5057,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020820
381874,129,5058,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020890
388400,129,5059,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,020900
394926,129,5060,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,021011
401452,129,5061,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,021012
407978,129,5062,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,021019
414504,129,5063,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,021020
421030,129,5064,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,021090
427556,129,5065,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030110
434082,129,5066,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030191
440608,129,5067,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030192
447134,129,5068,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030193
453660,129,5069,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030199
460186,129,5070,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030211
466712,129,5071,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030212
473238,129,5072,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030219
479764,129,5073,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030221
486290,129,5074,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030222
492816,129,5075,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030223
499342,129,5076,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030229
505868,129,5077,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030231
512394,129,5078,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030232
518920,129,5079,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030233
525446,129,5080,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030239
531972,129,5081,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030240
538498,129,5082,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030250
545024,129,5083,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030261
551550,129,5084,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030262
558076,129,5085,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030263
564602,129,5086,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030264
571128,129,5087,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030265
577654,129,5088,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030266
584180,129,5089,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030269
590706,129,5090,2007,0.0,0.0,-0.122333,-0.7552439999999999,LSO,030270
