,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3389,130,5000,2004,0.9630066279360942,0.26947770696507184,0.403568,0.632707,LTU,010111
9915,130,5001,2004,0.9989564779673527,0.04567225773992408,0.403568,0.632707,LTU,010119
16441,130,5002,2004,0.0,0.0,0.403568,0.632707,LTU,010120
22967,130,5003,2004,0.6270129434376416,0.7790088374092201,0.403568,0.632707,LTU,010210
29493,130,5004,2004,0.9997346180076678,0.023036787038613737,0.403568,0.632707,LTU,010290
36019,130,5005,2004,0.785353704333377,0.6190472995578307,0.403568,0.632707,LTU,010310
42545,130,5006,2004,0.0,0.0,0.403568,0.632707,LTU,010391
49071,130,5007,2004,0.3496332232016579,0.9368866576238662,0.403568,0.632707,LTU,010392
55597,130,5008,2004,0.0,1.0,0.403568,0.632707,LTU,010410
62123,130,5009,2004,0.0,0.0,0.403568,0.632707,LTU,010420
68649,130,5010,2004,0.8054589370952933,0.5926515845362438,0.403568,0.632707,LTU,010511
75175,130,5011,2004,0.0,1.0,0.403568,0.632707,LTU,010519
81701,130,5012,2004,0.9947007440610109,0.1028125953590856,0.403568,0.632707,LTU,010591
88227,130,5013,2004,0.01123771662341928,0.999936854868892,0.403568,0.632707,LTU,010599
94753,130,5014,2004,0.36209414358747827,0.9321415295863879,0.403568,0.632707,LTU,010600
101279,130,5015,2004,1.0,0.0,0.403568,0.632707,LTU,020110
107805,130,5016,2004,0.9999269111990172,0.01209017204148426,0.403568,0.632707,LTU,020120
114331,130,5017,2004,0.9953580048277758,0.09624158262034989,0.403568,0.632707,LTU,020130
120857,130,5018,2004,0.9999920601211717,0.003984933451724595,0.403568,0.632707,LTU,020210
127383,130,5019,2004,0.5217694628168623,0.8530865300025565,0.403568,0.632707,LTU,020220
133909,130,5020,2004,0.36110584906426907,0.9325248338631918,0.403568,0.632707,LTU,020230
140435,130,5021,2004,0.054991475837283595,0.998486823941727,0.403568,0.632707,LTU,020311
146961,130,5022,2004,0.20659413216784678,0.9784267292719543,0.403568,0.632707,LTU,020312
153487,130,5023,2004,0.1284295966556575,0.9917186287969311,0.403568,0.632707,LTU,020319
160013,130,5024,2004,0.014086488781015549,0.999900780494656,0.403568,0.632707,LTU,020321
166539,130,5025,2004,0.010417124823816255,0.999945740283144,0.403568,0.632707,LTU,020322
173065,130,5026,2004,0.04085236273837545,0.9991651937786324,0.403568,0.632707,LTU,020329
179591,130,5027,2004,1.0,0.0,0.403568,0.632707,LTU,020410
186117,130,5028,2004,1.0,0.0,0.403568,0.632707,LTU,020421
192643,130,5029,2004,0.0,1.0,0.403568,0.632707,LTU,020422
199169,130,5030,2004,0.0,0.0,0.403568,0.632707,LTU,020423
205695,130,5031,2004,0.0,0.0,0.403568,0.632707,LTU,020430
212221,130,5032,2004,1.0,0.0,0.403568,0.632707,LTU,020441
218747,130,5033,2004,0.0,1.0,0.403568,0.632707,LTU,020442
225273,130,5034,2004,0.14441924260801273,0.989516590242189,0.403568,0.632707,LTU,020443
231799,130,5035,2004,0.0,0.0,0.403568,0.632707,LTU,020450
238325,130,5036,2004,0.3162789771445925,0.948666226138767,0.403568,0.632707,LTU,020500
244851,130,5037,2004,0.997962239789143,0.06380727196046777,0.403568,0.632707,LTU,020610
251377,130,5038,2004,0.016376415356732774,0.9998658975182941,0.403568,0.632707,LTU,020621
257903,130,5039,2004,0.08659422345458824,0.9962436652066085,0.403568,0.632707,LTU,020622
264429,130,5040,2004,0.24832737441700795,0.9686761662780576,0.403568,0.632707,LTU,020629
270955,130,5041,2004,0.0,1.0,0.403568,0.632707,LTU,020630
277481,130,5042,2004,0.039315915981342264,0.9992268304797204,0.403568,0.632707,LTU,020641
284007,130,5043,2004,0.08642499072452116,0.9962583605562698,0.403568,0.632707,LTU,020649
290533,130,5044,2004,0.0,0.0,0.403568,0.632707,LTU,020680
297059,130,5045,2004,1.0,0.0,0.403568,0.632707,LTU,020690
303585,130,5046,2004,0.570120954520683,0.8215607690344185,0.403568,0.632707,LTU,020710
310111,130,5047,2004,0.3921591283571468,0.9198973953904658,0.403568,0.632707,LTU,020721
316637,130,5048,2004,0.0,1.0,0.403568,0.632707,LTU,020722
323163,130,5049,2004,0.0,1.0,0.403568,0.632707,LTU,020723
329689,130,5050,2004,0.0,1.0,0.403568,0.632707,LTU,020731
336215,130,5051,2004,0.7417471653334611,0.6706796125720351,0.403568,0.632707,LTU,020739
342741,130,5052,2004,0.09098964659009659,0.9958518384847264,0.403568,0.632707,LTU,020741
349267,130,5053,2004,0.5296437805560889,0.8482201752600876,0.403568,0.632707,LTU,020742
355793,130,5054,2004,0.8082296138418942,0.588867464977462,0.403568,0.632707,LTU,020743
362319,130,5055,2004,0.0,0.0,0.403568,0.632707,LTU,020750
368845,130,5056,2004,0.0,0.0,0.403568,0.632707,LTU,020810
375371,130,5057,2004,0.3750109787078156,0.9270203697053297,0.403568,0.632707,LTU,020820
381897,130,5058,2004,0.9937446073411856,0.11167656594072446,0.403568,0.632707,LTU,020890
388423,130,5059,2004,0.04445597515933769,0.9990113444163846,0.403568,0.632707,LTU,020900
394949,130,5060,2004,0.09621226867170742,0.9953608387700629,0.403568,0.632707,LTU,021011
401475,130,5061,2004,0.0038725384188112873,0.9999925016949851,0.403568,0.632707,LTU,021012
408001,130,5062,2004,0.690988356743122,0.7228658871778638,0.403568,0.632707,LTU,021019
414527,130,5063,2004,0.17384724030734822,0.9847726321529854,0.403568,0.632707,LTU,021020
421053,130,5064,2004,0.0,1.0,0.403568,0.632707,LTU,021090
427579,130,5065,2004,0.22285729639769872,0.9748510785972944,0.403568,0.632707,LTU,030110
434105,130,5066,2004,0.0,1.0,0.403568,0.632707,LTU,030191
440631,130,5067,2004,0.9943429915535308,0.1062168308149649,0.403568,0.632707,LTU,030192
447157,130,5068,2004,0.9999988266815095,0.0015318732337013174,0.403568,0.632707,LTU,030193
453683,130,5069,2004,0.5636254932176534,0.8260304494358285,0.403568,0.632707,LTU,030199
460209,130,5070,2004,0.20116887264003758,0.9795565755385119,0.403568,0.632707,LTU,030211
466735,130,5071,2004,0.0002571408985730971,0.9999999669392786,0.403568,0.632707,LTU,030212
473261,130,5072,2004,0.0,1.0,0.403568,0.632707,LTU,030219
479787,130,5073,2004,0.0,1.0,0.403568,0.632707,LTU,030221
486313,130,5074,2004,1.0,0.0,0.403568,0.632707,LTU,030222
492839,130,5075,2004,0.0,0.0,0.403568,0.632707,LTU,030223
499365,130,5076,2004,0.0,1.0,0.403568,0.632707,LTU,030229
505891,130,5077,2004,0.0,0.0,0.403568,0.632707,LTU,030231
512417,130,5078,2004,0.0,0.0,0.403568,0.632707,LTU,030232
518943,130,5079,2004,0.0,1.0,0.403568,0.632707,LTU,030233
525469,130,5080,2004,0.0,1.0,0.403568,0.632707,LTU,030239
531995,130,5081,2004,0.0029430985337689855,0.9999956690761318,0.403568,0.632707,LTU,030240
538521,130,5082,2004,0.14801779984489372,0.9889846970146086,0.403568,0.632707,LTU,030250
545047,130,5083,2004,0.9974171537281741,0.07182632838164546,0.403568,0.632707,LTU,030261
551573,130,5084,2004,0.0,1.0,0.403568,0.632707,LTU,030262
558099,130,5085,2004,0.0,1.0,0.403568,0.632707,LTU,030263
564625,130,5086,2004,0.06920368302806601,0.9976025512474148,0.403568,0.632707,LTU,030264
571151,130,5087,2004,0.0,0.0,0.403568,0.632707,LTU,030265
577677,130,5088,2004,0.0,1.0,0.403568,0.632707,LTU,030266
584203,130,5089,2004,0.10645245402209438,0.9943177937825883,0.403568,0.632707,LTU,030269
590729,130,5090,2004,0.8797706993203437,0.47539827157594255,0.403568,0.632707,LTU,030270
597255,130,5091,2004,0.11469892702081383,0.9934003000504248,0.403568,0.632707,LTU,030310
603781,130,5092,2004,0.0,1.0,0.403568,0.632707,LTU,030321
610307,130,5093,2004,0.047379282532017744,0.998876971196529,0.403568,0.632707,LTU,030322
616833,130,5094,2004,0.02022753563255011,0.9997954024710425,0.403568,0.632707,LTU,030329
623359,130,5095,2004,0.6159752587296415,0.7877654985038067,0.403568,0.632707,LTU,030331
629885,130,5096,2004,0.9996716480540471,0.02562413075414635,0.403568,0.632707,LTU,030332
636411,130,5097,2004,0.0,1.0,0.403568,0.632707,LTU,030333
642937,130,5098,2004,0.9993252117125042,0.03673038572842021,0.403568,0.632707,LTU,030339
649463,130,5099,2004,0.8824045046799889,0.470491540965896,0.403568,0.632707,LTU,030341
655989,130,5100,2004,0.0,1.0,0.403568,0.632707,LTU,030342
662515,130,5101,2004,1.0,0.0,0.403568,0.632707,LTU,030343
669041,130,5102,2004,0.45616970701458004,0.8898928016352489,0.403568,0.632707,LTU,030349
675567,130,5103,2004,0.15797786110377576,0.9874426542341971,0.403568,0.632707,LTU,030350
682093,130,5104,2004,0.0051743904239446225,0.9999866127522611,0.403568,0.632707,LTU,030360
688619,130,5105,2004,0.9994879775329502,0.03199660555579354,0.403568,0.632707,LTU,030371
695145,130,5106,2004,0.2677994823179136,0.9634746687226693,0.403568,0.632707,LTU,030372
701671,130,5107,2004,0.0,1.0,0.403568,0.632707,LTU,030373
708197,130,5108,2004,0.39153941626181943,0.9201613366759949,0.403568,0.632707,LTU,030374
714723,130,5109,2004,0.11644946604356783,0.9931966179252566,0.403568,0.632707,LTU,030375
721249,130,5110,2004,0.12735027730878945,0.9918578057712579,0.403568,0.632707,LTU,030376
727775,130,5111,2004,1.0,0.0,0.403568,0.632707,LTU,030377
734301,130,5112,2004,0.017865568017628477,0.9998403980033052,0.403568,0.632707,LTU,030378
740827,130,5113,2004,0.5152177428725685,0.8570593196677205,0.403568,0.632707,LTU,030379
747353,130,5114,2004,0.1276857264523127,0.9918146778810774,0.403568,0.632707,LTU,030380
753879,130,5115,2004,0.7188162884791758,0.6952000743793273,0.403568,0.632707,LTU,030410
760405,130,5116,2004,0.6410520614742129,0.7674973970507404,0.403568,0.632707,LTU,030420
766931,130,5117,2004,0.09487226917530395,0.9954894537570596,0.403568,0.632707,LTU,030490
773457,130,5118,2004,0.0,1.0,0.403568,0.632707,LTU,030510
779983,130,5119,2004,0.040209599223918965,0.9991912670406262,0.403568,0.632707,LTU,030520
786509,130,5120,2004,0.0479244669698426,0.9988509625893427,0.403568,0.632707,LTU,030530
793035,130,5121,2004,0.9979919686431842,0.06334059143789005,0.403568,0.632707,LTU,030541
