,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3406,131,5000,1995,0.0,0.0,,,LUX,010111
9932,131,5001,1995,0.0,0.0,,,LUX,010119
16458,131,5002,1995,0.0,0.0,,,LUX,010120
22984,131,5003,1995,0.0,0.0,,,LUX,010210
29510,131,5004,1995,0.0,0.0,,,LUX,010290
36036,131,5005,1995,0.0,0.0,,,LUX,010310
42562,131,5006,1995,0.0,0.0,,,LUX,010391
49088,131,5007,1995,0.0,0.0,,,LUX,010392
55614,131,5008,1995,0.0,0.0,,,LUX,010410
62140,131,5009,1995,0.0,0.0,,,LUX,010420
68666,131,5010,1995,0.0,0.0,,,LUX,010511
75192,131,5011,1995,0.0,0.0,,,LUX,010519
81718,131,5012,1995,0.0,0.0,,,LUX,010591
88244,131,5013,1995,0.0,0.0,,,LUX,010599
94770,131,5014,1995,0.0,0.0,,,LUX,010600
101296,131,5015,1995,0.0,0.0,,,LUX,020110
107822,131,5016,1995,0.0,0.0,,,LUX,020120
114348,131,5017,1995,0.0,0.0,,,LUX,020130
120874,131,5018,1995,0.0,0.0,,,LUX,020210
127400,131,5019,1995,0.0,0.0,,,LUX,020220
133926,131,5020,1995,0.0,0.0,,,LUX,020230
140452,131,5021,1995,0.0,0.0,,,LUX,020311
146978,131,5022,1995,0.0,0.0,,,LUX,020312
153504,131,5023,1995,0.0,0.0,,,LUX,020319
160030,131,5024,1995,0.0,0.0,,,LUX,020321
166556,131,5025,1995,0.0,0.0,,,LUX,020322
173082,131,5026,1995,0.0,0.0,,,LUX,020329
179608,131,5027,1995,0.0,0.0,,,LUX,020410
186134,131,5028,1995,0.0,0.0,,,LUX,020421
192660,131,5029,1995,0.0,0.0,,,LUX,020422
199186,131,5030,1995,0.0,0.0,,,LUX,020423
205712,131,5031,1995,0.0,0.0,,,LUX,020430
212238,131,5032,1995,0.0,0.0,,,LUX,020441
218764,131,5033,1995,0.0,0.0,,,LUX,020442
225290,131,5034,1995,0.0,0.0,,,LUX,020443
231816,131,5035,1995,0.0,0.0,,,LUX,020450
238342,131,5036,1995,0.0,0.0,,,LUX,020500
244868,131,5037,1995,0.0,0.0,,,LUX,020610
251394,131,5038,1995,0.0,0.0,,,LUX,020621
257920,131,5039,1995,0.0,0.0,,,LUX,020622
264446,131,5040,1995,0.0,0.0,,,LUX,020629
270972,131,5041,1995,0.0,0.0,,,LUX,020630
277498,131,5042,1995,0.0,0.0,,,LUX,020641
