,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3450,132,5000,2013,0.8563390991808476,0.5164139301123999,0.6219439999999999,1.166749,LVA,010111
9976,132,5001,2013,1.0,0.0,0.6219439999999999,1.166749,LVA,010119
16502,132,5002,2013,1.0,0.0,0.6219439999999999,1.166749,LVA,010120
23028,132,5003,2013,0.5390341681089209,0.8422838984636497,0.6219439999999999,1.166749,LVA,010210
29554,132,5004,2013,0.9936495729812903,0.1125190033465435,0.6219439999999999,1.166749,LVA,010290
36080,132,5005,2013,0.9717211501599594,0.23613133280402576,0.6219439999999999,1.166749,LVA,010310
42606,132,5006,2013,0.9052021321364258,0.4249812936773439,0.6219439999999999,1.166749,LVA,010391
49132,132,5007,2013,0.8440203329263077,0.5363111760973889,0.6219439999999999,1.166749,LVA,010392
55658,132,5008,2013,0.03158867393034861,0.9995009533158645,0.6219439999999999,1.166749,LVA,010410
62184,132,5009,2013,0.6653463073429594,0.7465348560550192,0.6219439999999999,1.166749,LVA,010420
68710,132,5010,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,010511
75236,132,5011,2013,1.0,0.0,0.6219439999999999,1.166749,LVA,010519
81762,132,5012,2013,0.48196044370326413,0.8761929757224447,0.6219439999999999,1.166749,LVA,010591
88288,132,5013,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,010599
94814,132,5014,2013,0.27302676367273565,0.9620064377738811,0.6219439999999999,1.166749,LVA,010600
101340,132,5015,2013,0.9984696503555331,0.05530241693542216,0.6219439999999999,1.166749,LVA,020110
107866,132,5016,2013,0.9923727002221168,0.12327377601852177,0.6219439999999999,1.166749,LVA,020120
114392,132,5017,2013,0.4084553078693481,0.9127783200062083,0.6219439999999999,1.166749,LVA,020130
120918,132,5018,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020210
127444,132,5019,2013,0.4932840252938273,0.8698683063486787,0.6219439999999999,1.166749,LVA,020220
133970,132,5020,2013,0.8415718571632296,0.5401451742178511,0.6219439999999999,1.166749,LVA,020230
140496,132,5021,2013,0.09585189173981562,0.99539560720846,0.6219439999999999,1.166749,LVA,020311
147022,132,5022,2013,0.31195535078023157,0.9500967630297361,0.6219439999999999,1.166749,LVA,020312
153548,132,5023,2013,0.19826458747679218,0.9801485363722466,0.6219439999999999,1.166749,LVA,020319
160074,132,5024,2013,0.009948388357226876,0.9999505135600931,0.6219439999999999,1.166749,LVA,020321
166600,132,5025,2013,0.04656967478194072,0.9989150441307331,0.6219439999999999,1.166749,LVA,020322
173126,132,5026,2013,0.2967799720782682,0.9549458875628621,0.6219439999999999,1.166749,LVA,020329
179652,132,5027,2013,1.0,0.0,0.6219439999999999,1.166749,LVA,020410
186178,132,5028,2013,0.3424047039765586,0.9395525630291929,0.6219439999999999,1.166749,LVA,020421
192704,132,5029,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020422
199230,132,5030,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020423
205756,132,5031,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020430
212282,132,5032,2013,0.8993780151202729,0.43717180366340896,0.6219439999999999,1.166749,LVA,020441
218808,132,5033,2013,0.24478382878661897,0.9695776797990778,0.6219439999999999,1.166749,LVA,020442
225334,132,5034,2013,0.17834791890603874,0.9839674892098239,0.6219439999999999,1.166749,LVA,020443
231860,132,5035,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020450
238386,132,5036,2013,0.045556112511280146,0.9989617813574548,0.6219439999999999,1.166749,LVA,020500
244912,132,5037,2013,0.2706351728037626,0.9626819844795463,0.6219439999999999,1.166749,LVA,020610
251438,132,5038,2013,0.39623544100345964,0.9181489396022815,0.6219439999999999,1.166749,LVA,020621
257964,132,5039,2013,0.013528877491832661,0.9999084805490005,0.6219439999999999,1.166749,LVA,020622
264490,132,5040,2013,0.14897505976052172,0.9888409536266938,0.6219439999999999,1.166749,LVA,020629
271016,132,5041,2013,0.17168438995607252,0.9851520036245226,0.6219439999999999,1.166749,LVA,020630
277542,132,5042,2013,0.40848316055507705,0.9127658558156825,0.6219439999999999,1.166749,LVA,020641
284068,132,5043,2013,0.1737030994675167,0.9847980672378362,0.6219439999999999,1.166749,LVA,020649
290594,132,5044,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020680
297120,132,5045,2013,0.0,0.0,0.6219439999999999,1.166749,LVA,020690
303646,132,5046,2013,0.37844184056225866,0.9256250716741903,0.6219439999999999,1.166749,LVA,020710
310172,132,5047,2013,0.25467249690864974,0.9670273622386876,0.6219439999999999,1.166749,LVA,020721
316698,132,5048,2013,0.0,1.0,0.6219439999999999,1.166749,LVA,020722
323224,132,5049,2013,0.3092940185103373,0.9509664610877332,0.6219439999999999,1.166749,LVA,020723
329750,132,5050,2013,0.06146943417013305,0.998108966327226,0.6219439999999999,1.166749,LVA,020731
336276,132,5051,2013,0.37646482068333925,0.9264309142013025,0.6219439999999999,1.166749,LVA,020739
342802,132,5052,2013,0.3444061300732521,0.9388207590205738,0.6219439999999999,1.166749,LVA,020741
349328,132,5053,2013,0.23308217710682386,0.9724570420924223,0.6219439999999999,1.166749,LVA,020742
355854,132,5054,2013,0.30713050230238537,0.9516674075303223,0.6219439999999999,1.166749,LVA,020743
362380,132,5055,2013,0.0,0.0,0.6219439999999999,1.166749,LVA,020750
368906,132,5056,2013,0.24609127925394395,0.9692466570874295,0.6219439999999999,1.166749,LVA,020810
375432,132,5057,2013,0.0,0.0,0.6219439999999999,1.166749,LVA,020820
381958,132,5058,2013,0.4930864280233769,0.8699803299495611,0.6219439999999999,1.166749,LVA,020890
388484,132,5059,2013,0.03779829590489486,0.9992853890789588,0.6219439999999999,1.166749,LVA,020900
395010,132,5060,2013,0.10647349534238858,0.9943155408569125,0.6219439999999999,1.166749,LVA,021011
401536,132,5061,2013,0.0845156514108325,0.9964221518345538,0.6219439999999999,1.166749,LVA,021012
