,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3475,133,5000,2012,0.0,9.000049917111528e-07,0.659177,0.583923,MAC,010111
10001,133,5001,2012,0.0,4.90594752798626e-07,0.659177,0.583923,MAC,010119
16527,133,5002,2012,0.0,0.0,0.659177,0.583923,MAC,010120
23053,133,5003,2012,0.0,0.0,0.659177,0.583923,MAC,010210
29579,133,5004,2012,0.0,1.5701499276824326e-06,0.659177,0.583923,MAC,010290
36105,133,5005,2012,0.0,0.0,0.659177,0.583923,MAC,010310
42631,133,5006,2012,0.0,0.0,0.659177,0.583923,MAC,010391
49157,133,5007,2012,0.0,9.364028977249052e-06,0.659177,0.583923,MAC,010392
55683,133,5008,2012,0.0,0.0,0.659177,0.583923,MAC,010410
62209,133,5009,2012,0.0,0.0,0.659177,0.583923,MAC,010420
68735,133,5010,2012,0.0,0.0,0.659177,0.583923,MAC,010511
75261,133,5011,2012,0.0,0.0,0.659177,0.583923,MAC,010519
81787,133,5012,2012,0.0,4.558364789900009e-06,0.659177,0.583923,MAC,010591
88313,133,5013,2012,0.0,0.0,0.659177,0.583923,MAC,010599
94839,133,5014,2012,4.609193360879859e-10,9.929043364926105e-07,0.659177,0.583923,MAC,010600
101365,133,5015,2012,0.0,1.076162958106406e-09,0.659177,0.583923,MAC,020110
107891,133,5016,2012,0.0,4.521641018958505e-08,0.659177,0.583923,MAC,020120
114417,133,5017,2012,1.9588314191142278e-09,1.8896370901731553e-06,0.659177,0.583923,MAC,020130
120943,133,5018,2012,0.0,5.903484634983463e-09,0.659177,0.583923,MAC,020210
127469,133,5019,2012,0.0,1.4711608329187614e-06,0.659177,0.583923,MAC,020220
133995,133,5020,2012,2.4042958662209597e-09,8.392787433212492e-06,0.659177,0.583923,MAC,020230
140521,133,5021,2012,0.0,1.602727140333555e-07,0.659177,0.583923,MAC,020311
147047,133,5022,2012,0.0,2.0444113307002017e-08,0.659177,0.583923,MAC,020312
153573,133,5023,2012,0.0,1.1493509879487008e-06,0.659177,0.583923,MAC,020319
160099,133,5024,2012,0.0,1.0556499067349488e-06,0.659177,0.583923,MAC,020321
166625,133,5025,2012,0.0,2.177224489069229e-06,0.659177,0.583923,MAC,020322
173151,133,5026,2012,1.3666970452050074e-09,1.1298745595781888e-05,0.659177,0.583923,MAC,020329
179677,133,5027,2012,0.0,0.0,0.659177,0.583923,MAC,020410
186203,133,5028,2012,0.0,0.0,0.659177,0.583923,MAC,020421
192729,133,5029,2012,0.0,1.0831363084724544e-07,0.659177,0.583923,MAC,020422
199255,133,5030,2012,0.0,1.8686192663393647e-09,0.659177,0.583923,MAC,020423
205781,133,5031,2012,0.0,3.121767447614487e-09,0.659177,0.583923,MAC,020430
212307,133,5032,2012,0.0,1.496751437883748e-09,0.659177,0.583923,MAC,020441
218833,133,5033,2012,0.0,5.403398635301162e-07,0.659177,0.583923,MAC,020442
225359,133,5034,2012,0.0,3.660047786469003e-07,0.659177,0.583923,MAC,020443
231885,133,5035,2012,0.0,4.854578726977048e-07,0.659177,0.583923,MAC,020450
238411,133,5036,2012,0.0,0.0,0.659177,0.583923,MAC,020500
244937,133,5037,2012,0.0,3.311844274369653e-08,0.659177,0.583923,MAC,020610
251463,133,5038,2012,0.0,7.632868897103394e-08,0.659177,0.583923,MAC,020621
257989,133,5039,2012,0.0,0.0,0.659177,0.583923,MAC,020622
264515,133,5040,2012,1.557004305601625e-09,1.663459917953602e-06,0.659177,0.583923,MAC,020629
271041,133,5041,2012,0.0,0.0,0.659177,0.583923,MAC,020630
277567,133,5042,2012,0.0,1.9554547129127796e-11,0.659177,0.583923,MAC,020641
284093,133,5043,2012,0.0,1.5030287789452003e-06,0.659177,0.583923,MAC,020649
290619,133,5044,2012,0.0,0.0,0.659177,0.583923,MAC,020680
297145,133,5045,2012,0.0,0.0,0.659177,0.583923,MAC,020690
303671,133,5046,2012,0.0,4.746299233729028e-06,0.659177,0.583923,MAC,020710
310197,133,5047,2012,4.5819200273835284e-10,6.192659929393023e-07,0.659177,0.583923,MAC,020721
316723,133,5048,2012,0.0,4.3024643746111796e-08,0.659177,0.583923,MAC,020722
323249,133,5049,2012,0.0,4.779333492490169e-07,0.659177,0.583923,MAC,020723
329775,133,5050,2012,0.0,5.9866743185328035e-09,0.659177,0.583923,MAC,020731
336301,133,5051,2012,0.0,1.9327084659725758e-07,0.659177,0.583923,MAC,020739
342827,133,5052,2012,9.291115611083265e-10,7.726910360010395e-06,0.659177,0.583923,MAC,020741
349353,133,5053,2012,0.0,8.51295609111502e-08,0.659177,0.583923,MAC,020742
355879,133,5054,2012,7.927448936266739e-10,4.3766490234910554e-07,0.659177,0.583923,MAC,020743
362405,133,5055,2012,0.0,0.0,0.659177,0.583923,MAC,020750
368931,133,5056,2012,0.0,0.0,0.659177,0.583923,MAC,020810
375457,133,5057,2012,0.0,0.0,0.659177,0.583923,MAC,020820
381983,133,5058,2012,0.0,2.7035586567928594e-07,0.659177,0.583923,MAC,020890
388509,133,5059,2012,0.0,1.9768984281543827e-08,0.659177,0.583923,MAC,020900
395035,133,5060,2012,2.7112117791663326e-08,7.709526036179597e-07,0.659177,0.583923,MAC,021011
401561,133,5061,2012,4.147667950714176e-09,3.612175603632881e-07,0.659177,0.583923,MAC,021012
408087,133,5062,2012,1.987619937804799e-09,2.0251385016229344e-07,0.659177,0.583923,MAC,021019
414613,133,5063,2012,0.0,1.295505318954826e-08,0.659177,0.583923,MAC,021020
421139,133,5064,2012,0.0,8.163559420207791e-08,0.659177,0.583923,MAC,021090
427665,133,5065,2012,4.510100249176524e-09,2.9065679992934244e-08,0.659177,0.583923,MAC,030110
434191,133,5066,2012,0.0,0.0,0.659177,0.583923,MAC,030191
440717,133,5067,2012,0.0,0.0,0.659177,0.583923,MAC,030192
447243,133,5068,2012,0.0,1.8600325001186625e-06,0.659177,0.583923,MAC,030193
453769,133,5069,2012,0.0,4.800250560691294e-06,0.659177,0.583923,MAC,030199
460295,133,5070,2012,1.982771345183229e-09,7.091671947829618e-09,0.659177,0.583923,MAC,030211
466821,133,5071,2012,5.450121143683383e-09,2.430110852636156e-06,0.659177,0.583923,MAC,030212
473347,133,5072,2012,0.0,0.0,0.659177,0.583923,MAC,030219
479873,133,5073,2012,0.0,0.0,0.659177,0.583923,MAC,030221
486399,133,5074,2012,0.0,0.0,0.659177,0.583923,MAC,030222
492925,133,5075,2012,0.0,1.2555676421910988e-08,0.659177,0.583923,MAC,030223
499451,133,5076,2012,0.0,4.954591949717482e-09,0.659177,0.583923,MAC,030229
505977,133,5077,2012,0.0,0.0,0.659177,0.583923,MAC,030231
512503,133,5078,2012,6.145591147839811e-10,3.2215287812732573e-10,0.659177,0.583923,MAC,030232
519029,133,5079,2012,0.0,0.0,0.659177,0.583923,MAC,030233
525555,133,5080,2012,0.0,6.721792717387133e-09,0.659177,0.583923,MAC,030239
532081,133,5081,2012,0.0,0.0,0.659177,0.583923,MAC,030240
538607,133,5082,2012,0.0,2.8413751277629256e-09,0.659177,0.583923,MAC,030250
545133,133,5083,2012,0.0,0.0,0.659177,0.583923,MAC,030261
551659,133,5084,2012,0.0,0.0,0.659177,0.583923,MAC,030262
558185,133,5085,2012,0.0,0.0,0.659177,0.583923,MAC,030263
564711,133,5086,2012,0.0,8.531085476334737e-10,0.659177,0.583923,MAC,030264
571237,133,5087,2012,0.0,0.0,0.659177,0.583923,MAC,030265
577763,133,5088,2012,0.0,1.0662199680407478e-09,0.659177,0.583923,MAC,030266
584289,133,5089,2012,7.830477083835342e-10,1.559134420421692e-06,0.659177,0.583923,MAC,030269
590815,133,5090,2012,0.0,5.800408971302806e-09,0.659177,0.583923,MAC,030270
597341,133,5091,2012,0.0,8.584114756684915e-11,0.659177,0.583923,MAC,030310
603867,133,5092,2012,0.0,2.1121098357272465e-07,0.659177,0.583923,MAC,030321
610393,133,5093,2012,0.0,3.900204139854867e-08,0.659177,0.583923,MAC,030322
616919,133,5094,2012,0.0,0.0,0.659177,0.583923,MAC,030329
623445,133,5095,2012,0.0,1.0823474979272455e-07,0.659177,0.583923,MAC,030331
629971,133,5096,2012,0.0,4.197598972718704e-09,0.659177,0.583923,MAC,030332
636497,133,5097,2012,0.0,3.37796515830628e-09,0.659177,0.583923,MAC,030333
643023,133,5098,2012,0.0,2.8586096438767333e-09,0.659177,0.583923,MAC,030339
649549,133,5099,2012,0.0,0.0,0.659177,0.583923,MAC,030341
656075,133,5100,2012,0.0,3.1969695958110816e-08,0.659177,0.583923,MAC,030342
662601,133,5101,2012,0.0,0.0,0.659177,0.583923,MAC,030343
669127,133,5102,2012,0.0,1.331522143302662e-07,0.659177,0.583923,MAC,030349
675653,133,5103,2012,0.0,0.0,0.659177,0.583923,MAC,030350
682179,133,5104,2012,2.9958241660524843e-09,3.7345008960806516e-07,0.659177,0.583923,MAC,030360
688705,133,5105,2012,1.573368305699423e-09,9.795402949783615e-08,0.659177,0.583923,MAC,030371
695231,133,5106,2012,0.0,3.578482124630387e-09,0.659177,0.583923,MAC,030372
701757,133,5107,2012,0.0,0.0,0.659177,0.583923,MAC,030373
708283,133,5108,2012,0.0,3.565788240646563e-08,0.659177,0.583923,MAC,030374
