,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3485,134,5000,1996,52131.0,361122.0,-0.67314,-0.241242,MAR,010111
10011,134,5001,1996,218775.0,872487.0,-0.67314,-0.241242,MAR,010119
16537,134,5002,1996,39981.0,0.0,-0.67314,-0.241242,MAR,010120
23063,134,5003,1996,0.0,33374224.0,-0.67314,-0.241242,MAR,010210
29589,134,5004,1996,0.0,21380.0,-0.67314,-0.241242,MAR,010290
36115,134,5005,1996,,,-0.67314,-0.241242,MAR,010310
42641,134,5006,1996,,,-0.67314,-0.241242,MAR,010391
49167,134,5007,1996,,,-0.67314,-0.241242,MAR,010392
55693,134,5008,1996,0.0,38876.0,-0.67314,-0.241242,MAR,010410
62219,134,5009,1996,0.0,90020.0,-0.67314,-0.241242,MAR,010420
68745,134,5010,1996,0.0,7700678.0,-0.67314,-0.241242,MAR,010511
75271,134,5011,1996,0.0,92509.0,-0.67314,-0.241242,MAR,010519
81797,134,5012,1996,,,-0.67314,-0.241242,MAR,010591
88323,134,5013,1996,0.0,1341.0,-0.67314,-0.241242,MAR,010599
94849,134,5014,1996,61541.0,663440.0,-0.67314,-0.241242,MAR,010600
101375,134,5015,1996,,,-0.67314,-0.241242,MAR,020110
107901,134,5016,1996,0.0,66840.0,-0.67314,-0.241242,MAR,020120
114427,134,5017,1996,0.0,86368.0,-0.67314,-0.241242,MAR,020130
120953,134,5018,1996,0.0,9656382.0,-0.67314,-0.241242,MAR,020210
127479,134,5019,1996,0.0,11100746.0,-0.67314,-0.241242,MAR,020220
134005,134,5020,1996,154191.0,1877869.0,-0.67314,-0.241242,MAR,020230
140531,134,5021,1996,,,-0.67314,-0.241242,MAR,020311
147057,134,5022,1996,,,-0.67314,-0.241242,MAR,020312
153583,134,5023,1996,49828.0,0.0,-0.67314,-0.241242,MAR,020319
160109,134,5024,1996,9373.0,15962.0,-0.67314,-0.241242,MAR,020321
166635,134,5025,1996,,,-0.67314,-0.241242,MAR,020322
173161,134,5026,1996,70205.0,21761.0,-0.67314,-0.241242,MAR,020329
179687,134,5027,1996,0.0,378310.0,-0.67314,-0.241242,MAR,020410
186213,134,5028,1996,0.0,5122.0,-0.67314,-0.241242,MAR,020421
192739,134,5029,1996,0.0,6459.0,-0.67314,-0.241242,MAR,020422
199265,134,5030,1996,,,-0.67314,-0.241242,MAR,020423
205791,134,5031,1996,75644.0,1333392.0,-0.67314,-0.241242,MAR,020430
212317,134,5032,1996,0.0,63423.0,-0.67314,-0.241242,MAR,020441
218843,134,5033,1996,0.0,32421.0,-0.67314,-0.241242,MAR,020442
225369,134,5034,1996,,,-0.67314,-0.241242,MAR,020443
231895,134,5035,1996,0.0,30068.0,-0.67314,-0.241242,MAR,020450
238421,134,5036,1996,0.0,13117.0,-0.67314,-0.241242,MAR,020500
244947,134,5037,1996,,,-0.67314,-0.241242,MAR,020610
251473,134,5038,1996,,,-0.67314,-0.241242,MAR,020621
257999,134,5039,1996,1639.0,2511.0,-0.67314,-0.241242,MAR,020622
264525,134,5040,1996,0.0,12680.0,-0.67314,-0.241242,MAR,020629
271051,134,5041,1996,,,-0.67314,-0.241242,MAR,020630
277577,134,5042,1996,,,-0.67314,-0.241242,MAR,020641
284103,134,5043,1996,0.0,3252.0,-0.67314,-0.241242,MAR,020649
290629,134,5044,1996,2858.0,0.0,-0.67314,-0.241242,MAR,020680
297155,134,5045,1996,0.0,1164.0,-0.67314,-0.241242,MAR,020690
303681,134,5046,1996,34572.0,61655.0,-0.67314,-0.241242,MAR,020710
310207,134,5047,1996,30108.0,307978.0,-0.67314,-0.241242,MAR,020721
316733,134,5048,1996,0.0,33290.0,-0.67314,-0.241242,MAR,020722
323259,134,5049,1996,,,-0.67314,-0.241242,MAR,020723
329785,134,5050,1996,42365.0,1149.0,-0.67314,-0.241242,MAR,020731
336311,134,5051,1996,0.0,38495.0,-0.67314,-0.241242,MAR,020739
342837,134,5052,1996,61509.0,298442.0,-0.67314,-0.241242,MAR,020741
349363,134,5053,1996,0.0,886742.0,-0.67314,-0.241242,MAR,020742
355889,134,5054,1996,0.0,36085.0,-0.67314,-0.241242,MAR,020743
362415,134,5055,1996,0.0,1592.0,-0.67314,-0.241242,MAR,020750
368941,134,5056,1996,,,-0.67314,-0.241242,MAR,020810
375467,134,5057,1996,,,-0.67314,-0.241242,MAR,020820
381993,134,5058,1996,0.0,2681.0,-0.67314,-0.241242,MAR,020890
388519,134,5059,1996,,,-0.67314,-0.241242,MAR,020900
395045,134,5060,1996,0.0,7660.0,-0.67314,-0.241242,MAR,021011
401571,134,5061,1996,3851.0,9106.0,-0.67314,-0.241242,MAR,021012
408097,134,5062,1996,0.0,12861.0,-0.67314,-0.241242,MAR,021019
414623,134,5063,1996,0.0,1579.0,-0.67314,-0.241242,MAR,021020
421149,134,5064,1996,,,-0.67314,-0.241242,MAR,021090
427675,134,5065,1996,3532.0,42880.0,-0.67314,-0.241242,MAR,030110
434201,134,5066,1996,,,-0.67314,-0.241242,MAR,030191
440727,134,5067,1996,534978.0,0.0,-0.67314,-0.241242,MAR,030192
447253,134,5068,1996,,,-0.67314,-0.241242,MAR,030193
453779,134,5069,1996,12726963.0,307703.0,-0.67314,-0.241242,MAR,030199
460305,134,5070,1996,3172.0,0.0,-0.67314,-0.241242,MAR,030211
466831,134,5071,1996,0.0,2414.0,-0.67314,-0.241242,MAR,030212
473357,134,5072,1996,13518530.0,0.0,-0.67314,-0.241242,MAR,030219
479883,134,5073,1996,,,-0.67314,-0.241242,MAR,030221
486409,134,5074,1996,1108.0,0.0,-0.67314,-0.241242,MAR,030222
492935,134,5075,1996,669306.0,0.0,-0.67314,-0.241242,MAR,030223
499461,134,5076,1996,5551600.0,2781.0,-0.67314,-0.241242,MAR,030229
505987,134,5077,1996,13514.0,0.0,-0.67314,-0.241242,MAR,030231
512513,134,5078,1996,278383.0,0.0,-0.67314,-0.241242,MAR,030232
519039,134,5079,1996,229971.0,0.0,-0.67314,-0.241242,MAR,030233
525565,134,5080,1996,1421507.0,0.0,-0.67314,-0.241242,MAR,030239
532091,134,5081,1996,,,-0.67314,-0.241242,MAR,030240
538617,134,5082,1996,,,-0.67314,-0.241242,MAR,030250
545143,134,5083,1996,812759.0,0.0,-0.67314,-0.241242,MAR,030261
551669,134,5084,1996,8762.0,0.0,-0.67314,-0.241242,MAR,030262
558195,134,5085,1996,2322.0,0.0,-0.67314,-0.241242,MAR,030263
564721,134,5086,1996,347780.0,0.0,-0.67314,-0.241242,MAR,030264
571247,134,5087,1996,135447.0,0.0,-0.67314,-0.241242,MAR,030265
577773,134,5088,1996,55577.0,0.0,-0.67314,-0.241242,MAR,030266
584299,134,5089,1996,51168893.0,12583.0,-0.67314,-0.241242,MAR,030269
590825,134,5090,1996,274517.0,60907.0,-0.67314,-0.241242,MAR,030270
597351,134,5091,1996,,,-0.67314,-0.241242,MAR,030310
603877,134,5092,1996,,,-0.67314,-0.241242,MAR,030321
610403,134,5093,1996,0.0,18003.0,-0.67314,-0.241242,MAR,030322
616929,134,5094,1996,233933.0,0.0,-0.67314,-0.241242,MAR,030329
623455,134,5095,1996,,,-0.67314,-0.241242,MAR,030331
629981,134,5096,1996,3398.0,0.0,-0.67314,-0.241242,MAR,030332
636507,134,5097,1996,3625541.0,83863.0,-0.67314,-0.241242,MAR,030333
643033,134,5098,1996,771659.0,0.0,-0.67314,-0.241242,MAR,030339
649559,134,5099,1996,466160.0,0.0,-0.67314,-0.241242,MAR,030341
656085,134,5100,1996,5180990.0,0.0,-0.67314,-0.241242,MAR,030342
662611,134,5101,1996,2048834.0,53893.0,-0.67314,-0.241242,MAR,030343
669137,134,5102,1996,1168228.0,17376.0,-0.67314,-0.241242,MAR,030349
675663,134,5103,1996,,,-0.67314,-0.241242,MAR,030350
682189,134,5104,1996,7673.0,0.0,-0.67314,-0.241242,MAR,030360
688715,134,5105,1996,2288340.0,0.0,-0.67314,-0.241242,MAR,030371
695241,134,5106,1996,,,-0.67314,-0.241242,MAR,030372
701767,134,5107,1996,,,-0.67314,-0.241242,MAR,030373
708293,134,5108,1996,2223936.0,124926.0,-0.67314,-0.241242,MAR,030374
714819,134,5109,1996,129878.0,0.0,-0.67314,-0.241242,MAR,030375
721345,134,5110,1996,105156.0,0.0,-0.67314,-0.241242,MAR,030376
727871,134,5111,1996,74653.0,0.0,-0.67314,-0.241242,MAR,030377
734397,134,5112,1996,102624.0,44652.0,-0.67314,-0.241242,MAR,030378
740923,134,5113,1996,13588624.0,1807151.0,-0.67314,-0.241242,MAR,030379
747449,134,5114,1996,1254.0,0.0,-0.67314,-0.241242,MAR,030380
753975,134,5115,1996,119934.0,0.0,-0.67314,-0.241242,MAR,030410
760501,134,5116,1996,7489436.0,8028.0,-0.67314,-0.241242,MAR,030420
767027,134,5117,1996,519559.0,1023.0,-0.67314,-0.241242,MAR,030490
773553,134,5118,1996,0.0,4331.0,-0.67314,-0.241242,MAR,030510
780079,134,5119,1996,0.0,10308.0,-0.67314,-0.241242,MAR,030520
786605,134,5120,1996,2069.0,2106.0,-0.67314,-0.241242,MAR,030530
793131,134,5121,1996,1035.0,115874.0,-0.67314,-0.241242,MAR,030541
799657,134,5122,1996,0.0,4596.0,-0.67314,-0.241242,MAR,030542
806183,134,5123,1996,316837.0,64978.0,-0.67314,-0.241242,MAR,030549
812709,134,5124,1996,,,-0.67314,-0.241242,MAR,030551
