,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3533,135,5000,2018,0.0,1.0,-0.358412,-0.271334,MDA,010111
10059,135,5001,2018,0.0,0.0,-0.358412,-0.271334,MDA,010119
16585,135,5002,2018,0.0,0.0,-0.358412,-0.271334,MDA,010120
23111,135,5003,2018,0.0,1.0,-0.358412,-0.271334,MDA,010210
29637,135,5004,2018,0.9999893318948953,0.0046191012547067865,-0.358412,-0.271334,MDA,010290
36163,135,5005,2018,0.0,1.0,-0.358412,-0.271334,MDA,010310
42689,135,5006,2018,0.0,1.0,-0.358412,-0.271334,MDA,010391
49215,135,5007,2018,0.0,1.0,-0.358412,-0.271334,MDA,010392
55741,135,5008,2018,0.9976447389927491,0.06859281857519363,-0.358412,-0.271334,MDA,010410
62267,135,5009,2018,0.3270314623407068,0.9450134510361738,-0.358412,-0.271334,MDA,010420
68793,135,5010,2018,0.0,1.0,-0.358412,-0.271334,MDA,010511
75319,135,5011,2018,0.0,1.0,-0.358412,-0.271334,MDA,010519
81845,135,5012,2018,0.0,1.0,-0.358412,-0.271334,MDA,010591
88371,135,5013,2018,0.0,0.0,-0.358412,-0.271334,MDA,010599
94897,135,5014,2018,0.1528623095942683,0.988247496483298,-0.358412,-0.271334,MDA,010600
101423,135,5015,2018,0.999483084028147,0.03214910172281494,-0.358412,-0.271334,MDA,020110
107949,135,5016,2018,0.0,1.0,-0.358412,-0.271334,MDA,020120
114475,135,5017,2018,0.0,1.0,-0.358412,-0.271334,MDA,020130
121001,135,5018,2018,0.9988598194243193,0.04773951339945052,-0.358412,-0.271334,MDA,020210
127527,135,5019,2018,0.0,0.0,-0.358412,-0.271334,MDA,020220
134053,135,5020,2018,0.3130368765834224,0.9497409720017849,-0.358412,-0.271334,MDA,020230
140579,135,5021,2018,0.0,1.0,-0.358412,-0.271334,MDA,020311
147105,135,5022,2018,0.0,1.0,-0.358412,-0.271334,MDA,020312
153631,135,5023,2018,0.0,1.0,-0.358412,-0.271334,MDA,020319
160157,135,5024,2018,0.0,1.0,-0.358412,-0.271334,MDA,020321
166683,135,5025,2018,0.0,1.0,-0.358412,-0.271334,MDA,020322
173209,135,5026,2018,0.0,1.0,-0.358412,-0.271334,MDA,020329
179735,135,5027,2018,1.0,0.0,-0.358412,-0.271334,MDA,020410
186261,135,5028,2018,1.0,0.0,-0.358412,-0.271334,MDA,020421
192787,135,5029,2018,1.0,0.0,-0.358412,-0.271334,MDA,020422
199313,135,5030,2018,0.0,0.0,-0.358412,-0.271334,MDA,020423
205839,135,5031,2018,0.9998668814354007,0.016316231447439773,-0.358412,-0.271334,MDA,020430
212365,135,5032,2018,1.0,0.0,-0.358412,-0.271334,MDA,020441
218891,135,5033,2018,0.9950210663712226,0.09966482567824515,-0.358412,-0.271334,MDA,020442
225417,135,5034,2018,0.0,1.0,-0.358412,-0.271334,MDA,020443
231943,135,5035,2018,1.0,0.0,-0.358412,-0.271334,MDA,020450
238469,135,5036,2018,1.0,0.0,-0.358412,-0.271334,MDA,020500
244995,135,5037,2018,0.0,0.0,-0.358412,-0.271334,MDA,020610
251521,135,5038,2018,0.011232193060271874,0.9999369169297916,-0.358412,-0.271334,MDA,020621
258047,135,5039,2018,0.049396625244060736,0.998779241581691,-0.358412,-0.271334,MDA,020622
264573,135,5040,2018,1.0,0.0,-0.358412,-0.271334,MDA,020629
271099,135,5041,2018,0.0,0.0,-0.358412,-0.271334,MDA,020630
277625,135,5042,2018,0.0,1.0,-0.358412,-0.271334,MDA,020641
284151,135,5043,2018,0.0,1.0,-0.358412,-0.271334,MDA,020649
290677,135,5044,2018,0.0,0.0,-0.358412,-0.271334,MDA,020680
297203,135,5045,2018,0.0,0.0,-0.358412,-0.271334,MDA,020690
303729,135,5046,2018,0.0,1.0,-0.358412,-0.271334,MDA,020710
310255,135,5047,2018,0.0,1.0,-0.358412,-0.271334,MDA,020721
316781,135,5048,2018,0.0,1.0,-0.358412,-0.271334,MDA,020722
323307,135,5049,2018,0.0,1.0,-0.358412,-0.271334,MDA,020723
329833,135,5050,2018,0.0,0.0,-0.358412,-0.271334,MDA,020731
336359,135,5051,2018,0.0,1.0,-0.358412,-0.271334,MDA,020739
342885,135,5052,2018,0.0005883736178036973,0.999999826908228,-0.358412,-0.271334,MDA,020741
349411,135,5053,2018,0.0031576104380165197,0.9999950147357345,-0.358412,-0.271334,MDA,020742
355937,135,5054,2018,0.0,1.0,-0.358412,-0.271334,MDA,020743
362463,135,5055,2018,0.0,0.0,-0.358412,-0.271334,MDA,020750
368989,135,5056,2018,0.0,1.0,-0.358412,-0.271334,MDA,020810
375515,135,5057,2018,0.0,0.0,-0.358412,-0.271334,MDA,020820
382041,135,5058,2018,0.0,0.0,-0.358412,-0.271334,MDA,020890
388567,135,5059,2018,0.0,1.0,-0.358412,-0.271334,MDA,020900
395093,135,5060,2018,0.0,1.0,-0.358412,-0.271334,MDA,021011
