,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3561,136,5000,2020,,,-1.206503,-0.709465,MDG,010111
10087,136,5001,2020,0.0,6393.0,-1.206503,-0.709465,MDG,010119
16613,136,5002,2020,,,-1.206503,-0.709465,MDG,010120
23139,136,5003,2020,,,-1.206503,-0.709465,MDG,010210
29665,136,5004,2020,,,-1.206503,-0.709465,MDG,010290
36191,136,5005,2020,,,-1.206503,-0.709465,MDG,010310
42717,136,5006,2020,,,-1.206503,-0.709465,MDG,010391
49243,136,5007,2020,,,-1.206503,-0.709465,MDG,010392
55769,136,5008,2020,,,-1.206503,-0.709465,MDG,010410
62295,136,5009,2020,,,-1.206503,-0.709465,MDG,010420
68821,136,5010,2020,0.0,666296.0,-1.206503,-0.709465,MDG,010511
75347,136,5011,2020,,,-1.206503,-0.709465,MDG,010519
81873,136,5012,2020,,,-1.206503,-0.709465,MDG,010591
88399,136,5013,2020,0.0,50900.0,-1.206503,-0.709465,MDG,010599
94925,136,5014,2020,134422.0,1886.0,-1.206503,-0.709465,MDG,010600
101451,136,5015,2020,,,-1.206503,-0.709465,MDG,020110
107977,136,5016,2020,,,-1.206503,-0.709465,MDG,020120
114503,136,5017,2020,0.0,2390.0,-1.206503,-0.709465,MDG,020130
121029,136,5018,2020,,,-1.206503,-0.709465,MDG,020210
127555,136,5019,2020,0.0,3231.0,-1.206503,-0.709465,MDG,020220
134081,136,5020,2020,0.0,2077.0,-1.206503,-0.709465,MDG,020230
140607,136,5021,2020,,,-1.206503,-0.709465,MDG,020311
147133,136,5022,2020,,,-1.206503,-0.709465,MDG,020312
153659,136,5023,2020,,,-1.206503,-0.709465,MDG,020319
160185,136,5024,2020,,,-1.206503,-0.709465,MDG,020321
166711,136,5025,2020,0.0,13713.0,-1.206503,-0.709465,MDG,020322
173237,136,5026,2020,0.0,10943.0,-1.206503,-0.709465,MDG,020329
179763,136,5027,2020,,,-1.206503,-0.709465,MDG,020410
186289,136,5028,2020,,,-1.206503,-0.709465,MDG,020421
192815,136,5029,2020,,,-1.206503,-0.709465,MDG,020422
199341,136,5030,2020,,,-1.206503,-0.709465,MDG,020423
205867,136,5031,2020,,,-1.206503,-0.709465,MDG,020430
212393,136,5032,2020,46020.0,0.0,-1.206503,-0.709465,MDG,020441
218919,136,5033,2020,,,-1.206503,-0.709465,MDG,020442
225445,136,5034,2020,,,-1.206503,-0.709465,MDG,020443
231971,136,5035,2020,,,-1.206503,-0.709465,MDG,020450
238497,136,5036,2020,,,-1.206503,-0.709465,MDG,020500
245023,136,5037,2020,,,-1.206503,-0.709465,MDG,020610
251549,136,5038,2020,,,-1.206503,-0.709465,MDG,020621
258075,136,5039,2020,,,-1.206503,-0.709465,MDG,020622
264601,136,5040,2020,,,-1.206503,-0.709465,MDG,020629
271127,136,5041,2020,,,-1.206503,-0.709465,MDG,020630
277653,136,5042,2020,,,-1.206503,-0.709465,MDG,020641
284179,136,5043,2020,,,-1.206503,-0.709465,MDG,020649
290705,136,5044,2020,,,-1.206503,-0.709465,MDG,020680
297231,136,5045,2020,,,-1.206503,-0.709465,MDG,020690
303757,136,5046,2020,,,-1.206503,-0.709465,MDG,020710
310283,136,5047,2020,0.0,2366.0,-1.206503,-0.709465,MDG,020721
316809,136,5048,2020,,,-1.206503,-0.709465,MDG,020722
323335,136,5049,2020,,,-1.206503,-0.709465,MDG,020723
329861,136,5050,2020,,,-1.206503,-0.709465,MDG,020731
