,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3622,139,5000,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010111
10148,139,5001,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010119
16674,139,5002,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010120
23200,139,5003,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010210
29726,139,5004,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010290
36252,139,5005,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010310
42778,139,5006,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010391
49304,139,5007,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010392
55830,139,5008,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010410
62356,139,5009,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010420
68882,139,5010,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,010511
75408,139,5011,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010519
81934,139,5012,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010591
88460,139,5013,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010599
94986,139,5014,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,010600
101512,139,5015,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020110
108038,139,5016,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020120
114564,139,5017,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020130
121090,139,5018,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020210
127616,139,5019,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020220
134142,139,5020,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020230
140668,139,5021,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020311
147194,139,5022,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020312
153720,139,5023,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020319
160246,139,5024,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020321
166772,139,5025,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020322
173298,139,5026,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020329
179824,139,5027,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020410
186350,139,5028,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020421
192876,139,5029,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020422
199402,139,5030,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020423
205928,139,5031,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020430
212454,139,5032,2003,0.0,0.0,-1.7295669999999999,-0.926291,MHL,020441
218980,139,5033,2003,0.0,1.0,-1.7295669999999999,-0.926291,MHL,020442
