,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3653,140,5000,2008,,,-0.090639,-0.137401,MKD,010111
10179,140,5001,2008,19700.0,1416.0,-0.090639,-0.137401,MKD,010119
16705,140,5002,2008,,,-0.090639,-0.137401,MKD,010120
23231,140,5003,2008,0.0,317055.0,-0.090639,-0.137401,MKD,010210
29757,140,5004,2008,2932228.0,267033.0,-0.090639,-0.137401,MKD,010290
36283,140,5005,2008,45425.0,81567.0,-0.090639,-0.137401,MKD,010310
42809,140,5006,2008,,,-0.090639,-0.137401,MKD,010391
49335,140,5007,2008,582937.0,0.0,-0.090639,-0.137401,MKD,010392
55861,140,5008,2008,0.0,43106.0,-0.090639,-0.137401,MKD,010410
62387,140,5009,2008,0.0,34746.0,-0.090639,-0.137401,MKD,010420
68913,140,5010,2008,0.0,982867.0,-0.090639,-0.137401,MKD,010511
75439,140,5011,2008,,,-0.090639,-0.137401,MKD,010519
81965,140,5012,2008,0.0,254157.0,-0.090639,-0.137401,MKD,010591
88491,140,5013,2008,,,-0.090639,-0.137401,MKD,010599
95017,140,5014,2008,125625.0,96399.0,-0.090639,-0.137401,MKD,010600
101543,140,5015,2008,17489.0,1962590.0,-0.090639,-0.137401,MKD,020110
108069,140,5016,2008,0.0,20930722.0,-0.090639,-0.137401,MKD,020120
114595,140,5017,2008,0.0,592173.0,-0.090639,-0.137401,MKD,020130
121121,140,5018,2008,0.0,80336.0,-0.090639,-0.137401,MKD,020210
127647,140,5019,2008,0.0,11398.0,-0.090639,-0.137401,MKD,020220
134173,140,5020,2008,0.0,6439105.0,-0.090639,-0.137401,MKD,020230
140699,140,5021,2008,2342408.0,2971781.0,-0.090639,-0.137401,MKD,020311
147225,140,5022,2008,0.0,5778.0,-0.090639,-0.137401,MKD,020312
153751,140,5023,2008,0.0,372900.0,-0.090639,-0.137401,MKD,020319
160277,140,5024,2008,0.0,22280.0,-0.090639,-0.137401,MKD,020321
166803,140,5025,2008,0.0,384072.0,-0.090639,-0.137401,MKD,020322
173329,140,5026,2008,0.0,12555648.0,-0.090639,-0.137401,MKD,020329
179855,140,5027,2008,19347783.0,99300.0,-0.090639,-0.137401,MKD,020410
186381,140,5028,2008,783720.0,12541.0,-0.090639,-0.137401,MKD,020421
192907,140,5029,2008,,,-0.090639,-0.137401,MKD,020422
199433,140,5030,2008,,,-0.090639,-0.137401,MKD,020423
205959,140,5031,2008,,,-0.090639,-0.137401,MKD,020430
212485,140,5032,2008,,,-0.090639,-0.137401,MKD,020441
219011,140,5033,2008,,,-0.090639,-0.137401,MKD,020442
225537,140,5034,2008,,,-0.090639,-0.137401,MKD,020443
232063,140,5035,2008,,,-0.090639,-0.137401,MKD,020450
238589,140,5036,2008,153103.0,0.0,-0.090639,-0.137401,MKD,020500
245115,140,5037,2008,0.0,428503.0,-0.090639,-0.137401,MKD,020610
251641,140,5038,2008,0.0,6367.0,-0.090639,-0.137401,MKD,020621
258167,140,5039,2008,0.0,173017.0,-0.090639,-0.137401,MKD,020622
264693,140,5040,2008,0.0,1521577.0,-0.090639,-0.137401,MKD,020629
271219,140,5041,2008,0.0,45335.0,-0.090639,-0.137401,MKD,020630
277745,140,5042,2008,0.0,111062.0,-0.090639,-0.137401,MKD,020641
284271,140,5043,2008,28957.0,2346868.0,-0.090639,-0.137401,MKD,020649
290797,140,5044,2008,,,-0.090639,-0.137401,MKD,020680
297323,140,5045,2008,,,-0.090639,-0.137401,MKD,020690
