,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3672,141,5000,2001,1.1754806736918457e-09,0.0,-0.40341,-0.626402,MLI,010111
10198,141,5001,2001,1.5303370461829906e-10,3.988464748337694e-09,-0.40341,-0.626402,MLI,010119
16724,141,5002,2001,9.227356618109621e-08,0.0,-0.40341,-0.626402,MLI,010120
23250,141,5003,2001,0.0,0.0,-0.40341,-0.626402,MLI,010210
29776,141,5004,2001,4.06457610377314e-06,5.285362085901712e-09,-0.40341,-0.626402,MLI,010290
36302,141,5005,2001,0.0,0.0,-0.40341,-0.626402,MLI,010310
42828,141,5006,2001,0.0,0.0,-0.40341,-0.626402,MLI,010391
49354,141,5007,2001,0.0,0.0,-0.40341,-0.626402,MLI,010392
55880,141,5008,2001,7.608132747691701e-07,0.0,-0.40341,-0.626402,MLI,010410
62406,141,5009,2001,2.6119126022765815e-07,0.0,-0.40341,-0.626402,MLI,010420
68932,141,5010,2001,5.6304887892057825e-08,8.816780724221316e-08,-0.40341,-0.626402,MLI,010511
75458,141,5011,2001,9.354450352202522e-09,1.6734052280502755e-09,-0.40341,-0.626402,MLI,010519
81984,141,5012,2001,8.235334567736425e-09,0.0,-0.40341,-0.626402,MLI,010591
88510,141,5013,2001,1.0769754538438767e-07,1.1199121143953021e-09,-0.40341,-0.626402,MLI,010599
95036,141,5014,2001,4.7624997988331213e-07,0.0,-0.40341,-0.626402,MLI,010600
101562,141,5015,2001,0.0,0.0,-0.40341,-0.626402,MLI,020110
108088,141,5016,2001,1.5930657132245507e-09,0.0,-0.40341,-0.626402,MLI,020120
114614,141,5017,2001,0.0,0.0,-0.40341,-0.626402,MLI,020130
121140,141,5018,2001,0.0,9.719604222183081e-09,-0.40341,-0.626402,MLI,020210
127666,141,5019,2001,0.0,0.0,-0.40341,-0.626402,MLI,020220
134192,141,5020,2001,0.0,0.0,-0.40341,-0.626402,MLI,020230
140718,141,5021,2001,0.0,6.141453530554883e-10,-0.40341,-0.626402,MLI,020311
147244,141,5022,2001,8.903228201357676e-10,0.0,-0.40341,-0.626402,MLI,020312
153770,141,5023,2001,0.0,0.0,-0.40341,-0.626402,MLI,020319
