,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3698,142,5000,2001,3.236435574897889e-10,3.431657304660834e-08,1.065032,-0.065239,MLT,010111
10224,142,5001,2001,1.073054154561182e-09,1.6786584411349648e-07,1.065032,-0.065239,MLT,010119
16750,142,5002,2001,0.0,0.0,1.065032,-0.065239,MLT,010120
23276,142,5003,2001,0.0,0.0,1.065032,-0.065239,MLT,010210
29802,142,5004,2001,0.0,0.0,1.065032,-0.065239,MLT,010290
36328,142,5005,2001,0.0,0.0,1.065032,-0.065239,MLT,010310
42854,142,5006,2001,0.0,0.0,1.065032,-0.065239,MLT,010391
49380,142,5007,2001,0.0,0.0,1.065032,-0.065239,MLT,010392
55906,142,5008,2001,0.0,1.679702455091859e-09,1.065032,-0.065239,MLT,010410
62432,142,5009,2001,0.0,0.0,1.065032,-0.065239,MLT,010420
68958,142,5010,2001,0.0,2.2150993268273342e-08,1.065032,-0.065239,MLT,010511
75484,142,5011,2001,0.0,1.3450545527820228e-08,1.065032,-0.065239,MLT,010519
82010,142,5012,2001,0.0,0.0,1.065032,-0.065239,MLT,010591
88536,142,5013,2001,0.0,0.0,1.065032,-0.065239,MLT,010599
95062,142,5014,2001,4.111303506052402e-09,7.472157034342138e-08,1.065032,-0.065239,MLT,010600
101588,142,5015,2001,0.0,6.446371892568401e-10,1.065032,-0.065239,MLT,020110
108114,142,5016,2001,0.0,2.647155388480402e-09,1.065032,-0.065239,MLT,020120
114640,142,5017,2001,0.0,1.5888898124921808e-07,1.065032,-0.065239,MLT,020130
121166,142,5018,2001,0.0,4.0236629331701235e-08,1.065032,-0.065239,MLT,020210
127692,142,5019,2001,0.0,3.751158718770651e-08,1.065032,-0.065239,MLT,020220
134218,142,5020,2001,3.050825388603417e-08,2.7004415294072752e-06,1.065032,-0.065239,MLT,020230
140744,142,5021,2001,0.0,2.8482357909082297e-08,1.065032,-0.065239,MLT,020311
147270,142,5022,2001,0.0,2.1163322921751294e-08,1.065032,-0.065239,MLT,020312
153796,142,5023,2001,0.0,7.715495144549014e-08,1.065032,-0.065239,MLT,020319
160322,142,5024,2001,0.0,3.565523094244812e-08,1.065032,-0.065239,MLT,020321
166848,142,5025,2001,0.0,8.408654125326266e-08,1.065032,-0.065239,MLT,020322
173374,142,5026,2001,1.5472162092468307e-08,8.709038483869845e-07,1.065032,-0.065239,MLT,020329
