,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3738,143,5000,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,010111
10264,143,5001,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010119
16790,143,5002,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010120
23316,143,5003,2015,0.9950542292163614,0.09933318135765606,-1.4596120000000001,-0.903904,MMR,010210
29842,143,5004,2015,0.9999990386497992,0.0013866143938641412,-1.4596120000000001,-0.903904,MMR,010290
36368,143,5005,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010310
42894,143,5006,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010391
49420,143,5007,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010392
55946,143,5008,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010410
62472,143,5009,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,010420
68998,143,5010,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010511
75524,143,5011,2015,0.006247664929931156,0.999980483151008,-1.4596120000000001,-0.903904,MMR,010519
82050,143,5012,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010591
88576,143,5013,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,010599
95102,143,5014,2015,0.29124665158818963,0.956647995836853,-1.4596120000000001,-0.903904,MMR,010600
101628,143,5015,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020110
108154,143,5016,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020120
114680,143,5017,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020130
121206,143,5018,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020210
127732,143,5019,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020220
134258,143,5020,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020230
140784,143,5021,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020311
147310,143,5022,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020312
153836,143,5023,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020319
160362,143,5024,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020321
166888,143,5025,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020322
173414,143,5026,2015,0.00791180066384655,0.9999687012153209,-1.4596120000000001,-0.903904,MMR,020329
179940,143,5027,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020410
186466,143,5028,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020421
192992,143,5029,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020422
199518,143,5030,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020423
206044,143,5031,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020430
212570,143,5032,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020441
219096,143,5033,2015,0.10956561811619397,0.9939795648436723,-1.4596120000000001,-0.903904,MMR,020442
225622,143,5034,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020443
232148,143,5035,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,020450
238674,143,5036,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020500
245200,143,5037,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020610
251726,143,5038,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020621
258252,143,5039,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020622
264778,143,5040,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020629
271304,143,5041,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020630
277830,143,5042,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020641
284356,143,5043,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020649
290882,143,5044,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020680
297408,143,5045,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020690
303934,143,5046,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020710
310460,143,5047,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020721
316986,143,5048,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020722
323512,143,5049,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020723
330038,143,5050,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020731
336564,143,5051,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020739
343090,143,5052,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020741
349616,143,5053,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020742
356142,143,5054,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020743
362668,143,5055,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020750
369194,143,5056,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020810
375720,143,5057,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020820
382246,143,5058,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,020890
388772,143,5059,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,020900
395298,143,5060,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,021011
401824,143,5061,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,021012
408350,143,5062,2015,0.029317356651106304,0.9995701539156678,-1.4596120000000001,-0.903904,MMR,021019
414876,143,5063,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,021020
421402,143,5064,2015,0.2818239656065135,0.9594661288496945,-1.4596120000000001,-0.903904,MMR,021090
427928,143,5065,2015,0.850831680889793,0.5254383415723003,-1.4596120000000001,-0.903904,MMR,030110
434454,143,5066,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030191
440980,143,5067,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030192
447506,143,5068,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030193
454032,143,5069,2015,0.9930184327645509,0.11795928191471351,-1.4596120000000001,-0.903904,MMR,030199
460558,143,5070,2015,0.027350256558017552,0.9996259117621004,-1.4596120000000001,-0.903904,MMR,030211
467084,143,5071,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030212
473610,143,5072,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030219
480136,143,5073,2015,0.0888701124282185,0.9960432235184354,-1.4596120000000001,-0.903904,MMR,030221
486662,143,5074,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030222
493188,143,5075,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030223
499714,143,5076,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030229
506240,143,5077,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030231
512766,143,5078,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030232
519292,143,5079,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030233
525818,143,5080,2015,0.9999990729214485,0.001361674059199376,-1.4596120000000001,-0.903904,MMR,030239
532344,143,5081,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030240
538870,143,5082,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030250
545396,143,5083,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030261
551922,143,5084,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030262
558448,143,5085,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030263
564974,143,5086,2015,0.9948746363571181,0.10111606169789204,-1.4596120000000001,-0.903904,MMR,030264
571500,143,5087,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030265
578026,143,5088,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030266
584552,143,5089,2015,0.998945418552432,0.04591351383967628,-1.4596120000000001,-0.903904,MMR,030269
591078,143,5090,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030270
597604,143,5091,2015,0.8533007429427071,0.5214190657172252,-1.4596120000000001,-0.903904,MMR,030310
604130,143,5092,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030321
610656,143,5093,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030322
617182,143,5094,2015,0.9380149969684589,0.3465946702738837,-1.4596120000000001,-0.903904,MMR,030329
623708,143,5095,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030331
630234,143,5096,2015,0.9995636683894551,0.029537651156033875,-1.4596120000000001,-0.903904,MMR,030332
636760,143,5097,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030333
643286,143,5098,2015,0.9999383476172771,0.01110409674082381,-1.4596120000000001,-0.903904,MMR,030339
649812,143,5099,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030341
656338,143,5100,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030342
662864,143,5101,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030343
669390,143,5102,2015,0.9999677589057145,0.008030015509508043,-1.4596120000000001,-0.903904,MMR,030349
675916,143,5103,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030350
682442,143,5104,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030360
688968,143,5105,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030371
695494,143,5106,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030372
702020,143,5107,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030373
708546,143,5108,2015,0.9626777843125297,0.27065011285997714,-1.4596120000000001,-0.903904,MMR,030374
715072,143,5109,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030375
721598,143,5110,2015,0.9998316942994185,0.018346200542725163,-1.4596120000000001,-0.903904,MMR,030376
728124,143,5111,2015,0.3849275944584464,0.9229467736681426,-1.4596120000000001,-0.903904,MMR,030377
734650,143,5112,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030378
741176,143,5113,2015,0.999792376478096,0.020376553591836342,-1.4596120000000001,-0.903904,MMR,030379
747702,143,5114,2015,0.9927331487379224,0.12033659209438337,-1.4596120000000001,-0.903904,MMR,030380
754228,143,5115,2015,0.9603117465986442,0.27892893242663325,-1.4596120000000001,-0.903904,MMR,030410
760754,143,5116,2015,0.9519020364165615,0.30640253436615555,-1.4596120000000001,-0.903904,MMR,030420
767280,143,5117,2015,0.9998380459365859,0.01799671908180935,-1.4596120000000001,-0.903904,MMR,030490
773806,143,5118,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030510
780332,143,5119,2015,0.9997215069524544,0.023598909650945857,-1.4596120000000001,-0.903904,MMR,030520
786858,143,5120,2015,0.9999129476115435,0.01319458975469741,-1.4596120000000001,-0.903904,MMR,030530
793384,143,5121,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,030541
799910,143,5122,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030542
806436,143,5123,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030549
812962,143,5124,2015,0.9999653982014932,0.008318797973818499,-1.4596120000000001,-0.903904,MMR,030551
819488,143,5125,2015,0.9999618171359698,0.008738665237282393,-1.4596120000000001,-0.903904,MMR,030559
826014,143,5126,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030561
832540,143,5127,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030562
839066,143,5128,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030563
845592,143,5129,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030569
852118,143,5130,2015,0.8711635536579173,0.4909929355684347,-1.4596120000000001,-0.903904,MMR,030611
858644,143,5131,2015,0.9999463679850767,0.010356696068409459,-1.4596120000000001,-0.903904,MMR,030612
865170,143,5132,2015,0.9999576609497204,0.009201973047338434,-1.4596120000000001,-0.903904,MMR,030613
871696,143,5133,2015,0.9999616608281384,0.008756533208478313,-1.4596120000000001,-0.903904,MMR,030614
878222,143,5134,2015,0.4023914475100323,0.9154677072244444,-1.4596120000000001,-0.903904,MMR,030619
884748,143,5135,2015,0.9999997461755161,0.0007124948444092666,-1.4596120000000001,-0.903904,MMR,030621
891274,143,5136,2015,0.9999867693008513,0.005144047360395172,-1.4596120000000001,-0.903904,MMR,030622
897800,143,5137,2015,0.9754058835884047,0.2204163384622912,-1.4596120000000001,-0.903904,MMR,030623
904326,143,5138,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030624
910852,143,5139,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030629
917378,143,5140,2015,0.95514662005069,0.2961333047898242,-1.4596120000000001,-0.903904,MMR,030710
923904,143,5141,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030721
930430,143,5142,2015,0.5616169087694641,0.8273973941125458,-1.4596120000000001,-0.903904,MMR,030729
936956,143,5143,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,030731
943482,143,5144,2015,0.2922109325744002,0.956353894164707,-1.4596120000000001,-0.903904,MMR,030739
950008,143,5145,2015,0.9999918767414183,0.004030688672658032,-1.4596120000000001,-0.903904,MMR,030741
956534,143,5146,2015,0.9997843480156996,0.02076673934016415,-1.4596120000000001,-0.903904,MMR,030749
963060,143,5147,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030751
969586,143,5148,2015,0.9981440461868741,0.06089715150723461,-1.4596120000000001,-0.903904,MMR,030759
976112,143,5149,2015,0.14535046867914045,0.9893802308792886,-1.4596120000000001,-0.903904,MMR,030760
982638,143,5150,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,030791
989164,143,5151,2015,0.638339739238859,0.7697547514036308,-1.4596120000000001,-0.903904,MMR,030799
995690,143,5152,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040110
1002216,143,5153,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040120
1008742,143,5154,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040130
1015268,143,5155,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040210
1021794,143,5156,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040221
1028320,143,5157,2015,0.0929316335409257,0.9956724920813145,-1.4596120000000001,-0.903904,MMR,040229
1034846,143,5158,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040291
1041372,143,5159,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040299
1047898,143,5160,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040310
1054424,143,5161,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040390
1060950,143,5162,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040410
1067476,143,5163,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040490
1074002,143,5164,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040500
1080528,143,5165,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040610
1087054,143,5166,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040620
1093580,143,5167,2015,0.0034865316584335084,0.9999939220300265,-1.4596120000000001,-0.903904,MMR,040630
1100106,143,5168,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040640
1106632,143,5169,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040690
1113158,143,5170,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040700
1119684,143,5171,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,040811
1126210,143,5172,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,040819
1132736,143,5173,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040891
1139262,143,5174,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,040899
1145788,143,5175,2015,0.9995958900134847,0.028426337578894897,-1.4596120000000001,-0.903904,MMR,040900
1152314,143,5176,2015,0.06289915217153212,0.9980198879060991,-1.4596120000000001,-0.903904,MMR,041000
1158840,143,5177,2015,0.4328090440923297,0.9014856245952476,-1.4596120000000001,-0.903904,MMR,050100
1165366,143,5178,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,050210
1171892,143,5179,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,050290
1178418,143,5180,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,050300
1184944,143,5181,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,050400
1191470,143,5182,2015,0.012070767985875287,0.9999271456262356,-1.4596120000000001,-0.903904,MMR,050510
1197996,143,5183,2015,0.0,1.0,-1.4596120000000001,-0.903904,MMR,050590
1204522,143,5184,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,050610
1211048,143,5185,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,050690
1217574,143,5186,2015,0.0,0.0,-1.4596120000000001,-0.903904,MMR,050710
1224100,143,5187,2015,1.0,0.0,-1.4596120000000001,-0.903904,MMR,050790
