,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3774,145,5000,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010111
10300,145,5001,1999,0.0,3.155242180835536e-10,-0.557761,-0.8596280000000001,MNG,010119
16826,145,5002,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010120
23352,145,5003,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010210
29878,145,5004,1999,2.957853625084815e-08,0.0,-0.557761,-0.8596280000000001,MNG,010290
36404,145,5005,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010310
42930,145,5006,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010391
49456,145,5007,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010392
55982,145,5008,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010410
62508,145,5009,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010420
69034,145,5010,1999,0.0,1.0877631131830073e-09,-0.557761,-0.8596280000000001,MNG,010511
75560,145,5011,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010519
82086,145,5012,1999,0.0,2.7678632878774926e-08,-0.557761,-0.8596280000000001,MNG,010591
88612,145,5013,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,010599
95138,145,5014,1999,5.254631949922463e-08,5.813334858388163e-10,-0.557761,-0.8596280000000001,MNG,010600
101664,145,5015,1999,1.3809458467716459e-07,0.0,-0.557761,-0.8596280000000001,MNG,020110
108190,145,5016,1999,5.497091884704841e-09,0.0,-0.557761,-0.8596280000000001,MNG,020120
114716,145,5017,1999,0.0,2.9003702021524977e-09,-0.557761,-0.8596280000000001,MNG,020130
121242,145,5018,1999,1.126190487175044e-06,0.0,-0.557761,-0.8596280000000001,MNG,020210
127768,145,5019,1999,3.1133488995696775e-06,0.0,-0.557761,-0.8596280000000001,MNG,020220
134294,145,5020,1999,1.7547996112281792e-07,2.765145537259546e-09,-0.557761,-0.8596280000000001,MNG,020230
140820,145,5021,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020311
147346,145,5022,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020312
153872,145,5023,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020319
160398,145,5024,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020321
166924,145,5025,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020322
173450,145,5026,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020329
179976,145,5027,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020410
186502,145,5028,1999,1.0474990410751204e-07,0.0,-0.557761,-0.8596280000000001,MNG,020421
193028,145,5029,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020422
199554,145,5030,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020423
206080,145,5031,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020430
212606,145,5032,1999,1.4097040617583323e-07,0.0,-0.557761,-0.8596280000000001,MNG,020441
219132,145,5033,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020442
225658,145,5034,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020443
232184,145,5035,1999,0.0,0.0,-0.557761,-0.8596280000000001,MNG,020450
238710,145,5036,1999,2.497782792705604e-08,0.0,-0.557761,-0.8596280000000001,MNG,020500
