,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3840,147,5000,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010111
10366,147,5001,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010119
16892,147,5002,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010120
23418,147,5003,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010210
29944,147,5004,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010290
36470,147,5005,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010310
42996,147,5006,2013,0.0,0.0,-1.326323,-1.050969,MOZ,010391
49522,147,5007,2013,0.0,0.0,-1.326323,-1.050969,MOZ,010392
56048,147,5008,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010410
62574,147,5009,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010420
69100,147,5010,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010511
75626,147,5011,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010519
82152,147,5012,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010591
88678,147,5013,2013,0.0,1.0,-1.326323,-1.050969,MOZ,010599
95204,147,5014,2013,0.37968602638016297,0.9251154097579622,-1.326323,-1.050969,MOZ,010600
101730,147,5015,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020110
108256,147,5016,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020120
114782,147,5017,2013,0.00021006836400539407,0.999999977935641,-1.326323,-1.050969,MOZ,020130
121308,147,5018,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020210
127834,147,5019,2013,0.0014873764940038629,0.9999988938549708,-1.326323,-1.050969,MOZ,020220
134360,147,5020,2013,0.0012891725321427132,0.9999991690167459,-1.326323,-1.050969,MOZ,020230
140886,147,5021,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020311
147412,147,5022,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020312
153938,147,5023,2013,0.010448537506261084,0.9999454125420948,-1.326323,-1.050969,MOZ,020319
160464,147,5024,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020321
166990,147,5025,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020322
173516,147,5026,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020329
180042,147,5027,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020410
186568,147,5028,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020421
193094,147,5029,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020422
199620,147,5030,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020423
206146,147,5031,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020430
212672,147,5032,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020441
219198,147,5033,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020442
225724,147,5034,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020443
232250,147,5035,2013,0.3137630368544343,0.949501320011659,-1.326323,-1.050969,MOZ,020450
238776,147,5036,2013,0.0,0.0,-1.326323,-1.050969,MOZ,020500
245302,147,5037,2013,0.0,1.0,-1.326323,-1.050969,MOZ,020610
