,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3853,148,5000,2000,,,-1.461442,-1.230634,MRT,010111
10379,148,5001,2000,,,-1.461442,-1.230634,MRT,010119
16905,148,5002,2000,,,-1.461442,-1.230634,MRT,010120
23431,148,5003,2000,,,-1.461442,-1.230634,MRT,010210
29957,148,5004,2000,,,-1.461442,-1.230634,MRT,010290
36483,148,5005,2000,,,-1.461442,-1.230634,MRT,010310
43009,148,5006,2000,,,-1.461442,-1.230634,MRT,010391
49535,148,5007,2000,,,-1.461442,-1.230634,MRT,010392
56061,148,5008,2000,,,-1.461442,-1.230634,MRT,010410
62587,148,5009,2000,,,-1.461442,-1.230634,MRT,010420
69113,148,5010,2000,0.0,34548.0,-1.461442,-1.230634,MRT,010511
75639,148,5011,2000,0.0,7046.0,-1.461442,-1.230634,MRT,010519
82165,148,5012,2000,,,-1.461442,-1.230634,MRT,010591
88691,148,5013,2000,,,-1.461442,-1.230634,MRT,010599
95217,148,5014,2000,2994.0,9481.0,-1.461442,-1.230634,MRT,010600
101743,148,5015,2000,,,-1.461442,-1.230634,MRT,020110
108269,148,5016,2000,,,-1.461442,-1.230634,MRT,020120
114795,148,5017,2000,,,-1.461442,-1.230634,MRT,020130
121321,148,5018,2000,0.0,2879.0,-1.461442,-1.230634,MRT,020210
127847,148,5019,2000,,,-1.461442,-1.230634,MRT,020220
134373,148,5020,2000,0.0,739.0,-1.461442,-1.230634,MRT,020230
140899,148,5021,2000,,,-1.461442,-1.230634,MRT,020311
147425,148,5022,2000,,,-1.461442,-1.230634,MRT,020312
153951,148,5023,2000,,,-1.461442,-1.230634,MRT,020319
160477,148,5024,2000,0.0,1860.0,-1.461442,-1.230634,MRT,020321
167003,148,5025,2000,,,-1.461442,-1.230634,MRT,020322
173529,148,5026,2000,,,-1.461442,-1.230634,MRT,020329
180055,148,5027,2000,,,-1.461442,-1.230634,MRT,020410
186581,148,5028,2000,,,-1.461442,-1.230634,MRT,020421
