,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3877,149,5000,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010111
10403,149,5001,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010119
16929,149,5002,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010120
23455,149,5003,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010210
29981,149,5004,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010290
36507,149,5005,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010310
43033,149,5006,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010391
49559,149,5007,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010392
56085,149,5008,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010410
62611,149,5009,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010420
69137,149,5010,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010511
75663,149,5011,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010519
82189,149,5012,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010591
88715,149,5013,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010599
95241,149,5014,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,010600
101767,149,5015,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020110
108293,149,5016,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020120
114819,149,5017,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020130
121345,149,5018,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020210
127871,149,5019,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020220
134397,149,5020,1998,0.0,1.0,1.244182,-0.24840700000000002,MSR,020230
140923,149,5021,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020311
147449,149,5022,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020312
153975,149,5023,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020319
160501,149,5024,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020321
167027,149,5025,1998,0.0,1.0,1.244182,-0.24840700000000002,MSR,020322
173553,149,5026,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020329
180079,149,5027,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020410
186605,149,5028,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020421
193131,149,5029,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020422
199657,149,5030,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020423
206183,149,5031,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020430
212709,149,5032,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020441
219235,149,5033,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020442
225761,149,5034,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020443
232287,149,5035,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020450
238813,149,5036,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020500
245339,149,5037,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020610
251865,149,5038,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020621
258391,149,5039,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020622
264917,149,5040,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020629
271443,149,5041,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020630
277969,149,5042,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020641
284495,149,5043,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020649
291021,149,5044,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020680
297547,149,5045,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020690
304073,149,5046,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020710
310599,149,5047,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020721
317125,149,5048,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020722
323651,149,5049,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020723
330177,149,5050,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020731
336703,149,5051,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020739
343229,149,5052,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020741
349755,149,5053,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020742
356281,149,5054,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020743
362807,149,5055,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020750
369333,149,5056,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020810
375859,149,5057,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020820
382385,149,5058,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020890
388911,149,5059,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,020900
395437,149,5060,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,021011
401963,149,5061,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,021012
408489,149,5062,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,021019
415015,149,5063,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,021020
421541,149,5064,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,021090
428067,149,5065,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030110
434593,149,5066,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030191
441119,149,5067,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030192
447645,149,5068,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030193
454171,149,5069,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030199
460697,149,5070,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030211
467223,149,5071,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030212
473749,149,5072,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030219
480275,149,5073,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030221
486801,149,5074,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030222
493327,149,5075,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030223
499853,149,5076,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030229
506379,149,5077,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030231
512905,149,5078,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030232
519431,149,5079,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030233
525957,149,5080,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030239
532483,149,5081,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030240
539009,149,5082,1998,0.0,1.0,1.244182,-0.24840700000000002,MSR,030250
545535,149,5083,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030261
552061,149,5084,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030262
558587,149,5085,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030263
565113,149,5086,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030264
571639,149,5087,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030265
578165,149,5088,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030266
584691,149,5089,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030269
591217,149,5090,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030270
597743,149,5091,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030310
604269,149,5092,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030321
610795,149,5093,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030322
617321,149,5094,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030329
623847,149,5095,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030331
630373,149,5096,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030332
636899,149,5097,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030333
643425,149,5098,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030339
649951,149,5099,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030341
656477,149,5100,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030342
663003,149,5101,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030343
669529,149,5102,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030349
676055,149,5103,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030350
682581,149,5104,1998,0.0,0.0,1.244182,-0.24840700000000002,MSR,030360
