,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3933,151,5000,2002,2532.0,150817.0,-0.37937600000000005,-0.388848,MUS,010111
10459,151,5001,2002,3404.0,235577.0,-0.37937600000000005,-0.388848,MUS,010119
16985,151,5002,2002,,,-0.37937600000000005,-0.388848,MUS,010120
23511,151,5003,2002,,,-0.37937600000000005,-0.388848,MUS,010210
30037,151,5004,2002,0.0,4226005.0,-0.37937600000000005,-0.388848,MUS,010290
36563,151,5005,2002,,,-0.37937600000000005,-0.388848,MUS,010310
43089,151,5006,2002,0.0,2546.0,-0.37937600000000005,-0.388848,MUS,010391
49615,151,5007,2002,0.0,8896.0,-0.37937600000000005,-0.388848,MUS,010392
56141,151,5008,2002,0.0,103633.0,-0.37937600000000005,-0.388848,MUS,010410
62667,151,5009,2002,0.0,227452.0,-0.37937600000000005,-0.388848,MUS,010420
69193,151,5010,2002,155088.0,319742.0,-0.37937600000000005,-0.388848,MUS,010511
75719,151,5011,2002,0.0,99747.0,-0.37937600000000005,-0.388848,MUS,010519
82245,151,5012,2002,,,-0.37937600000000005,-0.388848,MUS,010591
88771,151,5013,2002,,,-0.37937600000000005,-0.388848,MUS,010599
95297,151,5014,2002,11835192.0,23327.0,-0.37937600000000005,-0.388848,MUS,010600
101823,151,5015,2002,0.0,6258.0,-0.37937600000000005,-0.388848,MUS,020110
108349,151,5016,2002,0.0,182226.0,-0.37937600000000005,-0.388848,MUS,020120
114875,151,5017,2002,0.0,937912.0,-0.37937600000000005,-0.388848,MUS,020130
121401,151,5018,2002,8499.0,25411.0,-0.37937600000000005,-0.388848,MUS,020210
127927,151,5019,2002,0.0,105189.0,-0.37937600000000005,-0.388848,MUS,020220
134453,151,5020,2002,47490.0,4620688.0,-0.37937600000000005,-0.388848,MUS,020230
140979,151,5021,2002,,,-0.37937600000000005,-0.388848,MUS,020311
147505,151,5022,2002,,,-0.37937600000000005,-0.388848,MUS,020312
154031,151,5023,2002,0.0,2052.0,-0.37937600000000005,-0.388848,MUS,020319
160557,151,5024,2002,0.0,69614.0,-0.37937600000000005,-0.388848,MUS,020321
167083,151,5025,2002,0.0,619091.0,-0.37937600000000005,-0.388848,MUS,020322
173609,151,5026,2002,1740.0,851614.0,-0.37937600000000005,-0.388848,MUS,020329
180135,151,5027,2002,0.0,102968.0,-0.37937600000000005,-0.388848,MUS,020410
186661,151,5028,2002,0.0,4100.0,-0.37937600000000005,-0.388848,MUS,020421
193187,151,5029,2002,0.0,332539.0,-0.37937600000000005,-0.388848,MUS,020422
199713,151,5030,2002,0.0,107397.0,-0.37937600000000005,-0.388848,MUS,020423
206239,151,5031,2002,0.0,22606.0,-0.37937600000000005,-0.388848,MUS,020430
212765,151,5032,2002,0.0,34346.0,-0.37937600000000005,-0.388848,MUS,020441
219291,151,5033,2002,0.0,2955247.0,-0.37937600000000005,-0.388848,MUS,020442
225817,151,5034,2002,0.0,3927457.0,-0.37937600000000005,-0.388848,MUS,020443
232343,151,5035,2002,0.0,63099.0,-0.37937600000000005,-0.388848,MUS,020450
238869,151,5036,2002,,,-0.37937600000000005,-0.388848,MUS,020500
245395,151,5037,2002,0.0,137742.0,-0.37937600000000005,-0.388848,MUS,020610
251921,151,5038,2002,0.0,21119.0,-0.37937600000000005,-0.388848,MUS,020621
258447,151,5039,2002,0.0,390080.0,-0.37937600000000005,-0.388848,MUS,020622
264973,151,5040,2002,0.0,225357.0,-0.37937600000000005,-0.388848,MUS,020629
271499,151,5041,2002,,,-0.37937600000000005,-0.388848,MUS,020630
278025,151,5042,2002,,,-0.37937600000000005,-0.388848,MUS,020641
284551,151,5043,2002,668.0,0.0,-0.37937600000000005,-0.388848,MUS,020649
291077,151,5044,2002,,,-0.37937600000000005,-0.388848,MUS,020680
297603,151,5045,2002,0.0,246226.0,-0.37937600000000005,-0.388848,MUS,020690
304129,151,5046,2002,0.0,4017.0,-0.37937600000000005,-0.388848,MUS,020710
310655,151,5047,2002,,,-0.37937600000000005,-0.388848,MUS,020721
317181,151,5048,2002,0.0,16137.0,-0.37937600000000005,-0.388848,MUS,020722
323707,151,5049,2002,,,-0.37937600000000005,-0.388848,MUS,020723
330233,151,5050,2002,0.0,11851.0,-0.37937600000000005,-0.388848,MUS,020731
336759,151,5051,2002,0.0,30230.0,-0.37937600000000005,-0.388848,MUS,020739
343285,151,5052,2002,0.0,34911.0,-0.37937600000000005,-0.388848,MUS,020741
349811,151,5053,2002,0.0,94048.0,-0.37937600000000005,-0.388848,MUS,020742
356337,151,5054,2002,0.0,19066.0,-0.37937600000000005,-0.388848,MUS,020743
362863,151,5055,2002,,,-0.37937600000000005,-0.388848,MUS,020750
369389,151,5056,2002,,,-0.37937600000000005,-0.388848,MUS,020810
