,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3968,152,5000,2011,0.0,0.0,-1.100291,-0.982559,MWI,010111
10494,152,5001,2011,4.115242987557428e-10,1.75560061259305e-09,-1.100291,-0.982559,MWI,010119
17020,152,5002,2011,0.0,0.0,-1.100291,-0.982559,MWI,010120
23546,152,5003,2011,0.0,7.563963975948383e-08,-1.100291,-0.982559,MWI,010210
30072,152,5004,2011,0.0,5.6753261562768266e-08,-1.100291,-0.982559,MWI,010290
36598,152,5005,2011,0.0,0.0,-1.100291,-0.982559,MWI,010310
43124,152,5006,2011,0.0,0.0,-1.100291,-0.982559,MWI,010391
49650,152,5007,2011,0.0,5.1348915029080844e-09,-1.100291,-0.982559,MWI,010392
56176,152,5008,2011,0.0,2.555348446874158e-10,-1.100291,-0.982559,MWI,010410
62702,152,5009,2011,0.0,1.285297182487417e-08,-1.100291,-0.982559,MWI,010420
69228,152,5010,2011,3.5874433769956625e-08,1.1073905755726166e-07,-1.100291,-0.982559,MWI,010511
75754,152,5011,2011,8.038966566562846e-09,1.7022398992406843e-09,-1.100291,-0.982559,MWI,010519
82280,152,5012,2011,0.0,6.8288455770940535e-09,-1.100291,-0.982559,MWI,010591
88806,152,5013,2011,0.0,0.0,-1.100291,-0.982559,MWI,010599
95332,152,5014,2011,3.1727977967397846e-10,1.3797887314113888e-08,-1.100291,-0.982559,MWI,010600
101858,152,5015,2011,0.0,0.0,-1.100291,-0.982559,MWI,020110
108384,152,5016,2011,0.0,3.2904668457284876e-09,-1.100291,-0.982559,MWI,020120
114910,152,5017,2011,0.0,1.0768258241107833e-08,-1.100291,-0.982559,MWI,020130
121436,152,5018,2011,0.0,0.0,-1.100291,-0.982559,MWI,020210
127962,152,5019,2011,0.0,7.776743963353469e-09,-1.100291,-0.982559,MWI,020220
134488,152,5020,2011,0.0,3.749501553759708e-09,-1.100291,-0.982559,MWI,020230
141014,152,5021,2011,0.0,0.0,-1.100291,-0.982559,MWI,020311
147540,152,5022,2011,0.0,0.0,-1.100291,-0.982559,MWI,020312
154066,152,5023,2011,0.0,0.0,-1.100291,-0.982559,MWI,020319
160592,152,5024,2011,0.0,0.0,-1.100291,-0.982559,MWI,020321
167118,152,5025,2011,0.0,0.0,-1.100291,-0.982559,MWI,020322
173644,152,5026,2011,0.0,0.0,-1.100291,-0.982559,MWI,020329
180170,152,5027,2011,0.0,0.0,-1.100291,-0.982559,MWI,020410
186696,152,5028,2011,0.0,0.0,-1.100291,-0.982559,MWI,020421
193222,152,5029,2011,0.0,0.0,-1.100291,-0.982559,MWI,020422
199748,152,5030,2011,0.0,0.0,-1.100291,-0.982559,MWI,020423
206274,152,5031,2011,0.0,0.0,-1.100291,-0.982559,MWI,020430
212800,152,5032,2011,0.0,0.0,-1.100291,-0.982559,MWI,020441
219326,152,5033,2011,0.0,4.6036044003997474e-10,-1.100291,-0.982559,MWI,020442
225852,152,5034,2011,0.0,0.0,-1.100291,-0.982559,MWI,020443
232378,152,5035,2011,0.0,0.0,-1.100291,-0.982559,MWI,020450
238904,152,5036,2011,0.0,0.0,-1.100291,-0.982559,MWI,020500
245430,152,5037,2011,0.0,0.0,-1.100291,-0.982559,MWI,020610
251956,152,5038,2011,0.0,0.0,-1.100291,-0.982559,MWI,020621
258482,152,5039,2011,0.0,4.272171398211141e-10,-1.100291,-0.982559,MWI,020622
265008,152,5040,2011,0.0,4.630119040574836e-10,-1.100291,-0.982559,MWI,020629
271534,152,5041,2011,0.0,0.0,-1.100291,-0.982559,MWI,020630
278060,152,5042,2011,0.0,0.0,-1.100291,-0.982559,MWI,020641
284586,152,5043,2011,0.0,0.0,-1.100291,-0.982559,MWI,020649
291112,152,5044,2011,0.0,0.0,-1.100291,-0.982559,MWI,020680
297638,152,5045,2011,0.0,0.0,-1.100291,-0.982559,MWI,020690
304164,152,5046,2011,0.0,0.0,-1.100291,-0.982559,MWI,020710
310690,152,5047,2011,9.033534128062366e-10,3.2139058222229194e-09,-1.100291,-0.982559,MWI,020721
317216,152,5048,2011,0.0,6.492772512874806e-10,-1.100291,-0.982559,MWI,020722
323742,152,5049,2011,0.0,0.0,-1.100291,-0.982559,MWI,020723
330268,152,5050,2011,0.0,0.0,-1.100291,-0.982559,MWI,020731
336794,152,5051,2011,0.0,5.085507985581982e-09,-1.100291,-0.982559,MWI,020739
343320,152,5052,2011,0.0,6.58225942346573e-10,-1.100291,-0.982559,MWI,020741
349846,152,5053,2011,0.0,0.0,-1.100291,-0.982559,MWI,020742
356372,152,5054,2011,0.0,1.2786685224436449e-09,-1.100291,-0.982559,MWI,020743
362898,152,5055,2011,0.0,0.0,-1.100291,-0.982559,MWI,020750
369424,152,5056,2011,0.0,0.0,-1.100291,-0.982559,MWI,020810
375950,152,5057,2011,0.0,0.0,-1.100291,-0.982559,MWI,020820
382476,152,5058,2011,0.0,5.849792488628909e-10,-1.100291,-0.982559,MWI,020890
389002,152,5059,2011,0.0,0.0,-1.100291,-0.982559,MWI,020900
395528,152,5060,2011,0.0,0.0,-1.100291,-0.982559,MWI,021011
402054,152,5061,2011,0.0,0.0,-1.100291,-0.982559,MWI,021012
408580,152,5062,2011,0.0,1.2992173685793384e-09,-1.100291,-0.982559,MWI,021019
415106,152,5063,2011,0.0,4.638404865629551e-09,-1.100291,-0.982559,MWI,021020
421632,152,5064,2011,0.0,1.2322679021372398e-09,-1.100291,-0.982559,MWI,021090
428158,152,5065,2011,5.114143978712476e-08,0.0,-1.100291,-0.982559,MWI,030110
434684,152,5066,2011,0.0,0.0,-1.100291,-0.982559,MWI,030191
441210,152,5067,2011,0.0,0.0,-1.100291,-0.982559,MWI,030192
447736,152,5068,2011,0.0,0.0,-1.100291,-0.982559,MWI,030193
454262,152,5069,2011,1.4539717123932652e-09,0.0,-1.100291,-0.982559,MWI,030199
460788,152,5070,2011,0.0,0.0,-1.100291,-0.982559,MWI,030211
467314,152,5071,2011,0.0,1.4848198498049583e-09,-1.100291,-0.982559,MWI,030212
473840,152,5072,2011,0.0,4.421316249196014e-10,-1.100291,-0.982559,MWI,030219
480366,152,5073,2011,0.0,0.0,-1.100291,-0.982559,MWI,030221
486892,152,5074,2011,0.0,0.0,-1.100291,-0.982559,MWI,030222
493418,152,5075,2011,0.0,0.0,-1.100291,-0.982559,MWI,030223
499944,152,5076,2011,0.0,4.096511907051179e-10,-1.100291,-0.982559,MWI,030229
506470,152,5077,2011,0.0,0.0,-1.100291,-0.982559,MWI,030231
512996,152,5078,2011,0.0,0.0,-1.100291,-0.982559,MWI,030232
519522,152,5079,2011,0.0,0.0,-1.100291,-0.982559,MWI,030233
526048,152,5080,2011,0.0,4.457773879436761e-10,-1.100291,-0.982559,MWI,030239
532574,152,5081,2011,0.0,0.0,-1.100291,-0.982559,MWI,030240
539100,152,5082,2011,0.0,0.0,-1.100291,-0.982559,MWI,030250
545626,152,5083,2011,0.0,1.416345791552792e-08,-1.100291,-0.982559,MWI,030261
552152,152,5084,2011,0.0,0.0,-1.100291,-0.982559,MWI,030262
558678,152,5085,2011,0.0,0.0,-1.100291,-0.982559,MWI,030263
565204,152,5086,2011,0.0,0.0,-1.100291,-0.982559,MWI,030264
571730,152,5087,2011,0.0,0.0,-1.100291,-0.982559,MWI,030265
578256,152,5088,2011,0.0,0.0,-1.100291,-0.982559,MWI,030266
584782,152,5089,2011,0.0,6.20873442999917e-09,-1.100291,-0.982559,MWI,030269
591308,152,5090,2011,0.0,0.0,-1.100291,-0.982559,MWI,030270
597834,152,5091,2011,0.0,1.5243929502662777e-08,-1.100291,-0.982559,MWI,030310
604360,152,5092,2011,0.0,0.0,-1.100291,-0.982559,MWI,030321
610886,152,5093,2011,0.0,0.0,-1.100291,-0.982559,MWI,030322
617412,152,5094,2011,0.0,8.100222573489549e-10,-1.100291,-0.982559,MWI,030329
623938,152,5095,2011,0.0,0.0,-1.100291,-0.982559,MWI,030331
630464,152,5096,2011,0.0,0.0,-1.100291,-0.982559,MWI,030332
636990,152,5097,2011,0.0,4.630119040574836e-10,-1.100291,-0.982559,MWI,030333
643516,152,5098,2011,4.440401730241458e-09,1.9634091049653064e-09,-1.100291,-0.982559,MWI,030339
650042,152,5099,2011,0.0,0.0,-1.100291,-0.982559,MWI,030341
656568,152,5100,2011,0.0,0.0,-1.100291,-0.982559,MWI,030342
663094,152,5101,2011,0.0,0.0,-1.100291,-0.982559,MWI,030343
669620,152,5102,2011,0.0,0.0,-1.100291,-0.982559,MWI,030349
676146,152,5103,2011,0.0,0.0,-1.100291,-0.982559,MWI,030350
682672,152,5104,2011,0.0,0.0,-1.100291,-0.982559,MWI,030360
689198,152,5105,2011,0.0,1.803857257711711e-08,-1.100291,-0.982559,MWI,030371
695724,152,5106,2011,0.0,0.0,-1.100291,-0.982559,MWI,030372
702250,152,5107,2011,0.0,0.0,-1.100291,-0.982559,MWI,030373
708776,152,5108,2011,0.0,1.0034465574262257e-08,-1.100291,-0.982559,MWI,030374
715302,152,5109,2011,0.0,0.0,-1.100291,-0.982559,MWI,030375
721828,152,5110,2011,0.0,0.0,-1.100291,-0.982559,MWI,030376
728354,152,5111,2011,0.0,0.0,-1.100291,-0.982559,MWI,030377
734880,152,5112,2011,0.0,3.867491702538852e-09,-1.100291,-0.982559,MWI,030378
741406,152,5113,2011,0.0,2.8293109664832602e-08,-1.100291,-0.982559,MWI,030379
747932,152,5114,2011,0.0,0.0,-1.100291,-0.982559,MWI,030380
754458,152,5115,2011,0.0,1.549780718233925e-09,-1.100291,-0.982559,MWI,030410
760984,152,5116,2011,0.0,2.8589410768789217e-09,-1.100291,-0.982559,MWI,030420
767510,152,5117,2011,0.0,5.814660590396917e-09,-1.100291,-0.982559,MWI,030490
774036,152,5118,2011,0.0,0.0,-1.100291,-0.982559,MWI,030510
780562,152,5119,2011,0.0,0.0,-1.100291,-0.982559,MWI,030520
787088,152,5120,2011,0.0,2.3120766232677207e-09,-1.100291,-0.982559,MWI,030530
793614,152,5121,2011,0.0,3.718346851553979e-09,-1.100291,-0.982559,MWI,030541
800140,152,5122,2011,0.0,0.0,-1.100291,-0.982559,MWI,030542
806666,152,5123,2011,0.0,1.2289867154155727e-08,-1.100291,-0.982559,MWI,030549
813192,152,5124,2011,0.0,0.0,-1.100291,-0.982559,MWI,030551
819718,152,5125,2011,8.027390551678848e-08,1.5034861564882205e-07,-1.100291,-0.982559,MWI,030559
826244,152,5126,2011,0.0,0.0,-1.100291,-0.982559,MWI,030561
832770,152,5127,2011,0.0,0.0,-1.100291,-0.982559,MWI,030562
839296,152,5128,2011,0.0,0.0,-1.100291,-0.982559,MWI,030563
845822,152,5129,2011,0.0,8.417735389586234e-09,-1.100291,-0.982559,MWI,030569
852348,152,5130,2011,0.0,0.0,-1.100291,-0.982559,MWI,030611
858874,152,5131,2011,0.0,3.1684995009230806e-10,-1.100291,-0.982559,MWI,030612
865400,152,5132,2011,1.241542748160735e-09,2.0045067972366935e-09,-1.100291,-0.982559,MWI,030613
871926,152,5133,2011,0.0,4.61023306044352e-10,-1.100291,-0.982559,MWI,030614
878452,152,5134,2011,0.0,0.0,-1.100291,-0.982559,MWI,030619
884978,152,5135,2011,0.0,0.0,-1.100291,-0.982559,MWI,030621
891504,152,5136,2011,0.0,0.0,-1.100291,-0.982559,MWI,030622
898030,152,5137,2011,0.0,0.0,-1.100291,-0.982559,MWI,030623
904556,152,5138,2011,0.0,0.0,-1.100291,-0.982559,MWI,030624
911082,152,5139,2011,0.0,0.0,-1.100291,-0.982559,MWI,030629
917608,152,5140,2011,0.0,0.0,-1.100291,-0.982559,MWI,030710
924134,152,5141,2011,0.0,0.0,-1.100291,-0.982559,MWI,030721
930660,152,5142,2011,0.0,0.0,-1.100291,-0.982559,MWI,030729
937186,152,5143,2011,0.0,0.0,-1.100291,-0.982559,MWI,030731
943712,152,5144,2011,0.0,0.0,-1.100291,-0.982559,MWI,030739
950238,152,5145,2011,0.0,0.0,-1.100291,-0.982559,MWI,030741
