,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4010,154,5000,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010111
10536,154,5001,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010119
17062,154,5002,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010120
23588,154,5003,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010210
30114,154,5004,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010290
36640,154,5005,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010310
43166,154,5006,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010391
49692,154,5007,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010392
56218,154,5008,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010410
62744,154,5009,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010420
69270,154,5010,2001,0.0,2.2134421618163914e-08,1.4633260000000001,-0.114532,MYT,010511
75796,154,5011,2001,0.0,3.7219926145780536e-10,1.4633260000000001,-0.114532,MYT,010519
82322,154,5012,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010591
88848,154,5013,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010599
95374,154,5014,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,010600
101900,154,5015,2001,0.0,1.4109102903168988e-09,1.4633260000000001,-0.114532,MYT,020110
108426,154,5016,2001,0.0,1.2608042836256789e-08,1.4633260000000001,-0.114532,MYT,020120
114952,154,5017,2001,0.0,1.517204168448807e-07,1.4633260000000001,-0.114532,MYT,020130
121478,154,5018,2001,0.0,2.52154228065092e-09,1.4633260000000001,-0.114532,MYT,020210
128004,154,5019,2001,1.0071739023156015e-08,2.865152131339936e-07,1.4633260000000001,-0.114532,MYT,020220
134530,154,5020,2001,0.0,7.33901045437291e-07,1.4633260000000001,-0.114532,MYT,020230
141056,154,5021,2001,0.0,8.405140935503067e-10,1.4633260000000001,-0.114532,MYT,020311
147582,154,5022,2001,0.0,1.4009673002512407e-09,1.4633260000000001,-0.114532,MYT,020312
154108,154,5023,2001,0.0,2.6056931199066074e-08,1.4633260000000001,-0.114532,MYT,020319
160634,154,5024,2001,0.0,0.0,1.4633260000000001,-0.114532,MYT,020321
167160,154,5025,2001,0.0,1.1373454903104228e-08,1.4633260000000001,-0.114532,MYT,020322
173686,154,5026,2001,0.0,2.5380807874601314e-08,1.4633260000000001,-0.114532,MYT,020329
180212,154,5027,2001,0.0,5.4311926068646984e-09,1.4633260000000001,-0.114532,MYT,020410
186738,154,5028,2001,0.0,1.0910774432048934e-09,1.4633260000000001,-0.114532,MYT,020421
193264,154,5029,2001,0.0,6.278335360458778e-09,1.4633260000000001,-0.114532,MYT,020422
199790,154,5030,2001,0.0,3.37796515830628e-09,1.4633260000000001,-0.114532,MYT,020423
