,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4053,155,5000,2018,0.9762796557338862,0.2165133570940248,-0.668091,-0.779938,NAM,010111
10579,155,5001,2018,0.808365344698146,0.5886811271741669,-0.668091,-0.779938,NAM,010119
17105,155,5002,2018,0.0,0.0,-0.668091,-0.779938,NAM,010120
23631,155,5003,2018,0.99621690372668,0.08690155769160184,-0.668091,-0.779938,NAM,010210
30157,155,5004,2018,0.9999012215690842,0.014055145130989877,-0.668091,-0.779938,NAM,010290
36683,155,5005,2018,0.05484456149314466,0.998494904380901,-0.668091,-0.779938,NAM,010310
43209,155,5006,2018,0.0,0.0,-0.668091,-0.779938,NAM,010391
49735,155,5007,2018,0.0,1.0,-0.668091,-0.779938,NAM,010392
56261,155,5008,2018,0.9998420140497559,0.017774896368967206,-0.668091,-0.779938,NAM,010410
62787,155,5009,2018,0.999910053406196,0.013412125007558224,-0.668091,-0.779938,NAM,010420
69313,155,5010,2018,0.0,1.0,-0.668091,-0.779938,NAM,010511
75839,155,5011,2018,0.0,0.0,-0.668091,-0.779938,NAM,010519
82365,155,5012,2018,0.9596659453670178,0.28114279877462284,-0.668091,-0.779938,NAM,010591
88891,155,5013,2018,0.0,1.0,-0.668091,-0.779938,NAM,010599
95417,155,5014,2018,0.8810038904008135,0.47310902030994,-0.668091,-0.779938,NAM,010600
101943,155,5015,2018,0.9871134567681539,0.16002194682988313,-0.668091,-0.779938,NAM,020110
108469,155,5016,2018,0.09815485784864854,0.995171153058966,-0.668091,-0.779938,NAM,020120
114995,155,5017,2018,0.9836877804632335,0.17988426992741,-0.668091,-0.779938,NAM,020130
121521,155,5018,2018,0.527784343516785,0.8493784119805238,-0.668091,-0.779938,NAM,020210
128047,155,5019,2018,0.6462205745763943,0.7631506856408863,-0.668091,-0.779938,NAM,020220
134573,155,5020,2018,0.9899347705399983,0.14152437979345087,-0.668091,-0.779938,NAM,020230
141099,155,5021,2018,0.0,1.0,-0.668091,-0.779938,NAM,020311
147625,155,5022,2018,0.0544636808922348,0.9985157522361221,-0.668091,-0.779938,NAM,020312
154151,155,5023,2018,0.15549977804156617,0.9878359271807357,-0.668091,-0.779938,NAM,020319
160677,155,5024,2018,0.02321426788262963,0.9997305125715997,-0.668091,-0.779938,NAM,020321
167203,155,5025,2018,0.25824067071958107,0.9660806156767152,-0.668091,-0.779938,NAM,020322
173729,155,5026,2018,0.21570339677965844,0.9764589313523212,-0.668091,-0.779938,NAM,020329
180255,155,5027,2018,0.9219297786487158,0.38735704878152105,-0.668091,-0.779938,NAM,020410
186781,155,5028,2018,1.0,0.0,-0.668091,-0.779938,NAM,020421
193307,155,5029,2018,0.9708836075707813,0.23955170746697924,-0.668091,-0.779938,NAM,020422
199833,155,5030,2018,0.0,0.0,-0.668091,-0.779938,NAM,020423
206359,155,5031,2018,0.9822669589749897,0.18748765640976486,-0.668091,-0.779938,NAM,020430
212885,155,5032,2018,0.9999486566249061,0.010133317030749175,-0.668091,-0.779938,NAM,020441
219411,155,5033,2018,0.0,1.0,-0.668091,-0.779938,NAM,020442
225937,155,5034,2018,0.979993462000721,0.1990296822984992,-0.668091,-0.779938,NAM,020443
232463,155,5035,2018,0.0,0.0,-0.668091,-0.779938,NAM,020450
238989,155,5036,2018,0.0,1.0,-0.668091,-0.779938,NAM,020500
245515,155,5037,2018,0.582048781804155,0.8131538695722349,-0.668091,-0.779938,NAM,020610
252041,155,5038,2018,0.7525163653586697,0.6585735493226077,-0.668091,-0.779938,NAM,020621
258567,155,5039,2018,0.38020922540352214,0.9249005054156116,-0.668091,-0.779938,NAM,020622
265093,155,5040,2018,0.9457044991685336,0.32502769151626604,-0.668091,-0.779938,NAM,020629
271619,155,5041,2018,0.0,1.0,-0.668091,-0.779938,NAM,020630
278145,155,5042,2018,0.0,1.0,-0.668091,-0.779938,NAM,020641
284671,155,5043,2018,0.0,1.0,-0.668091,-0.779938,NAM,020649
291197,155,5044,2018,0.2564581383785142,0.9665553389534541,-0.668091,-0.779938,NAM,020680
297723,155,5045,2018,0.3981015613220732,0.9173413469766462,-0.668091,-0.779938,NAM,020690
304249,155,5046,2018,0.0,1.0,-0.668091,-0.779938,NAM,020710
310775,155,5047,2018,0.8178896376809174,0.5753751303055925,-0.668091,-0.779938,NAM,020721
317301,155,5048,2018,0.0,1.0,-0.668091,-0.779938,NAM,020722
323827,155,5049,2018,0.0,1.0,-0.668091,-0.779938,NAM,020723
330353,155,5050,2018,0.0,1.0,-0.668091,-0.779938,NAM,020731
336879,155,5051,2018,0.5205065903093233,0.8538576517456306,-0.668091,-0.779938,NAM,020739
343405,155,5052,2018,0.3169655981967867,0.948437035105522,-0.668091,-0.779938,NAM,020741
349931,155,5053,2018,0.7962616258143834,0.604952414042158,-0.668091,-0.779938,NAM,020742
356457,155,5054,2018,0.0,1.0,-0.668091,-0.779938,NAM,020743
