,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4067,156,5000,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,010111
10593,156,5001,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,010119
17119,156,5002,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010120
23645,156,5003,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010210
30171,156,5004,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010290
36697,156,5005,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010310
43223,156,5006,2006,1.0,0.0,-0.135099,-0.7618779999999999,NCL,010391
49749,156,5007,2006,1.0,0.0,-0.135099,-0.7618779999999999,NCL,010392
56275,156,5008,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010410
62801,156,5009,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010420
69327,156,5010,2006,0.8979807416775637,0.4400347572365308,-0.135099,-0.7618779999999999,NCL,010511
75853,156,5011,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,010519
82379,156,5012,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010591
88905,156,5013,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,010599
95431,156,5014,2006,0.06394370909198044,0.9979535069669129,-0.135099,-0.7618779999999999,NCL,010600
101957,156,5015,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020110
108483,156,5016,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020120
115009,156,5017,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020130
121535,156,5018,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020210
128061,156,5019,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020220
134587,156,5020,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020230
141113,156,5021,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020311
147639,156,5022,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020312
154165,156,5023,2006,0.01892462162957098,0.9998209133120678,-0.135099,-0.7618779999999999,NCL,020319
160691,156,5024,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020321
167217,156,5025,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020322
173743,156,5026,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020329
180269,156,5027,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020410
186795,156,5028,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020421
193321,156,5029,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020422
199847,156,5030,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020423
206373,156,5031,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020430
212899,156,5032,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020441
219425,156,5033,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020442
225951,156,5034,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020443
232477,156,5035,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020450
239003,156,5036,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020500
245529,156,5037,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020610
252055,156,5038,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020621
258581,156,5039,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020622
265107,156,5040,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020629
271633,156,5041,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020630
278159,156,5042,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020641
284685,156,5043,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020649
291211,156,5044,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020680
297737,156,5045,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020690
304263,156,5046,2006,1.0,0.0,-0.135099,-0.7618779999999999,NCL,020710
310789,156,5047,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020721
317315,156,5048,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020722
323841,156,5049,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020723
330367,156,5050,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020731
336893,156,5051,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020739
343419,156,5052,2006,0.0005133506012319636,0.9999998682355714,-0.135099,-0.7618779999999999,NCL,020741
349945,156,5053,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020742
356471,156,5054,2006,0.0012921549364592936,0.9999991651674617,-0.135099,-0.7618779999999999,NCL,020743
362997,156,5055,2006,0.0,0.0,-0.135099,-0.7618779999999999,NCL,020750
369523,156,5056,2006,0.10362335362350157,0.9946166098471404,-0.135099,-0.7618779999999999,NCL,020810
376049,156,5057,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020820
382575,156,5058,2006,0.999083292248458,0.04280858733924856,-0.135099,-0.7618779999999999,NCL,020890
389101,156,5059,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,020900
395627,156,5060,2006,0.013100688365107138,0.9999141822998414,-0.135099,-0.7618779999999999,NCL,021011
402153,156,5061,2006,0.0,1.0,-0.135099,-0.7618779999999999,NCL,021012
