,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4091,157,5000,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,010111
10617,157,5001,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,010119
17143,157,5002,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,010120
23669,157,5003,2004,0.9999452137733152,0.010467542779414047,-0.8203799999999999,-0.7488,NER,010210
30195,157,5004,2004,0.9997464406137512,0.022517870239772267,-0.8203799999999999,-0.7488,NER,010290
36721,157,5005,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,010310
43247,157,5006,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,010391
49773,157,5007,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,010392
56299,157,5008,2004,0.99822945668316,0.05948068434410749,-0.8203799999999999,-0.7488,NER,010410
62825,157,5009,2004,0.9978679308642696,0.06526555410522018,-0.8203799999999999,-0.7488,NER,010420
69351,157,5010,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,010511
75877,157,5011,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,010519
82403,157,5012,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,010591
88929,157,5013,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,010599
95455,157,5014,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,010600
101981,157,5015,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020110
108507,157,5016,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020120
115033,157,5017,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020130
121559,157,5018,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020210
128085,157,5019,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020220
134611,157,5020,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020230
141137,157,5021,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020311
147663,157,5022,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020312
154189,157,5023,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020319
160715,157,5024,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020321
167241,157,5025,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020322
173767,157,5026,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020329
180293,157,5027,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020410
186819,157,5028,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020421
193345,157,5029,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020422
199871,157,5030,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020423
206397,157,5031,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020430
212923,157,5032,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020441
219449,157,5033,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020442
225975,157,5034,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020443
232501,157,5035,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020450
239027,157,5036,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020500
245553,157,5037,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,020610
252079,157,5038,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020621
258605,157,5039,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020622
265131,157,5040,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020629
271657,157,5041,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020630
278183,157,5042,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020641
284709,157,5043,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020649
291235,157,5044,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020680
297761,157,5045,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020690
304287,157,5046,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020710
310813,157,5047,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020721
317339,157,5048,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020722
323865,157,5049,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020723
330391,157,5050,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020731
336917,157,5051,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020739
343443,157,5052,2004,0.9655759486902564,0.26012129345924606,-0.8203799999999999,-0.7488,NER,020741
349969,157,5053,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020742
356495,157,5054,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,020743
363021,157,5055,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020750
369547,157,5056,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020810
376073,157,5057,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020820
382599,157,5058,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020890
389125,157,5059,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,020900
395651,157,5060,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,021011
402177,157,5061,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,021012
408703,157,5062,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,021019
415229,157,5063,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,021020
421755,157,5064,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,021090
428281,157,5065,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,030110
434807,157,5066,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,030191
441333,157,5067,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,030192
447859,157,5068,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,030193
454385,157,5069,2004,1.0,0.0,-0.8203799999999999,-0.7488,NER,030199
460911,157,5070,2004,0.0,0.0,-0.8203799999999999,-0.7488,NER,030211
467437,157,5071,2004,0.784854604742039,0.61967995724827,-0.8203799999999999,-0.7488,NER,030212
473963,157,5072,2004,0.9993631262460734,0.03568391654057713,-0.8203799999999999,-0.7488,NER,030219
480489,157,5073,2004,0.0,1.0,-0.8203799999999999,-0.7488,NER,030221
