,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4123,158,5000,2010,0.0,1.0,1.059751,-0.570033,NFK,010111
10649,158,5001,2010,0.0,1.0,1.059751,-0.570033,NFK,010119
17175,158,5002,2010,0.0,0.0,1.059751,-0.570033,NFK,010120
23701,158,5003,2010,0.0,0.0,1.059751,-0.570033,NFK,010210
30227,158,5004,2010,0.0,0.0,1.059751,-0.570033,NFK,010290
36753,158,5005,2010,0.0,0.0,1.059751,-0.570033,NFK,010310
43279,158,5006,2010,0.0,0.0,1.059751,-0.570033,NFK,010391
49805,158,5007,2010,0.0,0.0,1.059751,-0.570033,NFK,010392
56331,158,5008,2010,0.0,0.0,1.059751,-0.570033,NFK,010410
62857,158,5009,2010,0.0,0.0,1.059751,-0.570033,NFK,010420
69383,158,5010,2010,0.0,0.0,1.059751,-0.570033,NFK,010511
75909,158,5011,2010,0.0,0.0,1.059751,-0.570033,NFK,010519
82435,158,5012,2010,0.0,0.0,1.059751,-0.570033,NFK,010591
88961,158,5013,2010,0.0,0.0,1.059751,-0.570033,NFK,010599
95487,158,5014,2010,0.0,0.0,1.059751,-0.570033,NFK,010600
102013,158,5015,2010,0.0,0.0,1.059751,-0.570033,NFK,020110
108539,158,5016,2010,0.0,0.0,1.059751,-0.570033,NFK,020120
115065,158,5017,2010,0.0,1.0,1.059751,-0.570033,NFK,020130
121591,158,5018,2010,0.0,0.0,1.059751,-0.570033,NFK,020210
128117,158,5019,2010,0.0,0.0,1.059751,-0.570033,NFK,020220
134643,158,5020,2010,0.0,1.0,1.059751,-0.570033,NFK,020230
141169,158,5021,2010,0.0,0.0,1.059751,-0.570033,NFK,020311
147695,158,5022,2010,0.0,1.0,1.059751,-0.570033,NFK,020312
154221,158,5023,2010,0.0,0.0,1.059751,-0.570033,NFK,020319
160747,158,5024,2010,0.0,0.0,1.059751,-0.570033,NFK,020321
167273,158,5025,2010,0.0,0.0,1.059751,-0.570033,NFK,020322
173799,158,5026,2010,0.0,1.0,1.059751,-0.570033,NFK,020329
180325,158,5027,2010,0.0,0.0,1.059751,-0.570033,NFK,020410
186851,158,5028,2010,0.0,0.0,1.059751,-0.570033,NFK,020421
193377,158,5029,2010,0.0,0.0,1.059751,-0.570033,NFK,020422
199903,158,5030,2010,0.0,0.0,1.059751,-0.570033,NFK,020423
206429,158,5031,2010,0.0,0.0,1.059751,-0.570033,NFK,020430
212955,158,5032,2010,0.0,0.0,1.059751,-0.570033,NFK,020441
219481,158,5033,2010,0.0,1.0,1.059751,-0.570033,NFK,020442
226007,158,5034,2010,0.0,1.0,1.059751,-0.570033,NFK,020443
232533,158,5035,2010,0.0,0.0,1.059751,-0.570033,NFK,020450
239059,158,5036,2010,0.0,1.0,1.059751,-0.570033,NFK,020500
245585,158,5037,2010,0.0,0.0,1.059751,-0.570033,NFK,020610
252111,158,5038,2010,0.0,0.0,1.059751,-0.570033,NFK,020621
258637,158,5039,2010,0.0,0.0,1.059751,-0.570033,NFK,020622
265163,158,5040,2010,0.0,0.0,1.059751,-0.570033,NFK,020629
271689,158,5041,2010,0.0,0.0,1.059751,-0.570033,NFK,020630
278215,158,5042,2010,0.0,0.0,1.059751,-0.570033,NFK,020641
284741,158,5043,2010,0.0,0.0,1.059751,-0.570033,NFK,020649
291267,158,5044,2010,0.0,0.0,1.059751,-0.570033,NFK,020680
297793,158,5045,2010,0.0,0.0,1.059751,-0.570033,NFK,020690
304319,158,5046,2010,0.0,0.0,1.059751,-0.570033,NFK,020710
310845,158,5047,2010,0.0,1.0,1.059751,-0.570033,NFK,020721
317371,158,5048,2010,0.0,0.0,1.059751,-0.570033,NFK,020722
323897,158,5049,2010,0.0,1.0,1.059751,-0.570033,NFK,020723
330423,158,5050,2010,0.0,0.0,1.059751,-0.570033,NFK,020731
336949,158,5051,2010,0.0,0.0,1.059751,-0.570033,NFK,020739
343475,158,5052,2010,0.0,1.0,1.059751,-0.570033,NFK,020741
350001,158,5053,2010,0.0,0.0,1.059751,-0.570033,NFK,020742
