,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4182,160,5000,2017,0.5582669163303544,0.82966140691911,-1.0502280000000002,-0.8817719999999999,NIC,010111
10708,160,5001,2017,0.9683547241817636,0.24957789997285504,-1.0502280000000002,-0.8817719999999999,NIC,010119
17234,160,5002,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010120
23760,160,5003,2017,0.127095949275859,0.991890427253771,-1.0502280000000002,-0.8817719999999999,NIC,010210
30286,160,5004,2017,0.9999999919008209,0.00012727277098875325,-1.0502280000000002,-0.8817719999999999,NIC,010290
36812,160,5005,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,010310
43338,160,5006,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010391
49864,160,5007,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,010392
56390,160,5008,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,010410
62916,160,5009,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010420
69442,160,5010,2017,0.004720416319863373,0.9999888587728202,-1.0502280000000002,-0.8817719999999999,NIC,010511
75968,160,5011,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010519
82494,160,5012,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010591
89020,160,5013,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,010599
95546,160,5014,2017,0.9966485367970349,0.08180277562729511,-1.0502280000000002,-0.8817719999999999,NIC,010600
102072,160,5015,2017,1.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020110
108598,160,5016,2017,0.999996669028653,0.0025810717926143065,-1.0502280000000002,-0.8817719999999999,NIC,020120
115124,160,5017,2017,0.9999999974736716,7.108204347998893e-05,-1.0502280000000002,-0.8817719999999999,NIC,020130
121650,160,5018,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020210
128176,160,5019,2017,0.9999565737105596,0.009319371922952858,-1.0502280000000002,-0.8817719999999999,NIC,020220
134702,160,5020,2017,0.9999913414148539,0.004161381419802339,-1.0502280000000002,-0.8817719999999999,NIC,020230
141228,160,5021,2017,1.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020311
147754,160,5022,2017,0.8921302010373873,0.4517783797361168,-1.0502280000000002,-0.8817719999999999,NIC,020312
154280,160,5023,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020319
160806,160,5024,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020321
167332,160,5025,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020322
173858,160,5026,2017,0.019877082962901325,0.9998024312697414,-1.0502280000000002,-0.8817719999999999,NIC,020329
180384,160,5027,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020410
186910,160,5028,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020421
193436,160,5029,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020422
199962,160,5030,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020423
206488,160,5031,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020430
213014,160,5032,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020441
219540,160,5033,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020442
226066,160,5034,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020443
232592,160,5035,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020450
239118,160,5036,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020500
245644,160,5037,2017,1.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020610
252170,160,5038,2017,0.9973485393750698,0.07277287273713116,-1.0502280000000002,-0.8817719999999999,NIC,020621
258696,160,5039,2017,0.9999243055811915,0.012303784294761793,-1.0502280000000002,-0.8817719999999999,NIC,020622
265222,160,5040,2017,0.9999955161107575,0.002994621575371203,-1.0502280000000002,-0.8817719999999999,NIC,020629
271748,160,5041,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020630
278274,160,5042,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020641
284800,160,5043,2017,0.2737636420668189,0.961796999518251,-1.0502280000000002,-0.8817719999999999,NIC,020649
291326,160,5044,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020680
297852,160,5045,2017,1.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020690
304378,160,5046,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020710
310904,160,5047,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020721
317430,160,5048,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020722
323956,160,5049,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020723
330482,160,5050,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020731
337008,160,5051,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020739
343534,160,5052,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020741
350060,160,5053,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020742
356586,160,5054,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020743
363112,160,5055,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020750
369638,160,5056,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020810
376164,160,5057,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,020820
382690,160,5058,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020890
389216,160,5059,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,020900
395742,160,5060,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,021011
402268,160,5061,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,021012
408794,160,5062,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,021019
415320,160,5063,2017,0.0,0.0,-1.0502280000000002,-0.8817719999999999,NIC,021020
421846,160,5064,2017,0.0,1.0,-1.0502280000000002,-0.8817719999999999,NIC,021090
428372,160,5065,2017,0.9913361180979643,0.13134953732106974,-1.0502280000000002,-0.8817719999999999,NIC,030110
