,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4267,164,5000,1998,0.0,0.0,-0.634124,-0.279031,NPL,010111
10793,164,5001,1998,0.0,0.0,-0.634124,-0.279031,NPL,010119
17319,164,5002,1998,0.0,0.0,-0.634124,-0.279031,NPL,010120
23845,164,5003,1998,0.0,0.0,-0.634124,-0.279031,NPL,010210
30371,164,5004,1998,1.517033720177558e-08,0.0,-0.634124,-0.279031,NPL,010290
36897,164,5005,1998,0.0,2.618320717289993e-10,-0.634124,-0.279031,NPL,010310
43423,164,5006,1998,2.953823232468135e-08,0.0,-0.634124,-0.279031,NPL,010391
49949,164,5007,1998,5.383452995136797e-09,0.0,-0.634124,-0.279031,NPL,010392
56475,164,5008,1998,0.0,8.220864186286202e-09,-0.634124,-0.279031,NPL,010410
63001,164,5009,1998,4.0923030837166256e-08,3.710955895605173e-08,-0.634124,-0.279031,NPL,010420
69527,164,5010,1998,1.4682750606268962e-08,1.608775792623497e-08,-0.634124,-0.279031,NPL,010511
76053,164,5011,1998,0.0,4.442527961336085e-09,-0.634124,-0.279031,NPL,010519
82579,164,5012,1998,0.0,3.13535620070422e-10,-0.634124,-0.279031,NPL,010591
89105,164,5013,1998,0.0,0.0,-0.634124,-0.279031,NPL,010599
95631,164,5014,1998,1.7194018547203306e-07,4.415516171657713e-07,-0.634124,-0.279031,NPL,010600
102157,164,5015,1998,0.0,0.0,-0.634124,-0.279031,NPL,020110
108683,164,5016,1998,0.0,0.0,-0.634124,-0.279031,NPL,020120
115209,164,5017,1998,0.0,0.0,-0.634124,-0.279031,NPL,020130
121735,164,5018,1998,0.0,0.0,-0.634124,-0.279031,NPL,020210
128261,164,5019,1998,0.0,1.6439076908554894e-10,-0.634124,-0.279031,NPL,020220
134787,164,5020,1998,0.0,1.7380346634770538e-09,-0.634124,-0.279031,NPL,020230
141313,164,5021,1998,0.0,0.0,-0.634124,-0.279031,NPL,020311
147839,164,5022,1998,0.0,0.0,-0.634124,-0.279031,NPL,020312
154365,164,5023,1998,0.0,0.0,-0.634124,-0.279031,NPL,020319
160891,164,5024,1998,0.0,0.0,-0.634124,-0.279031,NPL,020321
167417,164,5025,1998,0.0,0.0,-0.634124,-0.279031,NPL,020322
173943,164,5026,1998,0.0,0.0,-0.634124,-0.279031,NPL,020329
180469,164,5027,1998,0.0,0.0,-0.634124,-0.279031,NPL,020410
186995,164,5028,1998,0.0,0.0,-0.634124,-0.279031,NPL,020421
