,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4373,168,5000,2000,0.0,1.0,-0.851295,-0.370618,PAK,010111
10899,168,5001,2000,0.0,0.0,-0.851295,-0.370618,PAK,010119
17425,168,5002,2000,0.0,0.0,-0.851295,-0.370618,PAK,010120
23951,168,5003,2000,0.0,0.0,-0.851295,-0.370618,PAK,010210
30477,168,5004,2000,1.0,0.0,-0.851295,-0.370618,PAK,010290
37003,168,5005,2000,0.0,0.0,-0.851295,-0.370618,PAK,010310
43529,168,5006,2000,0.0,0.0,-0.851295,-0.370618,PAK,010391
50055,168,5007,2000,0.0,0.0,-0.851295,-0.370618,PAK,010392
56581,168,5008,2000,1.0,0.0,-0.851295,-0.370618,PAK,010410
63107,168,5009,2000,0.0,0.0,-0.851295,-0.370618,PAK,010420
69633,168,5010,2000,0.0,1.0,-0.851295,-0.370618,PAK,010511
76159,168,5011,2000,1.0,0.0,-0.851295,-0.370618,PAK,010519
82685,168,5012,2000,0.0,0.0,-0.851295,-0.370618,PAK,010591
89211,168,5013,2000,0.0,1.0,-0.851295,-0.370618,PAK,010599
95737,168,5014,2000,0.9771133619112748,0.2127192468359313,-0.851295,-0.370618,PAK,010600
102263,168,5015,2000,1.0,0.0,-0.851295,-0.370618,PAK,020110
108789,168,5016,2000,1.0,0.0,-0.851295,-0.370618,PAK,020120
115315,168,5017,2000,0.767747021569898,0.640753081046475,-0.851295,-0.370618,PAK,020130
121841,168,5018,2000,1.0,0.0,-0.851295,-0.370618,PAK,020210
128367,168,5019,2000,1.0,0.0,-0.851295,-0.370618,PAK,020220
134893,168,5020,2000,0.9960573360709176,0.08871179887313228,-0.851295,-0.370618,PAK,020230
141419,168,5021,2000,0.0,0.0,-0.851295,-0.370618,PAK,020311
147945,168,5022,2000,0.0,0.0,-0.851295,-0.370618,PAK,020312
154471,168,5023,2000,0.0,0.0,-0.851295,-0.370618,PAK,020319
160997,168,5024,2000,0.0,0.0,-0.851295,-0.370618,PAK,020321
167523,168,5025,2000,0.0,1.0,-0.851295,-0.370618,PAK,020322
174049,168,5026,2000,0.0,0.0,-0.851295,-0.370618,PAK,020329
180575,168,5027,2000,1.0,0.0,-0.851295,-0.370618,PAK,020410
187101,168,5028,2000,1.0,0.0,-0.851295,-0.370618,PAK,020421
193627,168,5029,2000,0.9951715823144465,0.09815050562152468,-0.851295,-0.370618,PAK,020422
200153,168,5030,2000,1.0,0.0,-0.851295,-0.370618,PAK,020423
206679,168,5031,2000,0.0,0.0,-0.851295,-0.370618,PAK,020430
213205,168,5032,2000,0.0,0.0,-0.851295,-0.370618,PAK,020441
219731,168,5033,2000,1.0,0.0,-0.851295,-0.370618,PAK,020442
226257,168,5034,2000,0.0,0.0,-0.851295,-0.370618,PAK,020443
232783,168,5035,2000,1.0,0.0,-0.851295,-0.370618,PAK,020450
239309,168,5036,2000,0.0,0.0,-0.851295,-0.370618,PAK,020500
245835,168,5037,2000,1.0,0.0,-0.851295,-0.370618,PAK,020610
252361,168,5038,2000,0.0,0.0,-0.851295,-0.370618,PAK,020621
258887,168,5039,2000,0.0,0.0,-0.851295,-0.370618,PAK,020622
265413,168,5040,2000,1.0,0.0,-0.851295,-0.370618,PAK,020629
271939,168,5041,2000,0.0,0.0,-0.851295,-0.370618,PAK,020630
278465,168,5042,2000,0.0,0.0,-0.851295,-0.370618,PAK,020641
284991,168,5043,2000,0.0,0.0,-0.851295,-0.370618,PAK,020649
291517,168,5044,2000,0.0,0.0,-0.851295,-0.370618,PAK,020680
298043,168,5045,2000,0.0,1.0,-0.851295,-0.370618,PAK,020690
304569,168,5046,2000,0.0,0.0,-0.851295,-0.370618,PAK,020710
311095,168,5047,2000,0.0,0.0,-0.851295,-0.370618,PAK,020721
317621,168,5048,2000,0.0,0.0,-0.851295,-0.370618,PAK,020722
324147,168,5049,2000,0.0,1.0,-0.851295,-0.370618,PAK,020723
330673,168,5050,2000,0.0,0.0,-0.851295,-0.370618,PAK,020731
337199,168,5051,2000,0.0,0.0,-0.851295,-0.370618,PAK,020739
343725,168,5052,2000,0.0,1.0,-0.851295,-0.370618,PAK,020741
350251,168,5053,2000,0.0,0.0,-0.851295,-0.370618,PAK,020742
356777,168,5054,2000,0.0,0.0,-0.851295,-0.370618,PAK,020743
363303,168,5055,2000,0.0,0.0,-0.851295,-0.370618,PAK,020750
369829,168,5056,2000,0.0,0.0,-0.851295,-0.370618,PAK,020810
