,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4397,169,5000,1998,0.8009784052948913,0.5986932388554701,0.010123,0.5677949999999999,PAN,010111
10923,169,5001,1998,0.126571025008509,0.9919575472913624,0.010123,0.5677949999999999,PAN,010119
17449,169,5002,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,010120
23975,169,5003,1998,0.9984262770108747,0.05608002651750494,0.010123,0.5677949999999999,PAN,010210
30501,169,5004,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,010290
37027,169,5005,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,010310
43553,169,5006,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,010391
50079,169,5007,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,010392
56605,169,5008,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,010410
63131,169,5009,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,010420
69657,169,5010,1998,0.0055300696331915975,0.9999847090480194,0.010123,0.5677949999999999,PAN,010511
76183,169,5011,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,010519
82709,169,5012,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,010591
89235,169,5013,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,010599
95761,169,5014,1998,0.13752562467717452,0.9904982092649905,0.010123,0.5677949999999999,PAN,010600
102287,169,5015,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020110
108813,169,5016,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020120
115339,169,5017,1998,0.9999912252302177,0.004189207868808838,0.010123,0.5677949999999999,PAN,020130
121865,169,5018,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020210
128391,169,5019,1998,0.7325429805865008,0.6807207809325682,0.010123,0.5677949999999999,PAN,020220
134917,169,5020,1998,0.9683970689564483,0.24941354581610023,0.010123,0.5677949999999999,PAN,020230
141443,169,5021,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020311
147969,169,5022,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020312
154495,169,5023,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020319
161021,169,5024,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020321
167547,169,5025,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020322
174073,169,5026,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020329
180599,169,5027,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020410
187125,169,5028,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,020421
193651,169,5029,1998,0.7608973302747573,0.6488722931214947,0.010123,0.5677949999999999,PAN,020422
200177,169,5030,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020423
206703,169,5031,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020430
213229,169,5032,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020441
219755,169,5033,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020442
226281,169,5034,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020443
232807,169,5035,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020450
239333,169,5036,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020500
245859,169,5037,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,020610
252385,169,5038,1998,0.9829034249308668,0.18412185437685566,0.010123,0.5677949999999999,PAN,020621
258911,169,5039,1998,0.11042743283375751,0.9938841894696514,0.010123,0.5677949999999999,PAN,020622
265437,169,5040,1998,0.9609196987085937,0.27682726136308433,0.010123,0.5677949999999999,PAN,020629
271963,169,5041,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020630
278489,169,5042,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020641
285015,169,5043,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020649
291541,169,5044,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020680
298067,169,5045,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020690
304593,169,5046,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020710
311119,169,5047,1998,0.9425251369079836,0.334135251502422,0.010123,0.5677949999999999,PAN,020721
317645,169,5048,1998,0.0028374316721006057,0.9999959744826507,0.010123,0.5677949999999999,PAN,020722
324171,169,5049,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020723
330697,169,5050,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020731
337223,169,5051,1998,0.03728029419236094,0.9993048482144631,0.010123,0.5677949999999999,PAN,020739
343749,169,5052,1998,0.04256014980940967,0.999093906321223,0.010123,0.5677949999999999,PAN,020741
350275,169,5053,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020742
356801,169,5054,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020743
363327,169,5055,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020750
369853,169,5056,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020810
376379,169,5057,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,020820
382905,169,5058,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020890
389431,169,5059,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,020900
395957,169,5060,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,021011
402483,169,5061,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,021012
409009,169,5062,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,021019
415535,169,5063,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,021020
422061,169,5064,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,021090
428587,169,5065,1998,0.08857090580337051,0.9960698743788864,0.010123,0.5677949999999999,PAN,030110
435113,169,5066,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030191
441639,169,5067,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030192
448165,169,5068,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030193
454691,169,5069,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030199
461217,169,5070,1998,0.7373604714337102,0.6754994708858449,0.010123,0.5677949999999999,PAN,030211
467743,169,5071,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030212
474269,169,5072,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030219
480795,169,5073,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030221
487321,169,5074,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030222
493847,169,5075,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030223
500373,169,5076,1998,0.7849461852635705,0.6195639484671203,0.010123,0.5677949999999999,PAN,030229
506899,169,5077,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030231
513425,169,5078,1998,0.9998273141054369,0.018583378829155252,0.010123,0.5677949999999999,PAN,030232
519951,169,5079,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030233
526477,169,5080,1998,0.992242947745251,0.12431384737757528,0.010123,0.5677949999999999,PAN,030239
533003,169,5081,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,030240
539529,169,5082,1998,0.5965234099395116,0.8025956774080818,0.010123,0.5677949999999999,PAN,030250
546055,169,5083,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030261
552581,169,5084,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030262
559107,169,5085,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030263
565633,169,5086,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030264
572159,169,5087,1998,0.5932775375116223,0.8049979897391953,0.010123,0.5677949999999999,PAN,030265
578685,169,5088,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030266
585211,169,5089,1998,0.999999745715242,0.0007131405551651878,0.010123,0.5677949999999999,PAN,030269
591737,169,5090,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030270
598263,169,5091,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030310
604789,169,5092,1998,0.9989068444252643,0.04674522607027302,0.010123,0.5677949999999999,PAN,030321
611315,169,5093,1998,0.0,1.0,0.010123,0.5677949999999999,PAN,030322
617841,169,5094,1998,0.5775390740885296,0.8163630429539078,0.010123,0.5677949999999999,PAN,030329
624367,169,5095,1998,0.0,0.0,0.010123,0.5677949999999999,PAN,030331
630893,169,5096,1998,1.0,0.0,0.010123,0.5677949999999999,PAN,030332
637419,169,5097,1998,0.9993020394398565,0.037355507911730625,0.010123,0.5677949999999999,PAN,030333
643945,169,5098,1998,0.14265023388605447,0.9897731612709318,0.010123,0.5677949999999999,PAN,030339
650471,169,5099,1998,0.9075880279695554,0.4198618480956962,0.010123,0.5677949999999999,PAN,030341
656997,169,5100,1998,0.9817387495288892,0.19023413908510972,0.010123,0.5677949999999999,PAN,030342
663523,169,5101,1998,0.984318335477453,0.17640128809874522,0.010123,0.5677949999999999,PAN,030343
